participant,incentive,ll,sigma_act,choice_bias,p_lapse
1,1.0,-25.847811858505906,4.414631257801949,-5.969160153429815,0.01
1,-1.0,-29.161391521257737,4.462154567249368,-3.956426341972981,0.046510223091108874
1,0.0,-31.166247533746834,6.409034727417106,-5.558687821561592,0.011638940957447788
2,1.0,-23.483908069103865,2.4542426163179702,-0.3082393907720172,0.01
2,-1.0,-18.029562787782215,1.837741170329957,-0.3408024382991833,0.01
2,0.0,-18.41216201272939,1.8157637110088762,0.03700051205007829,0.046510223091108874
8,1.0,-51.243122344874195,30.0,3.704172533549407,0.010109540006805924
8,-1.0,-49.17321435774889,26.757217816903925,8.684917184690452,0.010109540006805924
8,0.0,-59.00776507655094,30.0,3.7156307107594904,0.011638940957447788
9,1.0,-32.7682811212743,4.2672484695031985,0.988820061063227,0.01
9,-1.0,-24.78410001386997,2.718420241468646,0.4252667835811848,0.046510223091108874
9,0.0,-24.947443922253004,2.8972811235097047,0.3116118609145599,0.031744999658616914
10,1.0,-36.60012147570537,8.431662274985339,0.32276823349638123,0.046510223091108874
10,-1.0,-15.708326591838134,1.6128016449046176,-0.23100164612030252,0.011638940957447788
10,0.0,-11.538241431444195,1.0915582524617389,4.738821715482454e-08,0.011638940957447788
11,1.0,-37.86033223602494,8.38152558809581,-5.194972933443991,0.046510223091108874
11,-1.0,-41.490025266002576,9.341736233632332,-0.47290866139919757,0.031744999658616914
11,0.0,-33.79753330831159,4.832832456712368,-0.7984089869433924,0.01
12,1.0,-38.40510455698577,13.654065506210813,-2.9538476043064676,0.01
12,-1.0,-39.15779463674513,7.4064142239549255,1.789538565446175,0.010109540006805924
12,0.0,-36.495726374864866,8.545073084719439,3.375313145559823,0.01
13,1.0,-26.03654346956225,2.9835602403698678,0.15976017585314878,0.01
13,-1.0,-24.734518611106857,3.0393128395871534,2.733842770232004,0.046510223091108874
13,0.0,-15.963393927394971,1.6091724369184597,2.230515891124759,0.010109540006805924
14,1.0,-31.494897253913653,7.519913828698389,2.855359720228258,0.046510223091108874
14,-1.0,-31.610755046386082,5.409987493350429,1.3791279427710503,0.010109540006805924
14,0.0,-29.412499388086964,4.507077926910031,2.6211149726529994,0.046510223091108874
15,1.0,-36.08861582750356,5.562538704577717,-0.19121089184325224,0.046510223091108874
15,-1.0,-33.01597119359957,4.577814203711895,2.4111777718366874,0.01
15,0.0,-32.10934435963481,4.416932527460282,2.6871735001831922,0.010109540006805924
16,1.0,-25.82687520684786,2.9341749510134134,1.5531272624253964,0.046510223091108874
16,-1.0,-22.226972802746076,2.535331893481783,2.2571696858243318,0.01
16,0.0,-34.57991496907208,5.404664951200371,1.1719693383416299,0.011638940957447788
17,1.0,-12.828115960658891,1.2679024196587387,0.1579745721235419,0.031744999658616914
17,-1.0,-12.317741231701117,1.4686585266110979,0.8124488280898194,0.01
17,0.0,-15.448147865422724,1.563816020468356,2.137794780474867,0.031744999658616914
18,1.0,-24.149894998424056,2.68240192072635,-0.3852415156028714,0.046510223091108874
18,-1.0,-20.436948825493044,2.0999723936000314,-0.43797726759108785,0.01
18,0.0,-30.607498521195687,3.8932462882867767,-1.4024326220755217,0.01
19,1.0,-47.83975405873111,21.008250147029738,6.612768353017883,0.031744999658616914
19,-1.0,-43.50854574273411,14.938242475818795,7.593663198680994,0.011638940957447788
19,0.0,-43.6730734262893,13.711746498660036,5.319367434205517,0.031744999658616914
20,1.0,-49.691562780927846,23.008122137420436,-1.0838149634341656,0.010109540006805924
20,-1.0,-45.72564041333006,16.450150874426903,-0.10496571722560732,0.010109540006805924
20,0.0,-40.31446399187547,8.04054552904812,-0.02030149952074885,0.031744999658616914
21,1.0,-32.34593518939628,11.274104264688226,10.0,0.046510223091108874
21,-1.0,-26.74432175725261,4.525101350113876,5.430141044151419,0.01
21,0.0,-28.4852711985289,7.742251038645378,9.635486093581777,0.046510223091108874
22,1.0,-36.75213205781024,8.60778402199891,4.378701121472291,0.01
22,-1.0,-21.074814517866805,2.1669337807596434,-0.05276408442387865,0.011638940957447788
22,0.0,-15.50289001490463,1.549291045926431,1.3349574700634492,0.011638940957447788
23,1.0,-26.66039435389049,3.2741982506398544,2.694144928500773,0.010109540006805924
23,-1.0,-34.093603684691146,4.976608781924606,1.734706564434725,0.011638940957447788
23,0.0,-35.56319195360728,6.345798949605469,3.7407151276976385,0.046510223091108874
24,1.0,-28.85314803757917,4.462446297486124,2.8079137205208644,0.010109540006805924
24,-1.0,-33.07573159882587,5.074532395099859,1.2567746747468609,0.010109540006805924
24,0.0,-29.384548077391116,4.508671694414102,1.4457114439690784,0.046510223091108874
25,1.0,-36.16041210348899,5.694237421256702,1.7840379406807887,0.010109540006805924
25,-1.0,-30.471639321153027,4.200211066738457,3.296901509213042,0.011638940957447788
25,0.0,-38.303500254449204,8.18151578637202,3.9605002635734783,0.046510223091108874
26,1.0,-25.913997035795077,3.511121422383838,3.7420860889089416,0.010109540006805924
26,-1.0,-37.20374739396649,6.802337983600648,2.2523916221227602,0.011638940957447788
26,0.0,-41.408781083450414,14.069608286348132,3.388789396707064,0.01
27,1.0,-48.36153981662896,29.584798874024653,9.31686498065185,0.01
27,-1.0,-46.26414002452646,22.811418725123147,9.767064456843885,0.046510223091108874
27,0.0,-52.35028380035378,30.0,-3.0825632512714938,0.031744999658616914
28,1.0,-29.217080595599963,8.833763410559037,-8.926648469892688,0.01
28,-1.0,-37.90579140070411,12.948133671650636,-8.259601595781636,0.01
28,0.0,-35.29380828738364,10.841900984153538,-8.159784380490636,0.01
29,1.0,-31.99670545260438,4.1287756218821094,-1.5316334357839374,0.046510223091108874
29,-1.0,-32.93320099627506,4.441157766975484,1.267351407408831,0.010109540006805924
29,0.0,-34.43510992958897,5.458193841044108,-3.542111761988792,0.010109540006805924
30,1.0,-16.55048665188264,1.6880401236684417,-0.4094016914190697,0.011638940957447788
30,-1.0,-36.91718098281923,8.858264788403574,0.5418307559287178,0.011638940957447788
30,0.0,-13.299670962517654,1.373382286388852,0.8909450124505682,0.01
31,1.0,-23.358610640834524,2.4063130158437342,-0.21887236751288142,0.046510223091108874
31,-1.0,-22.03880737376035,2.261328908119049,0.07403554984173696,0.011638940957447788
31,0.0,-21.844279788138966,2.23077346816406,-0.712229459035726,0.031744999658616914
32,1.0,-22.57820197894615,2.413218581953041,-0.8863334782608661,0.011638940957447788
32,-1.0,-13.65438172491919,1.317034169457248,-0.9680057692514857,0.01
32,0.0,-22.04398916174796,2.2639732609097853,0.02378067104169069,0.01
33,1.0,-27.901507593179474,3.2791497057854633,-0.060283441100847025,0.011638940957447788
33,-1.0,-27.33916196963903,3.0590579694186117,0.8433419084865239,0.01
33,0.0,-19.75519660835207,2.0531116388898307,0.1096948434281394,0.01
34,1.0,-49.53101067236469,26.433281993874,-10.0,0.010109540006805924
34,-1.0,-50.31545748622297,26.721878819564,-4.163324406549522,0.01
34,0.0,-46.8736684755214,20.51979643803787,-7.827282912404207,0.01
35,1.0,-24.991181568997696,3.544223484963103,2.5020989458367757,0.010109540006805924
35,-1.0,-30.437250181893116,4.468897539001135,2.389851473213402,0.031744999658616914
35,0.0,-18.6730783058422,2.197038068223891,1.425993723908381,0.010109540006805924
37,1.0,-40.52128507454275,9.810040767952573,-1.2384537267374893,0.01
37,-1.0,-43.261161194070496,11.618841658741701,1.192820663331559,0.046510223091108874
37,0.0,-42.20492944764693,11.401817529817096,-2.2110273696948513,0.01
38,1.0,-52.93311241357252,30.0,-3.2628894690501724,0.011638940957447788
38,-1.0,-52.75612497587463,30.0,7.34034345576155,0.011638940957447788
38,0.0,-55.82222181895883,30.0,2.758079899266305,0.031744999658616914
39,1.0,-51.82060687389923,30.0,10.0,0.01
39,-1.0,-38.80667035760112,13.548913550339696,10.0,0.031744999658616914
39,0.0,-32.328206069119474,8.671999113022117,10.0,0.01
40,1.0,-25.175204465320906,4.6589394251688425,7.185978497853864,0.01
40,-1.0,-25.607047538176325,4.459362086971514,5.702203203969789,0.031744999658616914
40,0.0,-34.820793227877935,9.300387114954265,7.354219125439302,0.01
41,1.0,-32.66559403010291,5.37666341399147,3.0814545650418417,0.046510223091108874
41,-1.0,-34.183936807457904,6.767557954768791,3.5126349468014353,0.031744999658616914
41,0.0,-38.466822754415084,9.437458819053692,-4.072062226726541,0.01
42,1.0,-38.47848813441104,8.553136888435246,4.687254905776314,0.046510223091108874
42,-1.0,-37.89595621226199,6.554263348614083,2.155764948403079,0.031744999658616914
42,0.0,-39.08114718287063,8.658419835835431,3.540266536884572,0.01
43,1.0,-25.754346438147422,2.8284174827763833,-1.0867986610980902,0.010109540006805924
43,-1.0,-40.102162536188565,10.730567893987116,-0.8340756479431649,0.046510223091108874
43,0.0,-30.696516138932267,4.074189980093443,0.2908490225679007,0.01
75,1.0,-38.958045625332744,7.422757742552578,2.312069142895195,0.046510223091108874
75,-1.0,-37.6425236730472,6.497152172511069,-1.0609079480828654,0.031744999658616914
75,0.0,-35.65293566202453,6.769952649831537,-0.029922743086937577,0.01
76,1.0,-20.750735581258457,2.216085759925487,0.7560042307662433,0.01
76,-1.0,-24.50210159839182,2.7403416062084163,0.7501719449863231,0.011638940957447788
76,0.0,-32.01847330446393,4.0498757834304575,0.8710216164674404,0.031744999658616914
77,1.0,-40.679617930041715,9.122416704269328,1.547898588993439,0.010109540006805924
77,-1.0,-34.64691824404007,5.078570869786946,-0.5010245739711552,0.031744999658616914
77,0.0,-32.37614214860116,4.230639401787709,-0.6671717489747022,0.011638940957447788
78,1.0,-36.474197801764646,5.701462611638223,0.727771432598341,0.01
78,-1.0,-38.50251242128606,6.8707946692398085,1.652549160339428,0.031744999658616914
78,0.0,-35.417590443091356,5.70001253821865,3.0885887824036686,0.011638940957447788
80,1.0,-44.72773898684275,15.885372101068546,0.07667190969382007,0.010109540006805924
80,-1.0,-27.90630103213543,3.5453609404356943,-1.1429071692364703,0.031744999658616914
80,0.0,-25.2827366466671,2.6970850972929274,-0.23166544627600555,0.010109540006805924
83,1.0,-36.11536673007002,5.2890145448493575,0.791472556132041,0.031744999658616914
83,-1.0,-34.51993808244505,4.971931135752613,-0.8392603068631604,0.011638940957447788
83,0.0,-28.087373071515433,3.233322232260271,-1.173486783310786,0.011638940957447788
87,1.0,-35.271779186774026,4.985875944213417,-0.5905081299824781,0.046510223091108874
87,-1.0,-27.23065714272314,3.0296090363611614,-0.6572909973111256,0.046510223091108874
87,0.0,-22.875431852112612,2.540296523671595,-2.1306749309051582,0.031744999658616914
89,1.0,-31.84529168519427,3.926427886297909,-0.32142057395233337,0.011638940957447788
89,-1.0,-41.380708971686886,11.464611703621275,3.759899154397453,0.046510223091108874
