participant,incentive,ll,sigma_act,choice_bias,p_lapse
1,0.1,-65.93898808026589,15.433900246455401,2.1543868871702023,0.011638940957447788
1,1.0,-67.4745909728396,15.636086227423684,2.362797174885501,0.011638940957447788
2,0.1,-53.90965059244944,7.174643053111885,-1.673886046978248,0.031744999658616914
2,1.0,-36.683954478933394,2.7048216662400866,1.3368788783449521,0.01
3,0.1,-69.53580957122888,30.0,9.367369840266088,0.01
3,1.0,-63.31865517228954,30.0,10.0,0.01
4,0.1,-61.837181211381086,10.833035280137354,0.5878406483650893,0.01
4,1.0,-51.54756498530728,4.827596785390214,-0.055000101784684716,0.010109540006805924
5,0.1,-54.83539760966705,6.053399014438053,0.660191859703497,0.046510223091108874
5,1.0,-60.090326014516975,11.223828904715134,-2.368155975020661,0.010109540006805924
6,0.1,-40.73728228350164,3.2715680049415257,-0.8531424441824021,0.01
6,1.0,-43.89537146988936,3.5989833095308295,-1.263259999905312,0.046510223091108874
7,0.1,-54.09257610435311,7.674663062550576,-0.6322874395242578,0.046510223091108874
7,1.0,-32.52238219895237,2.332672664869511,0.5949853985429442,0.01
8,0.1,-78.72002852534136,30.0,-3.8917083954191836,0.010109540006805924
8,1.0,-76.67321626128935,30.0,1.751340120146738,0.031744999658616914
9,0.1,-54.03549831564653,7.392396445772963,2.1380245096234263,0.011638940957447788
9,1.0,-53.86667760750922,7.428796881217411,2.5956527024334703,0.011638940957447788
10,0.1,-61.60591514391506,9.53682779005431,-2.6491722534586715,0.011638940957447788
10,1.0,-61.27511454152485,11.552604010122101,-6.712585956456592,0.046510223091108874
11,0.1,-39.89664688434285,3.009028752189627,-0.3824062148714522,0.046510223091108874
11,1.0,-53.26904702643326,7.810033461961499,-1.1059183753959627,0.010109540006805924
12,0.1,-38.37197090817709,3.174845775342026,2.1486164495931463,0.01
12,1.0,-28.4332111326843,2.3179894176632283,3.26502159600298,0.046510223091108874
13,0.1,-29.744733922172667,2.1804423665056274,1.9399871005233869,0.046510223091108874
13,1.0,-34.09678701360753,2.461290550451897,1.9679592233670093,0.010109540006805924
14,0.1,-46.76342566386221,4.559900449576612,2.152500293126522,0.010109540006805924
14,1.0,-55.89386830622,8.922976469974934,3.692628285946133,0.046510223091108874
15,0.1,-56.364208488319534,14.607898181389006,8.233660331697111,0.010109540006805924
15,1.0,-49.87069548130339,9.863421127929428,7.189527479142639,0.046510223091108874
16,0.1,-60.8826040598666,12.122992218198231,0.37556496797469213,0.01
16,1.0,-49.63496181918239,5.485316310533354,-2.83039702414687,0.011638940957447788
17,0.1,-62.4053238559044,11.3635996084117,-5.2298009247688615,0.031744999658616914
17,1.0,-62.49199596564131,11.766675695756014,-5.10319583177306,0.01
18,0.1,-63.09218622935118,18.24181914829414,10.0,0.031744999658616914
18,1.0,-55.621592396315386,15.303134899079902,6.7881554006247695,0.011638940957447788
19,0.1,-34.82259489266782,2.4115698975400632,-0.3689030353731538,0.01
19,1.0,-33.39723749646189,2.4221284262500897,-0.9300457855179741,0.01
20,0.1,-53.14541358102662,5.545352703299239,-0.6363950942417613,0.010109540006805924
20,1.0,-61.46265497404686,10.926974539204034,3.2206680495123856,0.031744999658616914
71,0.1,-40.79231269912543,5.1230499052375436,5.979776349739106,0.01
71,1.0,-50.10831969749444,8.275406857902173,6.58432357304525,0.01
72,0.1,-61.15333643928169,10.422753303182375,-4.87927480234503,0.010109540006805924
72,1.0,-69.54793367242188,15.664345676903594,-0.5502751349038649,0.011638940957447788
73,0.1,-52.889059470236965,5.580955496453389,0.29580761210902123,0.01
73,1.0,-46.32177670988746,4.272568976347326,-0.16860121159775662,0.046510223091108874
74,0.1,-42.81604780560584,3.392075545174431,1.391745688895082,0.010109540006805924
74,1.0,-48.51210810363179,4.437742388853177,2.2844004532323985,0.01
75,0.1,-61.51366052581032,12.179194295187243,-6.722478416900931,0.01
75,1.0,-66.19579332195488,13.376559021637853,-3.8990806471878123,0.046510223091108874
76,0.1,-56.68025027255509,6.632970950690198,-2.296974579478007,0.01
76,1.0,-54.01695000356654,6.625198429749852,-3.466098265486698,0.046510223091108874
77,0.1,-51.58479127039463,4.8014854881380264,1.2141074002737573,0.011638940957447788
77,1.0,-47.10833294351514,3.917546671700849,0.8461642627907362,0.031744999658616914
78,0.1,-31.639855945822898,2.2282146143588744,1.157310534411242,0.046510223091108874
78,1.0,-53.905580226670025,7.386019799048238,0.33604462541964064,0.031744999658616914
79,0.1,-57.09475973215007,6.3647675047462995,1.1083900526258637,0.010109540006805924
79,1.0,-60.75425872933065,8.766338327187238,-0.9252505169209149,0.046510223091108874
80,0.1,-56.164361862638216,10.731063400187333,-0.37121044198167996,0.01
80,1.0,-43.62999191535419,3.6658683828484566,1.3545624564632373,0.046510223091108874
81,0.1,-70.3653799960345,19.5286393050495,-1.143279816263236,0.031744999658616914
81,1.0,-64.62102427747274,13.684578294753983,0.514665966212429,0.031744999658616914
82,0.1,-55.79657377986899,6.30515083004116,-1.7337454735025188,0.010109540006805924
82,1.0,-62.52049828805785,12.201649324704576,0.9340006673078084,0.011638940957447788
83,0.1,-73.12227287872841,26.857401061632164,-10.0,0.010109540006805924
83,1.0,-63.026005031844214,15.46380545615957,-10.0,0.01
84,0.1,-54.574230358445675,10.181068361769903,7.178806200734552,0.046510223091108874
84,1.0,-47.006875661779645,7.0692017263732385,7.2908839399896905,0.046510223091108874
85,0.1,-35.32082288888555,2.795092049975186,-1.0418665786149703,0.010109540006805924
85,1.0,-51.72388543031257,8.414825695626348,-0.779291120031654,0.011638940957447788
86,0.1,-42.40391988020743,3.3452664195974218,-1.3938402795051765,0.010109540006805924
86,1.0,-44.646890181602195,3.507211691763846,0.40256552769357623,0.031744999658616914
87,0.1,-71.35973695047123,21.9305234152823,4.929425410748749,0.01
87,1.0,-75.13097262175441,28.317458168212678,6.061958581150584,0.01
88,0.1,-41.29828406264529,3.483949746458138,0.563190572856626,0.011638940957447788
88,1.0,-42.57467790711215,3.2678327798185594,0.06553493954266087,0.046510223091108874
89,0.1,-59.90297955756869,11.246375267329316,-1.682958643881535,0.011638940957447788
89,1.0,-38.00959108237775,3.0219926938655566,-1.0525241133493042,0.011638940957447788
90,0.1,-61.29443723960462,8.586942547782064,0.08252411638950509,0.046510223091108874
90,1.0,-65.50945130518203,12.372087049802106,2.803260452272822,0.031744999658616914
91,0.1,-69.48747653330251,17.275802597277142,-2.4832993768627305,0.011638940957447788
91,1.0,-72.09022428274835,22.083962475634127,-7.735664689233569,0.046510223091108874
92,0.1,-64.86775871991662,13.845480185681014,-3.833150935647519,0.010109540006805924
92,1.0,-42.21304621255348,3.357336608246216,-1.0047278686113126,0.01
93,0.1,-40.311100272220386,3.3071459463915227,2.7553186356960686,0.01
93,1.0,-38.2963530560835,3.282199589659871,2.8095739074752815,0.011638940957447788
94,0.1,-54.63935964825043,5.914340628117788,0.7854458085150612,0.011638940957447788
94,1.0,-41.43396290281549,3.1180019319504364,-0.7795529195217688,0.011638940957447788
95,0.1,-33.59427454846627,3.9008166343853534,6.255625460577872,0.011638940957447788
95,1.0,-38.69651655760322,5.4891873121936925,8.068921180608426,0.031744999658616914
96,0.1,-56.98744375686739,9.756111953519541,-3.7209923302866277,0.010109540006805924
96,1.0,-44.71312654338502,3.9467351584477015,-2.1735547104702873,0.046510223091108874
97,0.1,-38.49215488242068,2.9102379901410536,-1.3285363005496298,0.01
97,1.0,-35.68325114097783,2.6981427352969134,-1.1119864422511858,0.011638940957447788
98,0.1,-50.991469315252274,4.743470916804833,-0.13073872712259071,0.046510223091108874
98,1.0,-47.588636759575465,4.6609365509401695,-2.7907717717983807,0.010109540006805924
99,0.1,-46.31297382433577,7.196670971263424,5.399233535123875,0.046510223091108874
99,1.0,-60.20424813273807,11.976204394348262,3.9894226981981045,0.010109540006805924
100,0.1,-22.90770029544964,1.5479262176271,0.6943982983207462,0.01
100,1.0,-27.286146983204432,1.7885150505960032,0.6606190406839769,0.01
101,0.1,-30.190954234693532,2.4855418492042016,0.6505300894172533,0.01
101,1.0,-28.33600047960906,2.0926218296058696,0.19464191931165095,0.011638940957447788
102,0.1,-41.18604802966042,4.908191854396946,-2.145454495082124,0.010109540006805924
102,1.0,-53.52378909047546,8.615359856863376,-2.749169453202292,0.01
103,0.1,-41.09114828173199,4.583909279353035,-0.9752995273040561,0.031744999658616914
103,1.0,-47.90786235787378,5.504276113916844,-1.1620517301454583,0.031744999658616914
104,0.1,-50.92216211846465,6.78533447661305,5.4297774126757234,0.046510223091108874
104,1.0,-53.84409852288334,9.656270943960186,6.922520079838565,0.01
105,0.1,-38.43136452936905,2.860211947666242,-0.9027677524402414,0.011638940957447788
105,1.0,-42.707971538935375,3.3086738778176135,-0.13040540085649288,0.046510223091108874
106,0.1,-51.35317117702857,7.131709797183136,2.368132746916427,0.031744999658616914
106,1.0,-56.329907636444105,9.00166030289298,1.6734527074662549,0.01
107,0.1,-53.6332320257597,6.646995529906622,3.1352950044374377,0.01
107,1.0,-49.91421935458004,5.2417832845415475,1.7884766013855782,0.046510223091108874
108,0.1,-59.41287460746804,15.356614383144148,10.0,0.01
108,1.0,-57.62952909665928,9.59467858729537,3.569288029202773,0.031744999658616914
109,0.1,-46.69763545521281,4.011010494270833,1.289150173101158,0.01
109,1.0,-28.066336692568044,1.8531632990878621,0.33109174960432686,0.01
110,0.1,-45.49198827048249,4.004404688221008,2.6460192907205142,0.01
110,1.0,-44.00185752861211,3.4418129136349265,1.417922197068078,0.010109540006805924
111,0.1,-46.163182376428054,3.6928288595754086,0.5194914479860285,0.046510223091108874
111,1.0,-42.603201920852165,3.2314993314531524,0.3552085434098179,0.011638940957447788
112,0.1,-31.49869731735718,2.3151572117325996,1.4958290204694054,0.046510223091108874
112,1.0,-55.42746835410946,8.703412524151672,0.924695744885796,0.01
113,0.1,-26.916671293690626,1.9544952500778803,1.337749046027441,0.011638940957447788
113,1.0,-33.22951305030988,2.5654252840096077,1.1261941735532621,0.01
114,0.1,-55.44617877925752,11.769587169707687,-9.438148611579905,0.046510223091108874
114,1.0,-44.29948235351297,4.278528282618553,-4.067434685369739,0.01
115,0.1,-22.16498463382154,1.5057786113970084,-0.990027366272297,0.010109540006805924
115,1.0,-24.57597801240841,1.6403326122828163,-0.517600387024863,0.01
116,0.1,-58.84378200786297,7.689090140525813,-1.664015491009406,0.01
116,1.0,-59.46984737007135,10.309054854353608,-6.096917172981206,0.046510223091108874
117,0.1,-29.679361735963393,2.1307441374791996,-0.6446998371202227,0.031744999658616914
117,1.0,-30.520765589417998,2.1844669621248722,-0.6570187202102347,0.011638940957447788
118,0.1,-52.18771053310963,7.455607382708093,2.5750485831550542,0.010109540006805924
118,1.0,-34.036272311078214,2.4272590167581343,1.4575443617695674,0.010109540006805924
119,0.1,-54.22544551307707,9.279752230127006,-0.17191077817116895,0.01
119,1.0,-53.68803480230771,10.668169809781755,-4.014945169926242,0.010109540006805924
120,0.1,-18.140359495940082,1.5925635628605317,0.49455219921052107,0.01
120,1.0,-17.829539337196326,1.6313120231932554,1.0329551376563053,0.011638940957447788
