participant,incentive,ll,sigma_act,choice_bias,p_lapse
21,0.1,-79.36855725368304,30.0,-0.8551131787879761,0.011638940957447788
21,1.0,-76.24456195256845,29.244691553693315,5.814060770013406,0.031744999658616914
22,0.1,-78.6670315749509,30.0,0.11801508290570518,0.01
22,1.0,-78.3664371241371,30.0,-0.10394513616199173,0.046510223091108874
23,0.1,-77.99709607624189,30.0,0.9400556451224987,0.031744999658616914
23,1.0,-87.87314381554214,30.0,-1.01420112404551,0.031744999658616914
24,0.1,-74.95242520980193,25.958653906057442,1.2761724109057742,0.011638940957447788
24,1.0,-74.48849603286584,30.0,9.376136402658883,0.046510223091108874
25,0.1,-74.66358842968091,23.46353630246905,1.2649431736956829,0.011638940957447788
25,1.0,-71.73763765843135,20.848792486194565,-4.209012486025823,0.010109540006805924
26,0.1,-72.78049004741437,24.92048966459082,2.6097356775663045,0.01
26,1.0,-80.45543026803593,30.0,1.1466568046982486,0.010109540006805924
27,0.1,-78.25923652342216,30.0,1.4598439186710674,0.046510223091108874
27,1.0,-77.67344707508869,30.0,-3.4705674667744235,0.01
28,0.1,-73.09324522533743,22.479769180636453,-0.28952797382424916,0.010109540006805924
28,1.0,-69.02298435682168,20.49264399293593,-0.9676694454716376,0.031744999658616914
29,0.1,-77.52993737275007,30.0,-3.0298383786765912,0.011638940957447788
29,1.0,-77.98153509576562,30.0,-1.8791558463493043,0.01
30,0.1,-72.23880688754463,20.951913188298267,3.634871310492946,0.010109540006805924
30,1.0,-71.77867829323941,19.85298701527362,-2.999573819725353,0.031744999658616914
31,0.1,-68.6247229690284,16.027444805742096,1.2873543560960177,0.011638940957447788
31,1.0,-68.98599372003059,16.163271884931742,0.5846070533334373,0.031744999658616914
32,0.1,-78.67112011282836,30.0,-9.157428827301086,0.011638940957447788
32,1.0,-76.76336185147746,30.0,6.2747508442015825,0.01
33,0.1,-73.8012768209024,26.55351558899482,3.555064337372613,0.046510223091108874
33,1.0,-68.96539480455014,20.685995035482424,-0.26538214524339554,0.01
34,0.1,-77.71137601695432,30.0,0.839385639047346,0.010109540006805924
34,1.0,-74.45581516911443,24.658616211705148,0.498530070355977,0.031744999658616914
35,0.1,-74.2665037014429,29.07259682255533,-6.4915395720674045,0.01
35,1.0,-67.62119453079995,23.328117865663557,7.796534009472283,0.046510223091108874
36,0.1,-78.17238588613873,30.0,2.4307968776743216,0.031744999658616914
36,1.0,-76.46141712966445,27.68360549798674,-2.5250314487439764,0.046510223091108874
37,0.1,-71.57443302048473,20.588400824425545,-4.219484022124751,0.010109540006805924
37,1.0,-73.65909660047971,24.163211224602097,-4.140438571834887,0.010109540006805924
38,0.1,-77.93688098428038,30.0,0.8449230416485168,0.011638940957447788
38,1.0,-75.49871131613068,25.471753378272574,1.2657774485753701,0.01
39,0.1,-74.45193585357013,24.692493194107747,-1.3637937623543421,0.010109540006805924
39,1.0,-77.54000705400573,30.0,3.8548589018466015,0.046510223091108874
40,0.1,-58.65379266131675,19.69705758093932,-1.1647613254154738,0.031744999658616914
40,1.0,-60.84839693864517,15.472046687773382,-0.19186636188556994,0.01
41,0.1,-73.42376374849047,23.03390715659137,-0.8038831925428174,0.01
41,1.0,-68.34184404381669,18.112195578333967,1.6677577958795393,0.010109540006805924
42,0.1,-82.10682884832903,30.0,1.1333292908255723,0.046510223091108874
42,1.0,-77.39427213884821,30.0,0.18885672080705906,0.010109540006805924
43,0.1,-71.7405619395992,24.77684738138851,-3.030388425121503,0.010109540006805924
43,1.0,-80.44121517178235,30.0,-2.090204301796823,0.01
44,0.1,-72.0655063292303,19.654476621522168,-1.4768864055441662,0.031744999658616914
44,1.0,-82.40303823226458,30.0,-2.9816397498885867,0.011638940957447788
45,0.1,-75.19018542442431,26.827236817558557,2.74718910644596,0.01
45,1.0,-71.14743357836812,18.64062409734805,0.43278453453098703,0.010109540006805924
46,0.1,-75.81421126560294,28.917851650810825,-5.028671940909524,0.010109540006805924
46,1.0,-70.64144474031,18.655749699844023,-1.9071414675299494,0.011638940957447788
47,0.1,-69.6794863444949,17.306512573438763,0.6282544627575744,0.010109540006805924
47,1.0,-76.37366913639093,30.0,10.0,0.01
48,0.1,-74.56966186500956,23.620423988729964,2.174462108986747,0.046510223091108874
48,1.0,-76.6112191927583,28.48374601824079,3.020518645252053,0.031744999658616914
49,0.1,-68.207858239642,29.68382507936637,-1.3413591959080107,0.031744999658616914
49,1.0,-75.9625875613432,30.0,-3.3462450864912547,0.046510223091108874
50,0.1,-77.54478657918793,30.0,1.2472284042454318,0.031744999658616914
50,1.0,-79.64471432779675,30.0,5.916166029940103,0.031744999658616914
51,0.1,-70.37717377275443,23.456806976440376,-2.6517496460375334,0.031744999658616914
51,1.0,-75.1259716339645,29.474907995921814,2.72728657798526,0.046510223091108874
52,0.1,-64.70951829486467,13.605848041067631,0.2559250625838785,0.031744999658616914
52,1.0,-77.96818460796209,30.0,-7.829796735472348,0.046510223091108874
53,0.1,-72.18244396650384,26.838925145957795,-0.8855188270350391,0.011638940957447788
53,1.0,-75.05234746423946,30.0,-0.18758508051144665,0.01
54,0.1,-72.34445351689682,28.38134809654118,-8.187247497736328,0.031744999658616914
54,1.0,-69.71756258236478,21.320402327679155,1.0181750786682182,0.046510223091108874
55,0.1,-66.60462459999134,30.0,-2.8720655740338694,0.01
55,1.0,-64.31972401293544,29.01332079298586,-4.787261912179773,0.011638940957447788
56,0.1,-68.48098263571907,16.232197777906578,-0.16199567379225327,0.031744999658616914
56,1.0,-75.00753882392534,25.86241177320105,2.211411998950852,0.031744999658616914
57,0.1,-72.19255252799225,20.357206730807725,2.8029687371428977,0.011638940957447788
57,1.0,-80.22399842708016,30.0,8.897300330843967,0.01
58,0.1,-73.47122571440353,30.0,-0.9950591915606736,0.01
58,1.0,-77.71433537239403,30.0,4.699303553881077,0.01
59,0.1,-73.24107871707835,21.82529144077214,1.57759091658712,0.011638940957447788
59,1.0,-73.24298924863207,21.83275984872844,-2.61061115804964,0.01
60,0.1,-78.24840562761504,30.0,0.4308848694206295,0.031744999658616914
60,1.0,-74.60923317329897,23.665091225160445,1.4006406895735406,0.031744999658616914
61,0.1,-72.20725650437694,19.79979233671417,-0.5383082666084307,0.046510223091108874
61,1.0,-71.15320687554035,19.3493117896827,0.07729220596156691,0.011638940957447788
62,0.1,-73.87607090222645,27.62288404615416,1.6873601424399582,0.031744999658616914
62,1.0,-72.9923482215163,30.0,1.0622940826806857,0.01
63,0.1,-71.36653993435814,20.05413024284691,-0.6882713683120676,0.010109540006805924
63,1.0,-75.07223055512469,29.619440438981997,6.590312933630538,0.046510223091108874
64,0.1,-72.88525987536401,26.093165984353647,9.738236344942187,0.046510223091108874
64,1.0,-75.79937353170952,30.0,-3.4435709274803044,0.031744999658616914
65,0.1,-69.09531704119726,16.7523743079413,0.36855385350739445,0.046510223091108874
65,1.0,-75.13547998772003,25.053132289010442,-3.368630314523561,0.010109540006805924
66,0.1,-65.28076351066653,16.410464838341642,-0.5916754680858708,0.031744999658616914
66,1.0,-71.49297135664281,28.325277345624304,-2.870985147249587,0.011638940957447788
67,0.1,-74.44778198352553,28.133965368382,10.0,0.01
67,1.0,-72.574232650537,20.83524208491561,1.4773443795519121,0.011638940957447788
68,0.1,-79.96613424871892,30.0,-1.8654796685499335,0.031744999658616914
68,1.0,-75.04681483775072,24.708317534714773,2.50595555266433,0.011638940957447788
69,0.1,-76.75986713790606,30.0,-10.0,0.01
69,1.0,-77.65856651137645,30.0,-2.175091909593906,0.010109540006805924
70,0.1,-84.45437577645356,30.0,1.7413853939889479,0.046510223091108874
70,1.0,-72.87240146291866,21.053887343513072,-2.4062929815090905,0.010109540006805924
143,0.1,-74.14295479650276,25.58131242203507,-2.5370785657180486,0.046510223091108874
143,1.0,-79.44474304519245,30.0,1.1226165505479109,0.01
144,0.1,-74.9465427990634,24.604325360862898,0.2618513253437021,0.011638940957447788
144,1.0,-75.84879499963294,26.263834273754785,2.6205801103252053,0.031744999658616914
145,0.1,-75.41093623825743,26.858683381050408,-1.2243581584685523,0.046510223091108874
145,1.0,-71.70361363543162,19.5926140440126,-0.01866328580877925,0.011638940957447788
146,0.1,-76.19351444418221,30.0,2.7284295326331356,0.011638940957447788
146,1.0,-73.12871513276158,30.0,-2.344785919526846,0.010109540006805924
147,0.1,-77.53382697823827,30.0,4.5012077147309935,0.010109540006805924
147,1.0,-72.01731598376254,19.66577871723908,-0.8418167911793333,0.011638940957447788
148,0.1,-75.180283046943,24.714025826781615,-0.11094479761847484,0.011638940957447788
148,1.0,-78.50240129161159,30.0,4.181358146935871,0.046510223091108874
149,0.1,-78.74651060423652,30.0,-0.7109860556685145,0.011638940957447788
149,1.0,-74.3651830542303,26.11688567522167,6.551145798711533,0.046510223091108874
150,0.1,-73.86975081886033,25.267028619545698,5.589073907662358,0.011638940957447788
150,1.0,-78.74262766069926,30.0,5.883559367843569,0.01
151,0.1,-70.7091776235503,30.0,6.171065867460732,0.031744999658616914
151,1.0,-74.03833911251644,30.0,-3.8374566979012346,0.010109540006805924
152,0.1,-76.00599395515479,28.731882886517628,2.989563332879594,0.01
152,1.0,-74.43014545588045,26.946246555685867,-5.584947201018775,0.011638940957447788
153,0.1,-80.77430653123916,30.0,4.02545953928413,0.010109540006805924
153,1.0,-77.91225128186453,30.0,4.211592543237216,0.046510223091108874
154,0.1,-60.87483378942447,17.508571385507025,-5.548131949193179,0.011638940957447788
154,1.0,-71.0853574089589,30.0,-6.252655075999099,0.046510223091108874
155,0.1,-72.79922078530934,27.457012608418143,-3.6087266913672296,0.010109540006805924
155,1.0,-80.41551764683635,30.0,5.51229006874471,0.046510223091108874
156,0.1,-73.94626603778154,26.174800989232775,-10.0,0.01
156,1.0,-73.7231245144303,23.520876806483617,5.494379311055134,0.046510223091108874
157,0.1,-75.13447400934622,30.0,10.0,0.01
157,1.0,-74.135059779944,30.0,7.054584657443631,0.011638940957447788
158,0.1,-71.80746971875345,20.52100756057471,-2.095931487090683,0.01
158,1.0,-77.40226214169645,30.0,5.75832076707304,0.01
159,0.1,-74.163867111889,23.502587804707918,2.9207595475736743,0.01
159,1.0,-82.10807572635478,30.0,-0.5967455631398638,0.01
160,0.1,-77.31330384785991,30.0,-7.7269719314123835,0.046510223091108874
160,1.0,-78.74070816870022,30.0,9.101999996381585,0.046510223091108874
161,0.1,-75.967774165553,29.056045305383854,4.947233429810533,0.010109540006805924
161,1.0,-69.37625869859338,27.367853602992632,-4.408091072580285,0.046510223091108874
162,0.1,-74.39045038709634,23.360924871648557,1.9998799309242017,0.011638940957447788
162,1.0,-76.67167078525415,28.097073545060592,-0.005569964776454205,0.046510223091108874
163,0.1,-80.67019281824085,30.0,3.3912338577846746,0.01
163,1.0,-77.39468330796755,30.0,-0.9393502788400152,0.010109540006805924
164,0.1,-64.34921159816409,30.0,-3.396795427312008,0.010109540006805924
164,1.0,-67.264871671928,27.260765287921707,3.888882077130237,0.046510223091108874
165,0.1,-78.61132289525487,30.0,1.7081099435988922,0.031744999658616914
