participant,incentive,ll,sigma_act,choice_bias,p_lapse
3,1.0,-24.67244939868515,2.7955699584150224,-0.23356027880129457,0.031744999658616914
3,-1.0,-28.653651121623643,3.74252338371525,0.9395489963614317,0.011638940957447788
3,0.0,-31.319929040888166,4.155629456757589,-0.3388691881263759,0.01
4,1.0,-29.433362651184332,3.8979243979118614,-1.9567445036715292,0.011638940957447788
4,-1.0,-29.685922376390906,3.7559846812369733,-1.7061756254075342,0.01
4,0.0,-33.25791940810206,5.123593068164965,-2.59698896766193,0.011638940957447788
6,1.0,-26.378022040802254,2.9760165144092054,-1.4521706554361022,0.046510223091108874
6,-1.0,-28.734905785001654,3.5259069501381846,-0.979993828613987,0.011638940957447788
6,0.0,-32.613614594481376,4.205571492002355,-1.2380840101085397,0.010109540006805924
7,1.0,-27.407097104262245,3.10361003530411,-0.5269030277011671,0.011638940957447788
7,-1.0,-28.096946700465352,3.186356130079175,0.8087020357335297,0.046510223091108874
7,0.0,-26.947313951195813,2.9548840032695933,0.2885890364941991,0.01
9,1.0,-43.31590015327245,19.44930761166917,10.0,0.031744999658616914
9,-1.0,-42.63123752981622,14.576843214614682,3.622574972533746,0.011638940957447788
9,0.0,-39.352772716053096,16.90182303841491,10.0,0.046510223091108874
18,1.0,-29.644945847658356,5.995504317673877,5.789415752860127,0.031744999658616914
18,-1.0,-33.29625876875999,7.3752315033723725,5.250369485135691,0.010109540006805924
18,0.0,-33.32270697509314,8.69576326051622,6.734107327747814,0.031744999658616914
20,1.0,-31.295551558918202,4.70729876352026,-1.5274548733145437,0.031744999658616914
20,-1.0,-30.9239148603273,4.208491472452485,-0.9193010958223005,0.011638940957447788
20,0.0,-39.913909337292665,11.188104557783626,-5.309286930130022,0.031744999658616914
22,1.0,-22.36479254340684,2.4125957996017893,0.8973150665171081,0.010109540006805924
22,-1.0,-21.609447578148476,2.29553197011376,-0.9088817495246154,0.031744999658616914
22,0.0,-28.89419877462589,3.7457591977729945,1.3332441475592052,0.046510223091108874
25,1.0,-35.69152732971549,5.911271266011004,2.169460467316219,0.01
25,-1.0,-30.456560803229255,3.735476421532685,-0.48614092707845713,0.046510223091108874
25,0.0,-30.239031945898827,3.670128624023793,-1.3112514537911306,0.010109540006805924
27,1.0,-37.29887113488711,5.758765793348262,0.7508422245703967,0.011638940957447788
27,-1.0,-39.32380943292023,11.690772189165093,5.740220363058568,0.01
27,0.0,-31.72420556130109,4.725867992266935,2.5521534147617464,0.01
30,1.0,-50.1013433718497,30.0,2.690262345781681,0.031744999658616914
30,-1.0,-48.59054545161971,30.0,-4.485061251463273,0.031744999658616914
30,0.0,-49.94567048934101,30.0,-1.9309329750005302,0.011638940957447788
31,1.0,-20.692940137336436,2.6450473161833896,3.3436911055694774,0.011638940957447788
31,-1.0,-21.961700720923293,3.0095537624118585,3.7060677662507358,0.01
31,0.0,-28.796093737638436,3.8302120011350467,2.2080506091419148,0.031744999658616914
32,1.0,-31.9485351269384,4.517608868795953,-1.2774322422609463,0.031744999658616914
32,-1.0,-37.47961582419978,6.8335908151280895,-2.484401057413785,0.011638940957447788
32,0.0,-34.55400505360665,5.194200156811861,-1.6203370922171056,0.011638940957447788
33,1.0,-43.58042246050488,30.0,6.706542314890376,0.031744999658616914
33,-1.0,-47.323122439997874,25.434483062262892,1.6311896732610405,0.031744999658616914
33,0.0,-45.45440590574049,30.0,7.527434842593929,0.011638940957447788
34,1.0,-28.29746117555464,3.6676699976451648,-1.5748386184002006,0.010109540006805924
34,-1.0,-23.60165977689412,2.7365753416294964,-0.7518831176158784,0.011638940957447788
34,0.0,-38.001153892293,11.312881318293664,2.7881175858460736,0.011638940957447788
37,1.0,-28.192889933370758,3.288271067020514,0.14056198230469136,0.01
37,-1.0,-27.386513176870853,3.67987711353736,2.070273245140077,0.031744999658616914
37,0.0,-29.663696619243986,4.258151034060391,3.5253447166528877,0.031744999658616914
43,1.0,-27.407187852654577,3.1981642845485325,1.280015932549072,0.010109540006805924
43,-1.0,-18.5151222144048,2.1259604285044325,1.8486481906995487,0.010109540006805924
43,0.0,-16.12746426078821,1.663176256675905,0.08340513609787321,0.046510223091108874
44,1.0,-27.791793716412883,3.758658749684181,1.198588254662882,0.011638940957447788
44,-1.0,-28.763416618114054,5.094112752333807,4.246341594420665,0.01
44,0.0,-29.58778369068402,9.772577907729872,5.267990289851936,0.010109540006805924
45,1.0,-23.513581415007135,2.610449950471908,-0.6936714226280526,0.011638940957447788
45,-1.0,-10.686521065494953,1.0707365868821153,-0.3382796847438685,0.046510223091108874
45,0.0,-23.017793207381544,2.4170199782141304,-0.7307787529130051,0.011638940957447788
47,1.0,-34.29631695321055,7.632432912354096,6.130580323480551,0.01
47,-1.0,-37.88731522457656,7.943385240295159,4.421989080714596,0.031744999658616914
47,0.0,-34.33094451363568,5.463329489943438,2.8638478111232097,0.031744999658616914
48,1.0,-22.536938521773042,2.3863892501963555,-0.15740445156740995,0.01
48,-1.0,-23.625243116136122,2.812463213623417,-2.57250324026405,0.01
48,0.0,-25.380872101645842,2.850798633461985,-0.7133864865488426,0.046510223091108874
50,1.0,-31.87309822256317,4.303326825177965,0.18298522979290463,0.010109540006805924
50,-1.0,-29.5413443264255,4.505937908057377,2.9806923722303997,0.011638940957447788
50,0.0,-32.645681296977635,6.196751483983956,5.20795369045342,0.011638940957447788
53,1.0,-14.876264737632454,2.5388776767262797,6.6233525000500535,0.046510223091108874
53,-1.0,-22.02189196616061,3.2876048814860837,5.2394750140485,0.01
53,0.0,-22.26655543011824,4.101421580265777,6.370213420627392,0.01
55,1.0,-15.339658284433494,1.4794474748440876,0.9520791936353539,0.010109540006805924
55,-1.0,-20.49600541133768,2.0506072584575796,0.5267617599361296,0.01
55,0.0,-27.36681417203885,3.173341249425221,0.18829449292218528,0.010109540006805924
56,1.0,-42.26938599599565,16.25372919429788,10.0,0.031744999658616914
56,-1.0,-54.708220391201806,30.0,10.0,0.01
56,0.0,-49.32621554064609,29.015433046897588,10.0,0.01
58,1.0,-15.150729965649589,1.5180239443566637,-0.442451112658988,0.031744999658616914
58,-1.0,-21.264696620661894,2.134526766273898,0.28957837854910456,0.01
58,0.0,-15.987171561240075,1.5404617262637783,0.2813129759482925,0.046510223091108874
59,1.0,-43.03340335488811,11.211251329413871,-1.2982239923393413,0.01
59,-1.0,-37.8632054624348,6.309589726459819,1.1381605146428184,0.010109540006805924
59,0.0,-40.428945632078324,8.214169423481119,1.0033574118014015,0.010109540006805924
61,1.0,-48.29260585267366,25.34830335735343,10.0,0.01
61,-1.0,-51.01381884618051,30.0,-0.5933715015384741,0.046510223091108874
61,0.0,-44.706952817575235,17.57163867922308,10.0,0.011638940957447788
62,1.0,-35.4378797871218,7.854452275016871,-5.895015804992967,0.010109540006805924
62,-1.0,-41.19923250797174,14.600887032511675,-10.0,0.01
62,0.0,-39.22111314978645,14.713147628351381,-10.0,0.031744999658616914
63,1.0,-34.07163802534984,5.799509190845709,4.43219901452229,0.010109540006805924
63,-1.0,-36.88381709003596,6.579792896899233,3.5288647498027537,0.011638940957447788
63,0.0,-36.860119647651416,5.988911330151679,1.9474060918379856,0.031744999658616914
64,1.0,-55.39544393469424,30.0,10.0,0.01
64,-1.0,-51.86873693191514,30.0,5.554142328186311,0.011638940957447788
64,0.0,-55.641400254840434,30.0,3.97750904355926,0.010109540006805924
65,1.0,-19.696014286372794,2.3657536057887874,3.813687997344029,0.01
65,-1.0,-30.126004893558054,4.034465031308872,2.772669384344742,0.046510223091108874
65,0.0,-32.873999905965945,6.141302219340956,5.408177592619476,0.046510223091108874
67,1.0,-32.174949076279994,4.108607405565714,-1.0507952463849566,0.046510223091108874
67,-1.0,-24.483002040614526,2.6758424533173377,0.18848616933101336,0.011638940957447788
67,0.0,-31.18823313822224,3.754757109635748,0.2511933628761114,0.031744999658616914
68,1.0,-31.963378309928366,4.123842095496978,-1.6263281803794172,0.046510223091108874
68,-1.0,-35.44322309912637,5.028837293292708,0.04289197386125812,0.01
68,0.0,-38.889758736263346,7.343421648776881,-2.465311736412153,0.010109540006805924
69,1.0,-26.232716851418495,4.004893490796987,4.946642640904698,0.01
69,-1.0,-19.909849068330175,2.135222022928215,1.2041967006383703,0.011638940957447788
69,0.0,-41.44973516050143,13.574479759645303,2.3692533330039667,0.01
73,1.0,-40.973600343851814,9.029284242291038,-1.5914357489285533,0.031744999658616914
73,-1.0,-36.826956406415036,8.807643767086438,1.6113496257329196,0.031744999658616914
73,0.0,-47.4313564608983,19.54787388948828,-5.327195012926985,0.031744999658616914
74,1.0,-36.512753001678135,8.916209717763506,-5.596069870639094,0.046510223091108874
74,-1.0,-26.753591926042297,3.1598702211621768,-1.9192275194365718,0.010109540006805924
74,0.0,-28.75495808728329,3.744031080001771,-2.4652721475137116,0.031744999658616914
75,1.0,-49.67060872325193,22.90569725969283,0.002309002939892079,0.010109540006805924
75,-1.0,-52.14490843918266,30.0,-10.0,0.01
75,0.0,-52.85112391668879,30.0,-10.0,0.01
77,1.0,-19.069060301680643,2.6932193809970895,3.7604319762100955,0.01
77,-1.0,-15.9340525425909,2.053012785541487,2.705185358444726,0.046510223091108874
77,0.0,-21.037465590504713,2.670870531015002,2.2490943899146423,0.011638940957447788
78,1.0,-41.58206245857911,13.76556498906999,2.203218747834705,0.011638940957447788
78,-1.0,-36.8487330937216,6.120996791798673,0.558102496389566,0.031744999658616914
78,0.0,-39.90658672198865,10.473659594435924,-0.8169633796618033,0.011638940957447788
79,1.0,-34.28309528841321,7.2491999985477,2.2702857129920524,0.01
79,-1.0,-35.858201815462934,5.9918772527897675,1.0150228613008623,0.01
79,0.0,-42.212514483534,14.297415058399295,2.3261363505690453,0.011638940957447788
83,1.0,-28.07743512147419,3.2624071002381316,-1.3563456299796541,0.031744999658616914
83,-1.0,-32.1751142717553,4.6071180686609265,-3.1419474740910363,0.01
83,0.0,-23.84387944604017,3.270893306036131,-4.4816641319261885,0.010109540006805924
84,1.0,-37.316292358525466,6.198850889874127,0.17721245904378538,0.01
84,-1.0,-42.61762298261708,10.630289889349715,-0.6212317554144839,0.010109540006805924
84,0.0,-35.730598773732815,5.223103496230229,1.17649791478703,0.031744999658616914
85,1.0,-22.9516018367172,2.5957691901635376,2.3708313613032743,0.011638940957447788
85,-1.0,-15.52404162254448,1.5383317395856881,0.6853897790447313,0.031744999658616914
85,0.0,-18.487890688470156,2.3314495244202234,4.391533882454412,0.01
88,1.0,-50.217493148375226,30.0,-4.080696992468881,0.010109540006805924
88,-1.0,-44.79596111919084,15.282104331461275,4.474608412409325,0.010109540006805924
88,0.0,-45.90244553242137,18.249978800770858,-1.7507171840049895,0.046510223091108874
90,1.0,-38.81709218459697,6.742712909137573,0.4522026024462466,0.010109540006805924
90,-1.0,-43.953824764736964,12.543967580208134,2.0555589128499347,0.011638940957447788
90,0.0,-39.0486646665772,9.49127467849533,5.8085145268607645,0.046510223091108874
95,1.0,-37.43371252128842,15.037482759883249,10.0,0.011638940957447788
95,-1.0,-20.945223088945855,5.659932973912261,10.0,0.01
95,0.0,-33.20000766179776,13.115847102974751,10.0,0.031744999658616914
96,1.0,-37.69553332014468,10.11599937122394,4.925224237343686,0.031744999658616914
96,-1.0,-25.534230139168695,3.7210170908741524,2.6545808081393747,0.011638940957447788
96,0.0,-28.036927871746435,3.6800044547699353,1.1534363757550945,0.01
98,1.0,-42.74022765796637,13.514177742171452,1.978149507796753,0.031744999658616914
98,-1.0,-43.551827312784795,13.601851543252721,-2.6203434780655726,0.031744999658616914
98,0.0,-47.67417118140488,22.50842841151135,1.5124493059874047,0.010109540006805924
100,1.0,-42.654077242347626,11.405640089123866,3.232699108202087,0.046510223091108874
100,-1.0,-41.254278090784986,9.142011075577663,1.0141681533641211,0.010109540006805924
100,0.0,-41.901570826254456,11.769312349816033,5.354847527250635,0.01
101,1.0,-37.1660734304351,10.680638313681229,2.3557920576914486,0.010109540006805924
101,-1.0,-42.94415954452705,17.342903312032817,10.0,0.01
101,0.0,-37.83523031215361,11.388305961140606,6.8523662104406124,0.010109540006805924
102,1.0,-29.453550874807405,4.422690673241958,2.4876987082805235,0.031744999658616914
102,-1.0,-32.681172758263074,9.33807997781006,7.168295388421745,0.046510223091108874
102,0.0,-32.21911642287098,5.178237423326019,1.6421201480235024,0.010109540006805924
103,1.0,-31.11124626752097,4.2629595413440775,2.9577876222562702,0.031744999658616914
103,-1.0,-39.73532543829246,12.777185914644827,3.309307771597087,0.010109540006805924
103,0.0,-29.155825268091288,3.6686027610981307,0.5788218271175793,0.010109540006805924
104,1.0,-30.40062792801983,3.71509413993918,-0.6012594803881434,0.01
104,-1.0,-29.041451108143924,3.6160387123499595,-2.196128543320823,0.031744999658616914
104,0.0,-30.52325616244953,3.7895904996066303,-0.7696638443310487,0.01
105,1.0,-31.05575290043906,3.8672050629594232,-0.9648749118554735,0.011638940957447788
105,-1.0,-23.123159399262228,2.4578155152561374,-0.7798200582707866,0.010109540006805924
105,0.0,-20.664986136115534,2.103182279129533,-0.5559606105483994,0.011638940957447788
106,1.0,-25.214939985716292,2.8125674608272524,0.9895315166882325,0.046510223091108874
106,-1.0,-25.28273664696703,2.6970848256164635,-0.2316654162500139,0.046510223091108874
106,0.0,-38.80817069122241,11.175167461044463,2.308756417750096,0.010109540006805924
107,1.0,-36.803183562924985,8.968251414837429,4.163332912677592,0.046510223091108874
107,-1.0,-15.014432296206007,1.454564473274087,-0.5657358996479669,0.046510223091108874
107,0.0,-21.649739929624072,2.296045996619834,0.20037019379465673,0.031744999658616914
108,1.0,-23.622045837271443,2.6977206919842294,2.054608536605098,0.011638940957447788
108,-1.0,-30.233666561606654,3.7138184949039648,0.1486460196033853,0.011638940957447788
108,0.0,-28.26915476096341,3.4742009264258753,1.1038406077630272,0.010109540006805924
109,1.0,-20.22724857496996,2.2687118713929606,-2.933901872018676,0.01
109,-1.0,-25.499447759550762,2.8383502045107707,-0.5815925242745181,0.011638940957447788
109,0.0,-24.815663270838144,2.88987849506505,-2.7034000830683467,0.031744999658616914
110,1.0,-46.00558360587485,16.87588044596038,-5.578073092915552,0.046510223091108874
110,-1.0,-48.01950449677468,22.74993645302815,-8.472065061049278,0.031744999658616914
110,0.0,-44.13273986904391,17.85963228772005,-10.0,0.010109540006805924
111,1.0,-17.518108710112855,1.6973572260242635,-0.310618156371659,0.046510223091108874
111,-1.0,-13.527326772889664,1.3061596522291343,1.256941627417149,0.046510223091108874
111,0.0,-17.096525753679494,1.707122435668637,1.0807831003537054,0.011638940957447788
112,1.0,-40.53258416348457,11.015491646977823,2.1902457448950936,0.011638940957447788
112,-1.0,-29.680507346025614,3.656374747766664,1.0219046399970653,0.010109540006805924
112,0.0,-39.20793499439982,10.18670072191475,-1.0287233488743008,0.031744999658616914
113,1.0,-32.54504616426661,4.291366933081707,1.672367991795728,0.010109540006805924
113,-1.0,-37.44200308951623,6.155182180882653,-0.016668099811420534,0.031744999658616914
113,0.0,-45.80843555682031,15.607010796434903,0.33859783329731397,0.010109540006805924
114,1.0,-41.54246068827883,15.098747364232144,3.368121748304623,0.031744999658616914
114,-1.0,-39.18015007564439,12.973197031698446,7.720411216398152,0.046510223091108874
114,0.0,-38.011867414007924,8.185206547231333,0.5922755243548589,0.010109540006805924
115,1.0,-33.094372506231295,5.088285077121332,2.8171409319530256,0.011638940957447788
115,-1.0,-41.91048075330387,10.059324450237295,1.8018592738585832,0.031744999658616914
115,0.0,-38.61825618541326,7.244700640838559,1.7876688684968631,0.046510223091108874
116,1.0,-16.117477076781878,1.7987107963834468,0.05809771595378305,0.031744999658616914
116,-1.0,-26.2115445390313,3.4670005364190755,0.9097332685138974,0.011638940957447788
116,0.0,-28.32367449070142,3.8800409799589755,-1.6807160555999188,0.046510223091108874
117,1.0,-36.37014787042449,5.70386638915067,-0.6864506176330972,0.046510223091108874
117,-1.0,-43.74876586869754,12.090845291878717,-0.08434053419079275,0.01
117,0.0,-35.17940112961939,5.45097906252625,-1.7143476076574329,0.031744999658616914
118,1.0,-19.484699059859274,2.0559797448842407,-0.4975626603915284,0.010109540006805924
118,-1.0,-15.676732666679875,1.5703243113877585,-1.0580997899734963,0.01
118,0.0,-24.903797702811552,2.640861045914742,0.018615765713549302,0.01
119,1.0,-35.352868349231144,5.9340112743299285,1.0546004293179707,0.011638940957447788
119,-1.0,-27.68500402463388,3.4638980107521515,0.34201634584177687,0.011638940957447788
119,0.0,-39.00751237649927,12.413797313294786,5.990267153366337,0.031744999658616914
120,1.0,-37.172500281369594,15.835945494069604,9.763372689768532,0.046510223091108874
120,-1.0,-32.747564971985135,9.905308990475923,3.1078310376842566,0.01
120,0.0,-30.97842514869028,4.449009905443327,-1.2698040272476117,0.01
121,1.0,-40.19934382554238,13.608647134584118,2.3229271557386246,0.011638940957447788
121,-1.0,-39.50762887845063,9.125965698331349,3.63470875732922,0.046510223091108874
121,0.0,-40.09487081849672,8.518662347073942,-0.21573486682026477,0.031744999658616914
122,1.0,-21.688298705772667,2.6964114062984024,0.49516894000366996,0.011638940957447788
122,-1.0,-17.803993688823812,2.1525577859296696,2.122495712202459,0.011638940957447788
122,0.0,-17.92997144331289,2.410591627694652,1.777939038972372,0.011638940957447788
123,1.0,-53.94986637293242,30.0,-8.74330970480628,0.011638940957447788
123,-1.0,-52.98227908048775,30.0,-10.0,0.01
123,0.0,-53.030667116230504,30.0,-10.0,0.01
124,1.0,-28.149883112116598,3.6266506351456873,2.0249078792444184,0.010109540006805924
124,-1.0,-20.264179685174174,2.5931056390071148,0.4419631043763855,0.010109540006805924
124,0.0,-30.006424856309085,4.69990699821825,1.6104461748670058,0.046510223091108874
125,1.0,-52.20700913404071,30.0,9.524051807291587,0.01
125,-1.0,-50.89749101046617,30.0,8.470029369721692,0.031744999658616914
125,0.0,-50.318742087724765,30.0,5.398131988251203,0.01
126,1.0,-26.873259260943236,3.154181638907621,-1.4812986169268723,0.010109540006805924
126,-1.0,-26.334334215609637,2.9968861211589863,-1.6107449198312906,0.031744999658616914
126,0.0,-28.922577280583972,3.486052378568812,-1.547361343526116,0.011638940957447788
127,1.0,-38.39740471234739,7.194877673402094,2.678540078980871,0.046510223091108874
127,-1.0,-39.86444266202145,9.215617149780355,1.7386860903003156,0.031744999658616914
127,0.0,-33.6112430823508,5.521483200091571,4.301611722114811,0.01
128,1.0,-45.43739881063253,18.85361139105172,-10.0,0.031744999658616914
128,-1.0,-47.256506431204556,21.906986312070654,-9.81588715829789,0.031744999658616914
128,0.0,-45.27190529841266,19.51157115274494,-10.0,0.01
129,1.0,-29.36278819306956,3.6892956337757448,-1.0240675583996368,0.046510223091108874
129,-1.0,-28.39546008249939,3.326493697711823,0.2277087917312994,0.046510223091108874
129,0.0,-25.29602940656989,2.9015909511407156,-1.1780231868892583,0.01
130,1.0,-31.363088091950104,4.097814848048951,-1.8496756572400472,0.01
130,-1.0,-24.204635119607605,2.6479076946641844,1.0620231169631962,0.046510223091108874
130,0.0,-30.87157885824335,3.747608732842498,-0.8646785955998738,0.01
131,1.0,-29.880036817489888,3.919226996513183,2.883277674545686,0.01
131,-1.0,-36.12402547760475,5.360148773713359,1.2632518938076194,0.010109540006805924
131,0.0,-35.11881440611709,5.878651139244549,3.460488535476296,0.011638940957447788
132,1.0,-32.741984071679475,6.304571834774556,-6.1336679216205034,0.046510223091108874
132,-1.0,-34.49054863918397,5.069711785691768,-2.1494493244495505,0.031744999658616914
132,0.0,-27.55967704336063,3.6835216948617995,-3.8719308203371443,0.046510223091108874
133,1.0,-37.93979092082,6.612667979285436,-2.1135876358598473,0.011638940957447788
133,-1.0,-39.821276774191226,7.768818907810591,1.4522560094388992,0.01
133,0.0,-41.64859818501021,10.964983551915806,-4.467439629067056,0.046510223091108874
134,1.0,-36.49810963179246,7.930752281778568,5.442661438042418,0.031744999658616914
134,-1.0,-32.82789424997089,4.749056619944418,2.780899573566108,0.031744999658616914
134,0.0,-36.69287616061528,5.770289517409828,1.9761456583448966,0.046510223091108874
135,1.0,-23.00209653699568,2.4147787969217496,0.9478855266562037,0.01
135,-1.0,-25.067583721445324,2.8308966637936916,1.5768570733108658,0.031744999658616914
135,0.0,-24.58779973916026,2.6412646252913587,-0.15428169878112782,0.011638940957447788
136,1.0,-35.87972354135116,6.376793379828767,3.769807602886593,0.011638940957447788
136,-1.0,-36.79722554075717,5.827041290119043,-1.0784094161148057,0.01
136,0.0,-32.97868147461661,5.0205018796764005,3.6744140864257875,0.011638940957447788
137,1.0,-35.385794689459935,5.537642987241303,2.763740801321109,0.046510223091108874
137,-1.0,-34.22529140152885,5.986017827264706,4.468570352245077,0.010109540006805924
137,0.0,-37.23283806968953,6.212255769558443,2.066875784569395,0.031744999658616914
138,1.0,-13.891247742052364,1.8157585556124074,-5.05806139439502,0.031744999658616914
138,-1.0,-20.203433900334794,3.5206701891108847,-7.158370933039821,0.011638940957447788
138,0.0,-18.242588393740082,4.47411689013311,-9.648941438248555,0.01
139,1.0,-22.530413156972784,2.419643211828064,2.187018454548013,0.010109540006805924
139,-1.0,-21.626604906130943,2.303248892281806,1.6096344315994273,0.01
139,0.0,-31.184544503931523,3.999217432073155,1.33765290763336,0.010109540006805924
140,1.0,-17.426851504578252,1.6711782787315668,0.26873688078358887,0.031744999658616914
140,-1.0,-23.92433697195784,2.543773374716897,1.065872694105776,0.010109540006805924
140,0.0,-14.409522885333203,1.4072320113796366,1.7270098076297975,0.010109540006805924
141,1.0,-38.872304320404595,6.974613219937153,-1.3752382614438432,0.01
141,-1.0,-34.17238020777097,4.606610566034011,-0.3588650073038762,0.031744999658616914
141,0.0,-35.62792160606967,5.719267955151275,-1.4193050614238867,0.031744999658616914
142,1.0,-44.955549566872534,14.768434718243773,2.6725383292150413,0.01
