participant,incentive,ll,sigma_act,choice_bias,p_lapse
50,1.0,-19.19990788582276,2.011344511529002,0.48997762496121655,0.010109540006805924
50,0.0,-27.035700440447265,2.992828623072669,0.24321956864000627,0.011638940957447788
50,-1.0,-20.43587106023262,2.144075965520125,1.176392708563045,0.01
51,1.0,-28.333182110392283,4.66481079912506,4.7531069229403204,0.010109540006805924
51,0.0,-26.3890598949139,3.1953837572931576,2.0479126668678362,0.031744999658616914
51,-1.0,-31.663968974591246,5.379681484718276,3.0247046909589335,0.01
52,1.0,-46.88698008151047,21.381942181721918,0.9182711585991639,0.01
52,0.0,-46.87471566375496,22.57302735382469,-4.010687877330253,0.046510223091108874
52,-1.0,-44.72094502548303,13.348925400334405,1.4294757024011566,0.011638940957447788
53,1.0,-22.51367354656233,4.249613269148591,5.073264756622547,0.031744999658616914
53,0.0,-34.04988633874903,12.854205191116534,10.0,0.031744999658616914
53,-1.0,-32.73959943515449,6.878050820607167,3.6493938058652002,0.01
54,1.0,-27.175554912027845,3.4712097410003024,2.67098082846186,0.031744999658616914
54,0.0,-37.04036070468731,7.285350204794589,4.08102015928137,0.010109540006805924
54,-1.0,-32.841145262428405,5.327612231024851,4.156594954523313,0.046510223091108874
55,1.0,-30.47702145974122,3.810990455474122,0.2906042084360889,0.011638940957447788
55,0.0,-39.3962150511984,10.554677586536782,5.530396205902169,0.031744999658616914
55,-1.0,-31.973744478902752,3.959245498594203,0.6040978419358145,0.046510223091108874
56,1.0,-29.522492283701222,3.4653915091385374,0.5617673978305827,0.01
56,0.0,-27.430617608222263,3.122370211752674,1.1138924793841913,0.046510223091108874
56,-1.0,-35.369279836067236,5.229698761689044,1.399596816064015,0.010109540006805924
57,1.0,-32.24207149539482,4.402396938107371,0.5843740977044122,0.010109540006805924
57,0.0,-38.33986266412148,10.742418421329475,0.12975603185771004,0.01
57,-1.0,-31.61365713677236,4.425737728074896,-2.5503440595479496,0.01
58,1.0,-41.68527203013004,17.08720326698344,4.877876216147431,0.031744999658616914
58,0.0,-47.3131227585192,30.0,10.0,0.01
58,-1.0,-43.95047943582451,17.110588863020766,0.5398084783419008,0.031744999658616914
59,1.0,-38.78780192728396,7.356135314079948,-1.3360035847211693,0.046510223091108874
59,0.0,-39.23583664801574,7.160302316282131,-0.9181480260102861,0.031744999658616914
59,-1.0,-36.41084507171622,6.294513738577855,-2.6867335040215483,0.010109540006805924
60,1.0,-42.794674541598305,10.960832929044834,-1.354122817819518,0.010109540006805924
60,0.0,-49.74391854154753,24.20669440519972,3.340080471963589,0.010109540006805924
60,-1.0,-44.0745850378713,14.724562114638623,-5.902497046058799,0.011638940957447788
61,1.0,-33.66148493552986,4.6041679376999305,1.3617626715187339,0.011638940957447788
61,0.0,-37.543232164212306,11.326116644385179,-5.179444282380208,0.01
61,-1.0,-44.26682157217803,18.441500008332113,-2.954907210443711,0.031744999658616914
62,1.0,-46.7028355255357,26.48278662808021,-10.0,0.01
62,0.0,-48.44155922808862,25.196696425004085,-2.175480077643307,0.031744999658616914
62,-1.0,-49.89421924338477,30.0,-10.0,0.01
63,1.0,-40.153999431378125,7.931716417568395,-0.3566343530996874,0.031744999658616914
63,0.0,-39.1641997015811,7.417230681095885,1.791663938909853,0.010109540006805924
63,-1.0,-38.99143964676276,7.5063122543407275,2.3385249290136634,0.01
64,1.0,-25.69719324949547,2.86007004015456,0.773556628674232,0.031744999658616914
64,0.0,-19.874757645511615,2.0768195168616925,-0.47786668163262547,0.031744999658616914
64,-1.0,-14.498779279445715,1.434779537652755,1.8473341494345856,0.031744999658616914
65,1.0,-34.333151392540216,4.913757078864714,2.1182806051733425,0.010109540006805924
65,0.0,-36.96549100831289,6.34041135830189,1.7985625162313936,0.011638940957447788
65,-1.0,-34.3303615998161,4.920552261129588,2.150762928755299,0.01
66,1.0,-28.351483410557886,4.215276907468026,0.2898981332133923,0.01
66,0.0,-36.09181073693665,8.448316054620578,0.23679721332485626,0.011638940957447788
66,-1.0,-37.244706342753304,7.658294529699803,-0.45936929382113917,0.011638940957447788
67,1.0,-40.848332830718824,9.089845030584938,-2.1718332113988894,0.011638940957447788
67,0.0,-44.3164017602779,13.011942916230138,2.1083424968398443,0.011638940957447788
67,-1.0,-39.854683206728936,8.268675710842446,2.507670316497018,0.010109540006805924
68,1.0,-45.492680208475406,20.14921293002911,10.0,0.031744999658616914
68,0.0,-52.111680976608575,30.0,-3.3768088548163893,0.031744999658616914
68,-1.0,-46.79508807533263,19.24333630412263,8.100434372202153,0.01
69,1.0,-37.24681320516333,9.827938060224797,-0.9308399996409729,0.031744999658616914
69,0.0,-27.9091931274786,5.272789771512992,1.2430147753590715,0.01
69,-1.0,-44.28316560620999,20.266357153455303,1.0470360177066402,0.031744999658616914
70,1.0,-27.83275455481024,3.354298207442337,-1.0885636076485539,0.046510223091108874
70,0.0,-37.16069691335312,6.96878101710905,-1.55978872023522,0.01
70,-1.0,-34.70686757223875,5.408513523126041,-1.2307861315698516,0.011638940957447788
71,1.0,-36.6655967797237,6.281907341150567,-2.974139875942119,0.01
71,0.0,-37.00324326811172,7.117158587949903,-3.458562063133529,0.031744999658616914
71,-1.0,-40.144099570680496,9.351750530988003,1.1423211533806146,0.031744999658616914
72,1.0,-25.696259511079933,3.073025069183237,-0.7189775783973432,0.010109540006805924
72,0.0,-25.350634513421213,2.894900166649845,-0.7691195297104723,0.010109540006805924
72,-1.0,-25.88763574525981,3.3699032847953045,-0.6218981188317976,0.011638940957447788
73,1.0,-48.59820571556877,24.985068936781058,1.5785437266984854,0.031744999658616914
73,0.0,-47.292227754602024,22.63998625343943,10.0,0.031744999658616914
73,-1.0,-42.051275068748986,14.698864938106537,5.330006978004931,0.031744999658616914
74,1.0,-32.616282620947985,4.192029665557903,-0.24796189871065433,0.031744999658616914
74,0.0,-35.750593642056614,5.681497823882065,2.839649132487773,0.01
74,-1.0,-34.34385488471047,4.6980595206949936,0.5836679425363936,0.031744999658616914
75,1.0,-27.403641179772087,3.0824963902545366,0.7709585012179646,0.046510223091108874
75,0.0,-31.264155732477768,4.001336802703661,2.1903486211000995,0.011638940957447788
75,-1.0,-29.8958016413613,3.8862242195386068,2.5999046307976905,0.046510223091108874
76,1.0,-38.27979430188354,7.01850720966248,2.787087804510464,0.010109540006805924
76,0.0,-31.81970879489911,4.195873324228139,-0.7285330398758162,0.031744999658616914
