"choiceType","incentive","coh3",".variable","mean","sd","sem","n","q2.5","q50","q97.5"
"Free","-1",-1,"dprime",0.533685685219994,0.502918535427012,0.0513289080826669,96,0.433081025377967,0.533685685219994,0.634290345062021
"Observed","-1",-1,"dprime",0.537772088097385,0.221744211322772,0.0221744211322772,100,0.494310222678121,0.537772088097385,0.581233953516648
"Free","0",-1,"dprime",0.533685685219994,0.502918535427012,0.0513289080826669,96,0.433081025377967,0.533685685219994,0.634290345062021
"Observed","0",-1,"dprime",0.537772088097385,0.221744211322772,0.0221744211322772,100,0.494310222678121,0.537772088097385,0.581233953516648
"Free","1",-1,"dprime",0.533685685219994,0.502918535427012,0.0513289080826669,96,0.433081025377967,0.533685685219994,0.634290345062021
"Observed","1",-1,"dprime",0.537772088097385,0.221744211322772,0.0221744211322772,100,0.494310222678121,0.537772088097385,0.581233953516648
"Free","-1",0,"dprime",1.66898276662522,0.754376080080896,0.076993186264964,96,1.51807612154589,1.66898276662522,1.81988941170455
"Observed","-1",0,"dprime",1.43943407851492,0.17300929048866,0.017300929048866,100,1.40552425757914,1.43943407851492,1.4733438994507
"Free","0",0,"dprime",1.66898276662522,0.754376080080896,0.076993186264964,96,1.51807612154589,1.66898276662522,1.81988941170455
"Observed","0",0,"dprime",1.43943407851492,0.17300929048866,0.017300929048866,100,1.40552425757914,1.43943407851492,1.4733438994507
"Free","1",0,"dprime",1.66898276662522,0.754376080080896,0.076993186264964,96,1.51807612154589,1.66898276662522,1.81988941170455
"Observed","1",0,"dprime",1.43943407851492,0.17300929048866,0.017300929048866,100,1.40552425757914,1.43943407851492,1.4733438994507
"Free","-1",1,"dprime",2.80427984803045,1.11261980996006,0.113556283838106,96,2.58170953170776,2.80427984803045,3.02685016435314
"Observed","-1",1,"dprime",2.34109606893245,0.283689109419708,0.0283689109419708,100,2.28549300348619,2.34109606893245,2.39669913437872
"Free","0",1,"dprime",2.80427984803045,1.11261980996006,0.113556283838106,96,2.58170953170776,2.80427984803045,3.02685016435314
"Observed","0",1,"dprime",2.34109606893245,0.283689109419708,0.0283689109419708,100,2.28549300348619,2.34109606893245,2.39669913437872
"Free","1",1,"dprime",2.80427984803045,1.11261980996006,0.113556283838106,96,2.58170953170776,2.80427984803045,3.02685016435314
"Observed","1",1,"dprime",2.34109606893245,0.283689109419708,0.0283689109419708,100,2.28549300348619,2.34109606893245,2.39669913437872
"Free","-1",-1,"M",0.722449710863815,0.442887476648145,0.0452020138023648,96,0.63385376381118,0.722449710863815,0.81104565791645
"Observed","-1",-1,"M",1.41336652457002,1.38310665064627,0.138310665064627,100,1.14227762104335,1.41336652457002,1.68445542809669
