subset,param,n,mean,sem,t,p
all,mu_incentive,96,-0.011290737006307177,0.025821605151681068,-0.43725930049596917,0.6629157015179994
all,mu_incentive_coh3,96,0.036564989506149975,0.02384590431191217,1.5333865735544372,0.12850426185545089
all,type2_incentive,96,-0.14709559423522248,0.020192456886098768,-7.284680366780355,9.380678729846911e-11
all,coh3,96,0.41711565541933,0.03655042992570716,11.412058798409877,1.6570688110446448e-19
all,dprime_coh3,96,1.135705508127665,0.04291113199232079,26.46645416697249,1.2621322298699182e-45
all,Intercept,96,-0.6449360357373423,0.1040081548808365,-6.200821815137994,1.4484693360770387e-08
qc_pass,mu_incentive,72,-0.033386142975301535,0.028166846577162688,-1.1852992802669855,0.23985121150694094
qc_pass,mu_incentive_coh3,72,0.04049396556280952,0.026710359351447492,1.5160397144044813,0.13394913114723236
qc_pass,type2_incentive,72,-0.16275842867876195,0.02325530511676394,-6.9987655660314285,1.180413501232329e-09
qc_pass,coh3,72,0.46979123465313855,0.04359551271927149,10.776137390063688,1.3608146391210756e-16
qc_pass,dprime_coh3,72,1.1095843128787317,0.05071795180821659,21.877545786440315,2.8261418958252083e-33
qc_pass,Intercept,72,-0.6340128554081049,0.1026537533790198,-6.1762267285755525,3.6561790088316704e-08
