"choiceType","param","mean","sd","sem","n","q2.5","q50","q97.5","t","df","p"
"Free","c_Intercept",-0.122888249505002,0.341904130405674,0.0348954441851625,96,-0.835823270549766,-0.119487560407864,0.512298868818242,-3.52161298916075,95,0.000660971210124664
"Observed","c_Intercept",-0.00160681101443104,0.0955811804308097,0.00955811804308097,100,-0.176634094016228,-0.00335068737597686,0.160342587353336,-0.168109559558557,99,0.866840044080998
"Free","coh3",0.418708060640562,0.359019254448149,0.0366422492180169,96,-0.157047407774032,0.387672002918285,1.14607820162413,11.426920278537,95,1.54186658686085e-19
"Observed","coh3",0.275568301407689,0.411510632672873,0.0411510632672873,100,-0.421200087746964,0.222049750431221,1.15563372280595,6.69650501173683,99,1.30470757314404e-09
"Free","dprime_coh3",1.13529708140523,0.419930562352381,0.0428589835484721,96,0.207784876665875,1.18470692142081,1.77968380618461,26.4891275389498,95,1.17475617456449e-45
"Observed","dprime_coh3",0.901661990417534,0.18679611461126,0.018679611461126,100,0.532502916080052,0.903791220300938,1.22332736018059,48.2698471696789,99,1.31024560706093e-70
"Free","dprime_Intercept",1.66898276662522,0.754376080080896,0.076993186264964,96,0.269743218446279,1.64046720819437,3.07136538763125,21.6770190660975,95,1.49447882580456e-38
"Observed","dprime_Intercept",1.43943407851492,0.17300929048866,0.017300929048866,100,1.12073676011775,1.43181563032187,1.75065665297531,83.1998139781555,99,1.96155640155504e-93
"Free","incentive0",-0.0393341022814657,0.327498336723024,0.0334251590242333,96,-0.697625678550627,-0.0130807217247112,0.58775104930182,-1.17678130575081,95,0.242222937183414
"Observed","incentive0",-0.0304548952370984,0.348626320551763,0.0348626320551763,100,-0.547516801922075,-0.0409674784976526,0.79850431746469,-0.873568443968836,99,0.384467387330342
"Free","incentive0:coh3",0.0835336679924508,0.308625503061579,0.0314989585046098,96,-0.527400764052761,0.0726126896340208,0.654521905216805,2.65195015829573,95,0.0093784912563872
"Observed","incentive0:coh3",0.0212262067017371,0.301408872173087,0.0301408872173087,100,-0.64225324022685,0.0255027767959466,0.551846320746136,0.70423297591412,99,0.482940966736185
"Free","incentive1",0.0262085836067147,0.346480247494509,0.0353624921797824,96,-0.528753218979677,-0.00091205571496425,0.667717609995844,0.741140739557343,95,0.460436221793961
"Observed","incentive1",-0.0173864360617495,0.30932850917169,0.030932850917169,100,-0.717051441711082,0.0166406180498533,0.54531006829708,-0.562070276299663,99,0.575338532512106
"Free","incentive1:coh3",-0.0141954660320445,0.297673877186803,0.0303812128693156,96,-0.675214945205463,0.0130434428026905,0.549338939291748,-0.467244875742985,95,0.641394633518791
"Observed","incentive1:coh3",0.0643191777650061,0.281399097051353,0.0281399097051353,100,-0.475871762284471,0.0755774364362156,0.635466875142017,2.28569240054343,99,0.0244043008664123
"Free","Intercept",-0.647351434323817,1.00033418133905,0.102096179856059,96,-3.30506420473772,-0.459866070522772,0.543873256898791,-6.340603881913,95,7.67832107013030e-09
"Observed","Intercept",-0.348598315056798,1.54038071546059,0.154038071546059,100,-4.26794233237283,0.0764268471045506,1.41211696540341,-2.26306595218938,99,0.0258153386303795
"Free","metac2one1diff_incentive0",-0.114912190828783,0.349156761484272,0.0356356627449632,96,-1.00248630489799,-0.0240721437364291,0.356445788325475,-3.22464020526811,95,0.00172974839529837
"Observed","metac2one1diff_incentive0",-0.0726770027396704,0.414448183472052,0.0414448183472052,100,-0.914991866719525,-0.0220029956114255,0.627799796923103,-1.7535847818373,99,0.0825966370211035
"Free","metac2one1diff_incentive1",-0.129499754295813,0.378673589496629,0.0386482113889533,96,-1.22744122333543,-0.0456765779416205,0.338350692495033,-3.35073085252343,95,0.00115761093602528
"Observed","metac2one1diff_incentive1",-0.0330033385450354,0.327030786155646,0.0327030786155646,100,-0.681222961433129,-0.0394303707068327,0.539050270848423,-1.00918139643672,99,0.315347855923965
"Free","metac2one1diff_Intercept",-2.91098052535934,0.707158735838899,0.0721740862482042,96,-3.52542477226172,-3.13241920792687,-0.704525075816693,-40.3327659092015,95,1.4371648202488e-61
"Observed","metac2one1diff_Intercept",-2.23343915854987,0.955262218120337,0.0955262218120337,100,-3.52731108864203,-2.36371826932563,-0.438697289424583,-23.3803778290802,99,4.24367256864467e-42
"Free","metac2one2diff_incentive0",-0.0893329886829945,0.332683427628411,0.0339543601487392,96,-1.04144127480878,-0.0418671151606988,0.411544227608104,-2.630972525816,95,0.00993459698662053
"Observed","metac2one2diff_incentive0",0.0879429860387609,0.440383947693783,0.0440383947693783,100,-0.65962878147841,0.0196739307736553,0.87426118926257,1.99696166264242,99,0.0485743959030358
"Free","metac2one2diff_incentive1",-0.177079017048031,0.383192502022981,0.0391094209673631,96,-1.03562817372764,-0.0569201277191291,0.308706860780493,-4.52778416729319,95,1.72851334670917e-05
"Observed","metac2one2diff_incentive1",-0.0706785236289751,0.39014015024144,0.039014015024144,100,-0.99153670962782,-0.0387734956683348,0.787483380345207,-1.81161881403991,99,0.0730771005332821
"Free","metac2one2diff_Intercept",-2.79540941828498,0.643507869054266,0.0656777468603619,96,-3.49328603787266,-3.00348523348188,-0.99734589014093,-42.5625048348313,95,1.1290146296788e-63
"Observed","metac2one2diff_Intercept",-2.24102469724338,0.826348458660138,0.0826348458660137,100,-3.50323945291953,-2.34882289069438,-0.629249383844941,-27.1196088497222,99,1.27028358457491e-47
"Free","metac2one3diff_incentive0",-0.211768334598385,0.458282261422491,0.0467732374439113,96,-1.30634669073226,-0.0901318410919418,0.572535084742598,-4.52755349364751,95,1.73006441815728e-05
"Observed","metac2one3diff_incentive0",-0.050058177638307,0.42333955012561,0.042333955012561,100,-0.991427967445257,-0.030729072333479,0.70881649117858,-1.18245927231354,99,0.239855681939319
"Free","metac2one3diff_incentive1",-0.338463955700731,0.563377057557959,0.0574994301586496,96,-1.98404685712682,-0.163708809183068,0.369882878467129,-5.88638800013944,95,5.91825135707789e-08
