participant,stimulus,response,confidence,incentive_c,zcoh
exp1a_1,1,1,6,1.0,0.843383917424483
exp1a_1,0,0,6,1.0,0.843383917424483
exp1a_1,0,0,1,-1.0,0.2178428302469978
exp1a_1,1,1,5,0.0,0.2178428302469978
exp1a_1,0,0,6,-1.0,0.843383917424483
exp1a_1,1,0,4,0.0,-0.037429674856308215
exp1a_1,0,0,6,1.0,-0.25927842447266464
exp1a_1,1,0,6,1.0,-0.037429674856308215
exp1a_1,0,0,6,1.0,0.2178428302469978
exp1a_1,0,0,6,0.0,0.843383917424483
exp1a_1,1,0,6,0.0,-0.25927842447266464
exp1a_1,0,0,1,-1.0,-0.037429674856308215
exp1a_1,1,0,6,1.0,-0.25927842447266464
exp1a_1,1,1,6,1.0,0.2178428302469978
exp1a_1,1,1,6,0.0,0.843383917424483
exp1a_1,0,1,6,0.0,-0.037429674856308215
exp1a_1,1,1,6,-1.0,0.843383917424483
exp1a_1,0,0,6,1.0,-0.037429674856308215
exp1a_1,0,1,6,0.0,-0.7363996791923271
exp1a_1,0,1,2,-1.0,-0.7363996791923271
exp1a_1,1,0,5,0.0,-0.7363996791923271
exp1a_1,1,0,2,-1.0,-0.25927842447266464
exp1a_1,0,0,4,0.0,-0.25927842447266464
exp1a_1,1,0,5,1.0,-0.7363996791923271
exp1a_1,0,0,5,0.0,0.2178428302469978
exp1a_1,0,0,5,1.0,-0.7363996791923271
exp1a_1,0,0,2,-1.0,-0.25927842447266464
exp1a_1,1,1,2,-1.0,-0.037429674856308215
exp1a_1,1,1,1,-1.0,0.2178428302469978
exp1a_1,1,0,1,-1.0,-0.7363996791923271
exp1a_1,0,1,6,0.0,-0.7363996791923271
exp1a_1,1,0,6,1.0,-0.7363996791923271
exp1a_1,1,1,1,-1.0,-0.25927842447266464
exp1a_1,1,0,1,-1.0,0.2178428302469978
exp1a_1,0,0,6,0.0,0.2178428302469978
exp1a_1,1,1,6,1.0,0.843383917424483
exp1a_1,1,0,2,-1.0,-0.037429674856308215
exp1a_1,1,1,6,-1.0,0.843383917424483
exp1a_1,0,0,2,-1.0,-0.7363996791923271
exp1a_1,0,0,6,1.0,0.843383917424483
exp1a_1,0,0,6,0.0,0.843383917424483
exp1a_1,0,0,6,0.0,-0.037429674856308215
exp1a_1,1,1,6,1.0,0.2178428302469978
