"choiceType","incentive","coh3",".variable","mean","sd","sem","n","q2.5","q50","q97.5"
"Free","0.1",-1,"dprime",0.606078093041488,0.547251626560282,0.0570549261269991,92,0.49425043783257,0.606078093041488,0.717905748250406
"Observed","0.1",-1,"dprime",1.29551065396937,0.252362746592827,0.0252362746592827,100,1.24604755563718,1.29551065396937,1.34497375230157
"Free","1",-1,"dprime",0.606078093041488,0.547251626560282,0.0570549261269991,92,0.49425043783257,0.606078093041488,0.717905748250406
"Observed","1",-1,"dprime",1.29551065396937,0.252362746592827,0.0252362746592827,100,1.24604755563718,1.29551065396937,1.34497375230157
"Free","0.1",0,"dprime",1.7668862528063,0.844337869643268,0.0880283080774324,92,1.59435076897453,1.7668862528063,1.93942173663807
"Observed","0.1",0,"dprime",1.32157506871937,0.179225164722322,0.0179225164722322,100,1.28644693643379,1.32157506871937,1.35670320100494
"Free","1",0,"dprime",1.7668862528063,0.844337869643268,0.0880283080774324,92,1.59435076897453,1.7668862528063,1.93942173663807
"Observed","1",0,"dprime",1.32157506871937,0.179225164722322,0.0179225164722322,100,1.28644693643379,1.32157506871937,1.35670320100494
"Free","0.1",1,"dprime",2.92769441257111,1.20141854920439,0.125256542412327,92,2.68219158944295,2.92769441257111,3.17319723569927
"Observed","0.1",1,"dprime",1.34763948346936,0.258336357626775,0.0258336357626775,100,1.29700555737452,1.34763948346936,1.39827340956421
"Free","1",1,"dprime",2.92769441257111,1.20141854920439,0.125256542412327,92,2.68219158944295,2.92769441257111,3.17319723569927
"Observed","1",1,"dprime",1.34763948346936,0.258336357626775,0.0258336357626775,100,1.29700555737452,1.34763948346936,1.39827340956421
"Free","0.1",-1,"M",0.867569869961506,0.540678879857101,0.0563696699132194,92,0.757085316931596,0.867569869961506,0.978054422991417
"Observed","0.1",-1,"M",0.953783094624095,0.977013780650439,0.0977013780650439,100,0.762288393616609,0.953783094624095,1.14527779563158
"Free","1",-1,"M",0.842902830004363,0.471537222300715,0.0491611538070671,92,0.746546968542512,0.842902830004363,0.939258691466215
"Observed","1",-1,"M",0.881557591211097,0.820492019962141,0.0820492019962142,100,0.720741155298517,0.881557591211097,1.04237402712368
"Free","0.1",0,"M",0.972278568712142,0.444837439965323,0.0463775090725093,92,0.881378650930024,0.972278568712142,1.06317848649426
"Observed","0.1",0,"M",1.61988528971652,1.20946273003412,0.120946273003412,100,1.38283059462983,1.61988528971652,1.8569399848032
"Free","1",0,"M",0.964730809746663,0.421964170838443,0.0439928059177286,92,0.878504910147915,0.964730809746663,1.05095670934541
"Observed","1",0,"M",1.5796284717849,1.23446979380339,0.123446979380339,100,1.33767239219944,1.5796284717849,1.82158455137037
"Free","0.1",1,"M",1.39227805932716,0.58588180026795,0.0610824001447878,92,1.27255655504337,1.39227805932716,1.51199956361094
"Observed","0.1",1,"M",3.32402218059689,2.07818205329506,0.207818205329506,100,2.91669849815106,3.32402218059689,3.73134586304272
"Free","1",1,"M",1.51031062118907,0.662988617028531,0.0691213415031072,92,1.37483279184298,1.51031062118907,1.64578845053516
"Observed","1",1,"M",3.47599111806674,2.3317842553185,0.23317842553185,100,3.01896140402431,3.47599111806674,3.93302083210917
"Free","0.1",-1,"meta_d",0.571173940131068,0.640749326913845,0.0668027352294527,92,0.44024057908134,0.571173940131068,0.702107301180795
"Observed","0.1",-1,"meta_d",1.09763299124667,0.931961589131644,0.0931961589131644,100,0.914968519776867,1.09763299124667,1.28029746271647
"Free","1",-1,"meta_d",0.54696994360793,0.657148507141278,0.0685124679575225,92,0.412685506411186,0.54696994360793,0.681254380804674
"Observed","1",-1,"meta_d",1.0434632848083,0.904484486960472,0.0904484486960472,100,0.866184325364052,1.0434632848083,1.22074224425256
"Free","0.1",0,"meta_d",1.825677964573,1.28141109602947,0.13359634192741,92,1.56382913439527,1.825677964573,2.08752679475072
"Observed","0.1",0,"meta_d",2.05857952380202,1.44161600341178,0.144161600341178,100,1.77602278713331,2.05857952380202,2.34113626047073
"Free","1",0,"meta_d",1.84121398642407,1.37997756781171,0.143872606982083,92,1.55922367673918,1.84121398642407,2.12320429610895
"Observed","1",0,"meta_d",2.01324523316141,1.47121757917454,0.147121757917454,100,1.7248865876432,2.01324523316141,2.30160387867962
"Free","0.1",1,"meta_d",3.99743284168822,2.09405972877371,0.218320818672883,92,3.56952403708937,3.99743284168822,4.42534164628707
"Observed","0.1",1,"meta_d",4.17810560018556,2.43206315542194,0.243206315542194,100,3.70142122172286,4.17810560018556,4.65478997864826
"Free","1",1,"meta_d",4.30577853184628,2.41875884497921,0.252173041653103,92,3.8115193702062,4.30577853184628,4.80003769348637
"Observed","1",1,"meta_d",4.33010204813495,2.52059058291094,0.252059058291094,100,3.83606629388441,4.33010204813495,4.82413780238549
