"choiceType","param","mean","sd","sem","n","q2.5","q50","q97.5","t","df","p"
"Free","c_Intercept",-0.0841867575801043,0.326600875146942,0.0340504950558963,92,-0.749937125566281,-0.07030098441177,0.551888081419627,-2.47240920996614,91,0.0152789768702154
"Observed","c_Intercept",-0.0140392656939407,0.0817567436713918,0.00817567436713918,100,-0.182745241337331,-0.017739640907215,0.151996468833111,-1.71719971509254,99,0.0890695306471433
"Free","coh3",0.413809014226791,0.412643334300127,0.0430210415330743,92,-0.250757966025916,0.348646258952347,1.33540511382957,9.61875862323457,91,1.60030308242241e-15
"Observed","coh3",0.761216876862733,0.413712761868821,0.0413712761868821,100,-0.0766755688223382,0.766255445606842,1.48010565118126,18.3996469778735,99,1.02494020161586e-33
"Free","dprime_coh3",1.16080815976481,0.398169559935078,0.041512046242613,92,0.376125683074993,1.19915253781344,1.79587774573105,27.9631640652109,91,1.84593472524253e-46
"Observed","dprime_coh3",0.0260644147499945,0.181908370066165,0.0181908370066165,100,-0.302278342808657,0.0387614552754883,0.363610462742214,1.43283207586953,99,0.155056122177716
"Free","dprime_Intercept",1.7668862528063,0.844337869643268,0.0880283080774324,92,0.246204389672887,1.74121211710844,3.1891226297275,20.0717961232663,91,3.47639174765659e-35
"Observed","dprime_Intercept",1.32157506871937,0.179225164722322,0.0179225164722322,100,1.02637193328256,1.30779785356875,1.67678131158398,73.7382538198205,99,2.51953291891795e-88
"Free","incentive1",-0.0365002454537849,0.281695309665472,0.0293687662187611,92,-0.581559186455111,-0.0315896219130152,0.541477801515332,-1.24282529207741,91,0.217125076312501
"Observed","incentive1",-0.0535196701413833,0.267794775830318,0.0267794775830318,100,-0.655451174462074,-0.0521789240538586,0.408837069760369,-1.99853301751095,99,0.0484010494600839
"Free","incentive1:coh3",0.0973166105052506,0.285967741946932,0.0298141980756447,92,-0.429854416370569,0.119389860296008,0.648759635654634,3.26410290353403,91,0.00154787837861574
"Observed","incentive1:coh3",0.115632123978747,0.280562964909526,0.0280562964909526,100,-0.459170051701571,0.114435178618649,0.579668334288985,4.12143220742036,99,7.83018621858049e-05
"Free","Intercept",-0.332478686083333,0.78683882518338,0.0820336182952347,92,-2.52361953258546,-0.177440409968573,0.527730478989923,-4.05295649506474,91,0.000106401603808215
"Observed","Intercept",-0.0500811348165491,1.34606071506474,0.134606071506474,100,-3.75047631939798,0.108542780289664,1.54634652298,-0.372057027265225,99,0.710645598539639
