"choiceType","param","mean","sd","sem","n","q2.5","q50","q97.5","t","df","p"
"Free","c_Intercept",-0.0833144604240658,0.337300646772272,0.0342476918197316,97,-0.690742346223,-0.104591599582658,0.50037848470025,-2.43270293550308,96,0.0168386421189133
"Observed","c_Intercept",-0.0107106871269936,0.088242758421161,0.0088242758421161,100,-0.172978305001418,-0.0108656778892242,0.156330765682966,-1.21377519454618,99,0.227721308207881
"Free","coh3",0.433009650768595,0.377901079277972,0.0383700411644744,97,-0.168234406121095,0.43337258438165,1.16085689578456,11.2850973735599,96,2.66537465794157e-19
"Observed","coh3",0.312547085513325,0.46703905278536,0.046703905278536,100,-0.445610004243444,0.289601615207343,1.24941100419418,6.69209745200825,99,1.33204770025307e-09
"Free","dprime_coh3",1.18862473965474,0.400655149765318,0.0406803669855251,97,0.174883110552834,1.26497077929563,1.79017215760925,29.2186336489461,96,1.43403529932836e-49
"Observed","dprime_coh3",0.952812615841303,0.194122707537619,0.0194122707537619,100,0.644454137127623,0.934417455619687,1.40568681304498,49.0830067191732,99,2.67676437944091e-71
"Free","dprime_Intercept",1.70443918932265,0.735856713370668,0.0747149292008737,97,0.375271250364148,1.63446507829938,2.99481923228375,22.812565139963,96,1.51631874395878e-40
"Observed","dprime_Intercept",1.44392276140424,0.190991056250147,0.0190991056250147,100,1.10610425983345,1.45443679160719,1.7825914326413,75.6015904489839,99,2.22273878319468e-89
"Free","incentive0",-0.0188890156895375,0.329365494664457,0.0334419991934894,97,-0.594262993003254,-0.0420848223307898,0.694284048675463,-0.56482914135154,96,0.573507492643836
"Observed","incentive0",-0.0860520313169823,0.295650198806423,0.0295650198806423,100,-0.732594027742643,-0.0462025144223805,0.533969876303442,-2.91060285649681,99,0.00445615023150177
"Free","incentive0:coh3",0.0540682366947473,0.334278176592119,0.0339408064690666,97,-0.511090801510085,0.0316251132337815,0.761004331526993,1.593015674039,96,0.114444092966037
"Observed","incentive0:coh3",0.0595323960982395,0.311770592779495,0.0311770592779495,100,-0.535640711724772,0.0575882723517645,0.628919161433655,1.90949363015596,99,0.0590935904194611
"Free","incentive1",0.00670447704762601,0.361737853742158,0.0367289142580766,97,-0.637151469906114,-0.00696130901561569,0.776540587842957,0.182539483757043,96,0.855544298558313
"Observed","incentive1",-0.024696669577417,0.299338237575206,0.0299338237575206,100,-0.690009864895525,-0.00853090448410897,0.526174975743018,-0.825042259133773,99,0.411331172901685
"Free","incentive1:coh3",0.0925506821934268,0.326438523681895,0.0331448103172292,97,-0.538639021835572,0.082457320189273,0.667791326331923,2.79231292342975,96,0.00631602388604032
"Observed","incentive1:coh3",0.0375631864957679,0.263018136447539,0.0263018136447539,100,-0.486396013850116,0.030181360821028,0.527399719209967,1.42815955595747,99,0.156393117766229
"Free","Intercept",-0.592775361468208,0.950770496676898,0.0965361177723075,97,-3.15068740061747,-0.401540524612962,0.462438064724082,-6.14045162730019,96,1.85273609794599e-08
"Observed","Intercept",-0.471984076877972,1.73967512653991,0.173967512653991,100,-4.87127358292194,-0.0121217374224884,1.47026611234919,-2.71305871813385,99,0.00786328757057756
"Free","metac2one1diff_incentive0",-0.0363266169603407,0.220808744217438,0.0224197311669146,97,-0.680041589279538,-0.0170463385130211,0.363473657045476,-1.62029672389422,96,0.108448924089751
"Observed","metac2one1diff_incentive0",0.00143277983639617,0.464021037563892,0.0464021037563892,100,-0.950289696538795,-0.0443815345869018,1.18213223869823,0.030877475812697,99,0.975429416852782
"Free","metac2one1diff_incentive1",-0.0516484124295293,0.179379210136646,0.0182131993116941,97,-0.389563265985788,-0.0387420572662029,0.287321886892041,-2.83576825496921,96,0.00557548862309899
"Observed","metac2one1diff_incentive1",-0.0463196588475974,0.336936078799309,0.0336936078799309,100,-0.824078597627568,-0.0428372837540934,0.623188260394947,-1.37473134407749,99,0.172318360715792
"Free","metac2one1diff_Intercept",-3.14786218503925,0.347888542011812,0.035322729702562,97,-3.50870612732625,-3.222311803875,-2.27833289126425,-89.1171835117525,96,4.11599719778362e-94
"Observed","metac2one1diff_Intercept",-2.19618936285598,0.891125245926286,0.0891125245926286,100,-3.47767711102109,-2.29734328968969,-0.523077090516199,-24.6451256194985,99,4.91575964740177e-44
"Free","metac2one2diff_incentive0",-0.0513188921680551,0.323006738330203,0.032796365307589,97,-0.81209463555576,-0.0301465858857919,0.483213664352106,-1.5647737694939,96,0.120926534486935
"Observed","metac2one2diff_incentive0",0.0543836471948495,0.391376736717997,0.0391376736717997,100,-0.591729651310296,0.0566066655467241,0.933974117506042,1.38954725952542,99,0.167783557463418
"Free","metac2one2diff_incentive1",-0.128111038461015,0.285562547890512,0.0289944837906417,97,-0.922725773193696,-0.062079123494497,0.341733090797068,-4.41846246982899,96,2.61276215628658e-05
"Observed","metac2one2diff_incentive1",-0.122306474416967,0.343090648888546,0.0343090648888546,100,-0.751793932170004,-0.114434727561316,0.514615044669022,-3.5648443002799,99,0.000562378051180147
"Free","metac2one2diff_Intercept",-2.90757285989132,0.593177611101813,0.0602280612675347,97,-3.44553412807,-3.1006665028625,-1.24322733521314,-48.2760493812975,96,3.86865874553133e-69
"Observed","metac2one2diff_Intercept",-2.13651959283541,0.67549254059034,0.067549254059034,100,-3.28561265645594,-2.16108837549375,-0.931577385527282,-31.6290627127906,99,1.4786741401838e-53
"Free","metac2one3diff_incentive0",-0.224256471977088,0.55144202437723,0.055990454474494,97,-1.51887596933565,-0.111567754805071,0.796277765751996,-4.00526257702098,96,0.000122195290904466
"Observed","metac2one3diff_incentive0",-0.104591445203485,0.478649292202237,0.0478649292202237,100,-1.15507040356055,-0.0501339428278275,0.677105713086401,-2.18513736272891,99,0.0312376798981942
"Free","metac2one3diff_incentive1",-0.269845484175569,0.553773555059875,0.0562271855482455,97,-1.86113119626916,-0.113701568837359,0.313284419416846,-4.79919956057607,96,5.84230993587529e-06
"Observed","metac2one3diff_incentive1",-0.131834280621219,0.402457651125707,0.0402457651125707,100,-0.967094883233341,-0.116850968027191,0.500768776580627,-3.27573050860054,99,0.00145331866363641
"Free","metac2one3diff_Intercept",-2.2195182689444,0.972297423996355,0.0987218460823996,97,-3.39648480007375,-2.46987692798562,-0.0946456858227866,-22.482544209028,96,4.93769714777909e-40
"Observed","metac2one3diff_Intercept",-2.07972016587488,0.788674708954287,0.0788674708954288,100,-3.41287589950281,-2.06722616653906,-0.615354122394665,-26.3698092795749,99,1.45954188444007e-46
"Free","metac2one4diff_incentive0",-0.0979463000360078,0.432594811014973,0.0439233482420755,97,-1.1923456071994,-0.0550678758914619,0.639339967832218,-2.22993701427757,96,0.0280818405443411
"Observed","metac2one4diff_incentive0",0.0228981014827792,0.597754780373255,0.0597754780373255,100,-1.1968072051661,-7.46952191250877e-05,0.996473734327881,0.383068479493899,99,0.702490282954813
"Free","metac2one4diff_incentive1",-0.264167719043921,0.520520314231383,0.0528508304928981,97,-1.57639108167081,-0.195522890490353,0.502338111621145,-4.99836457781717,96,2.59840622469434e-06
"Observed","metac2one4diff_incentive1",-0.257568512914174,0.432796339908181,0.0432796339908181,100,-1.16594746733819,-0.239640864502285,0.463300728159132,-5.95126365830214,99,4.0431554602298e-08
"Free","metac2one4diff_Intercept",-0.428501970361842,0.912578180687497,0.0926582756145665,97,-2.73636233467287,-0.30531295444876,0.965327538287863,-4.6245407387495,96,1.17149732745061e-05
"Observed","metac2one4diff_Intercept",-1.13933648866981,1.01978420903071,0.101978420903071,100,-3.18240799631406,-1.02394935954909,0.356835821243862,-11.1723291906308,99,3.09272870256536e-19
"Free","metac2one5diff_incentive0",0.0480948255917091,0.402795789179581,0.0408977159875458,97,-0.792832549920199,0.0249657381004451,0.771555969873706,1.17597827727971,96,0.242511605181184
"Observed","metac2one5diff_incentive0",0.00574612907397218,0.442481252889493,0.0442481252889493,100,-0.846905358501528,0.0209220124773049,0.880089187265425,0.129861526029606,99,0.896939474365666
"Free","metac2one5diff_incentive1",-0.0403146510356442,0.413772249643312,0.0420122066914048,97,-0.962824040218832,-0.0118527189599389,0.673246781956754,-0.959593751686748,96,0.339670324670493
"Observed","metac2one5diff_incentive1",-0.0338499154802342,0.410038206044942,0.0410038206044942,100,-0.707598068125672,-0.0358067903232243,0.789929629953633,-0.825530767162807,99,0.411055220491651
"Free","metac2one5diff_Intercept",-0.470261745152134,0.762906675757295,0.0774614367585006,97,-1.73920064256262,-0.461019502973771,0.888992955652927,-6.07091431337965,96,2.53488439100911e-08
"Observed","metac2one5diff_Intercept",-1.01019765464358,1.08708607644186,0.108708607644186,100,-3.07756418128906,-0.923598748638568,0.904418517261298,-9.29271082148394,99,3.8183439271416e-15
"Free","metac2zero1diff_incentive0",-0.0276607548721316,0.182126082667901,0.0184921019607661,97,-0.387221883858641,-0.0316979159892469,0.343240023810884,-1.49581453373003,96,0.137982293701292
"Observed","metac2zero1diff_incentive0",-0.0257607143179793,0.454919552327338,0.0454919552327338,100,-0.795604380870584,-0.0903557494400857,0.824931204484414,-0.566269666497939,99,0.572491922750204
"Free","metac2zero1diff_incentive1",-0.065953757270801,0.153939603145065,0.0156301985715533,97,-0.471884906249928,-0.0297270739791937,0.139300092043867,-4.21963655604707,96,5.55121746219375e-05
"Observed","metac2zero1diff_incentive1",-0.0034611947019082,0.370107248819003,0.0370107248819003,100,-0.748230700093516,-0.0178134326396546,0.798799406178511,-0.0935186952688102,99,0.925680500400213
"Free","metac2zero1diff_Intercept",-3.11930390706839,0.377046936259125,0.0382833160806083,97,-3.53384832615375,-3.2096324477875,-2.30416779376,-81.4794596293715,96,2.00375029937029e-90
"Observed","metac2zero1diff_Intercept",-2.11936824447903,1.00554183942458,0.100554183942458,100,-3.43678870561156,-2.122874052945,-0.3649973600394,-21.0768777726031,99,2.22750049859252e-38
"Free","metac2zero2diff_incentive0",-0.0517493989423885,0.366675335364432,0.037230239561136,97,-0.834282286769395,-0.0310639949263575,0.669397508198174,-1.38998296955384,96,0.167748760673292
"Observed","metac2zero2diff_incentive0",-0.0325902352276296,0.396989559073671,0.0396989559073671,100,-0.76011406622209,-0.0332905962520385,0.791120666960275,-0.820934316350161,99,0.413656114257852
"Free","metac2zero2diff_incentive1",-0.118160412882143,0.286297045223807,0.0290690606957078,97,-0.881099221499857,-0.0369110062459842,0.251607285894362,-4.06481702725229,96,9.83906495051625e-05
"Observed","metac2zero2diff_incentive1",-0.0352999504101443,0.440434817434782,0.0440434817434782,100,-1.0395649655224,0.0240016191785878,0.718471071821911,-0.801479560942554,99,0.424773583150093
"Free","metac2zero2diff_Intercept",-2.88952940247403,0.580004014640061,0.058890485202689,97,-3.45206135468125,-3.09671068426813,-1.08847229407334,-49.0661503726597,96,8.64628509463148e-70
"Observed","metac2zero2diff_Intercept",-2.03824172962342,0.793476540286753,0.0793476540286753,100,-3.38489966740078,-2.03453599122531,-0.674438993104492,-25.6874857180633,99,1.40944720939485e-45
"Free","metac2zero3diff_incentive0",-0.183993225486008,0.542959503152254,0.0551291849348496,97,-1.78879066211032,-0.05974829358756,0.591088586115399,-3.33749221403231,96,0.00120386873556741
"Observed","metac2zero3diff_incentive0",-0.0940365603119927,0.490472328160268,0.0490472328160268,100,-1.01224849692603,-0.102950020969453,0.868328284688311,-1.91726535653333,99,0.0580870193578462
"Free","metac2zero3diff_incentive1",-0.269207539212747,0.558603972188433,0.0567176400989932,97,-2.07797666222447,-0.115885343263647,0.481543501963608,-4.74645169902839,96,7.21914194525316e-06
"Observed","metac2zero3diff_incentive1",-0.103478884030142,0.376120547400387,0.0376120547400387,100,-0.840761472514995,-0.0561068482595378,0.462851213486502,-2.75121592652546,99,0.00706146956085592
