"participant","choiceType","stimulus","response","confidence","incentive","coh3","coh"
"exp2_1","Observed",0,0,6,"1",1,38
"exp2_1","Observed",1,1,4,"1",1,9
"exp2_1","Observed",1,1,6,"-1",1,38
"exp2_1","Observed",1,1,4,"-1",-1,3
"exp2_1","Observed",0,1,1,"1",0,5
"exp2_1","Observed",0,0,4,"0",-1,3
"exp2_1","Observed",1,0,4,"1",-1,1
"exp2_1","Observed",0,0,4,"1",1,9
"exp2_1","Observed",1,1,4,"-1",0,5
"exp2_1","Observed",0,0,6,"0",0,5
"exp2_1","Observed",1,1,6,"1",1,38
"exp2_1","Observed",0,0,6,"0",1,38
"exp2_1","Observed",0,0,4,"1",-1,1
"exp2_1","Observed",0,1,1,"0",1,9
"exp2_1","Observed",1,0,1,"0",-1,3
"exp2_1","Observed",0,0,4,"0",-1,1
"exp2_1","Observed",0,0,4,"-1",-1,3
"exp2_1","Observed",0,1,3,"1",-1,3
"exp2_1","Observed",1,1,4,"1",0,5
"exp2_1","Observed",0,1,3,"-1",0,5
"exp2_1","Observed",1,0,2,"0",0,5
"exp2_1","Observed",0,1,3,"-1",-1,1
"exp2_1","Observed",1,0,4,"0",-1,1
"exp2_1","Observed",0,0,6,"-1",1,38
"exp2_1","Observed",1,1,6,"0",1,9
"exp2_1","Observed",1,1,6,"0",1,38
"exp2_1","Observed",1,0,2,"-1",-1,1
"exp2_1","Observed",0,0,6,"-1",1,9
"exp2_1","Observed",1,0,1,"-1",1,9
"exp2_1","Observed",1,1,4,"1",-1,3
"exp2_1","Observed",1,1,4,"-1",1,38
"exp2_1","Observed",0,0,4,"1",0,5
"exp2_1","Observed",0,0,6,"1",1,38
"exp2_1","Observed",0,1,4,"-1",-1,1
"exp2_1","Observed",0,1,4,"1",-1,1
"exp2_1","Observed",1,1,4,"0",0,5
"exp2_1","Observed",1,0,4,"-1",-1,3
"exp2_1","Observed",0,0,4,"-1",-1,3
"exp2_1","Observed",0,1,4,"-1",0,5
"exp2_1","Observed",0,0,6,"0",1,38
"exp2_1","Observed",0,0,5,"-1",1,9
"exp2_1","Observed",1,1,4,"-1",0,5
"exp2_1","Observed",1,0,3,"0",-1,1
"exp2_1","Observed",0,0,4,"1",-1,3
"exp2_1","Observed",0,0,4,"1",1,9
"exp2_1","Observed",0,0,6,"-1",1,38
"exp2_1","Observed",0,1,1,"0",1,9
"exp2_1","Observed",1,1,6,"0",1,9
"exp2_1","Observed",1,1,6,"1",0,5
"exp2_1","Observed",1,1,6,"1",1,38
"exp2_1","Observed",1,1,6,"0",1,38
"exp2_1","Observed",1,1,6,"1",1,9
"exp2_1","Observed",1,0,4,"1",-1,1
"exp2_1","Observed",0,0,6,"0",-1,3
"exp2_1","Observed",0,0,6,"0",-1,1
"exp2_1","Observed",1,0,3,"-1",-1,1
"exp2_1","Observed",1,1,6,"1",-1,3
"exp2_1","Observed",0,0,6,"0",0,5
"exp2_1","Observed",1,1,6,"-1",1,9
"exp2_1","Observed",1,1,6,"0",-1,3
"exp2_1","Observed",0,0,6,"1",1,38
"exp2_1","Observed",0,1,4,"1",-1,1
"exp2_1","Observed",0,0,6,"1",0,5
"exp2_1","Observed",0,0,6,"-1",-1,3
"exp2_1","Observed",0,1,3,"-1",0,5
"exp2_1","Observed",0,0,6,"0",0,5
"exp2_1","Observed",1,1,6,"0",1,38
"exp2_1","Observed",0,0,6,"-1",1,9
"exp2_1","Observed",1,1,6,"1",1,38
"exp2_1","Observed",0,0,6,"0",1,9
"exp2_1","Observed",1,1,6,"1",1,9
"exp2_1","Observed",1,0,1,"1",0,5
"exp2_1","Observed",0,0,6,"1",1,9
"exp2_1","Observed",0,1,4,"0",-1,3
"exp2_1","Observed",1,1,6,"-1",1,38
"exp2_1","Observed",1,1,6,"0",0,5
"exp2_1","Observed",1,1,5,"-1",0,5
"exp2_1","Observed",1,0,1,"-1",1,9
"exp2_1","Observed",1,1,5,"0",-1,3
"exp2_1","Observed",0,0,6,"-1",1,38
"exp2_1","Observed",1,1,1,"0",-1,1
"exp2_1","Observed",0,0,4,"1",-1,3
"exp2_1","Observed",1,1,6,"0",1,9
"exp2_1","Observed",0,0,2,"-1",-1,1
"exp2_1","Observed",1,1,4,"1",-1,3
"exp2_1","Observed",1,1,4,"-1",-1,3
"exp2_1","Observed",1,0,4,"1",-1,1
"exp2_1","Observed",0,0,4,"0",-1,1
"exp2_1","Observed",0,0,6,"0",1,38
"exp2_1","Observed",1,0,4,"-1",-1,1
