"choiceType","incentive","coh3",".variable","mean","sd","sem","n","q2.5","q50","q97.5"
"Forced","-1",-1,"dprime",0.51846830416406,0.241306186468637,0.0243756058277484,98,0.470692116741673,0.51846830416406,0.566244491586447
"Replayed","-1",-1,"dprime",0.311490453891425,0.407023510307663,0.0411155834629859,98,0.230903910303973,0.311490453891425,0.392076997478877
"Forced","0",-1,"dprime",0.51846830416406,0.241306186468637,0.0243756058277484,98,0.470692116741673,0.51846830416406,0.566244491586447
"Replayed","0",-1,"dprime",0.311490453891425,0.407023510307663,0.0411155834629859,98,0.230903910303973,0.311490453891425,0.392076997478877
"Forced","1",-1,"dprime",0.51846830416406,0.241306186468637,0.0243756058277484,98,0.470692116741673,0.51846830416406,0.566244491586447
"Replayed","1",-1,"dprime",0.311490453891425,0.407023510307663,0.0411155834629859,98,0.230903910303973,0.311490453891425,0.392076997478877
"Forced","-1",0,"dprime",1.42487649690598,0.162075588910948,0.0163721068548192,98,1.39278716747054,1.42487649690598,1.45696582634143
"Replayed","-1",0,"dprime",1.31094280317021,0.637026480295239,0.0643493920017374,98,1.18481799484681,1.31094280317021,1.43706761149362
"Forced","0",0,"dprime",1.42487649690598,0.162075588910948,0.0163721068548192,98,1.39278716747054,1.42487649690598,1.45696582634143
"Replayed","0",0,"dprime",1.31094280317021,0.637026480295239,0.0643493920017374,98,1.18481799484681,1.31094280317021,1.43706761149362
"Forced","1",0,"dprime",1.42487649690598,0.162075588910948,0.0163721068548192,98,1.39278716747054,1.42487649690598,1.45696582634143
"Replayed","1",0,"dprime",1.31094280317021,0.637026480295239,0.0643493920017374,98,1.18481799484681,1.31094280317021,1.43706761149362
"Forced","-1",1,"dprime",2.3312846896479,0.267169411270577,0.0269881860621489,98,2.27838784496609,2.3312846896479,2.38418153432972
"Replayed","-1",1,"dprime",2.310395152449,0.955218494174453,0.0964916392493655,98,2.12127153952025,2.310395152449,2.49951876537776
"Forced","0",1,"dprime",2.3312846896479,0.267169411270577,0.0269881860621489,98,2.27838784496609,2.3312846896479,2.38418153432972
"Replayed","0",1,"dprime",2.310395152449,0.955218494174453,0.0964916392493655,98,2.12127153952025,2.310395152449,2.49951876537776
"Forced","1",1,"dprime",2.3312846896479,0.267169411270577,0.0269881860621489,98,2.27838784496609,2.3312846896479,2.38418153432972
"Replayed","1",1,"dprime",2.310395152449,0.955218494174453,0.0964916392493655,98,2.12127153952025,2.310395152449,2.49951876537776
"Forced","-1",-1,"M",1.60456691570915,1.37638262396086,0.139035640987151,98,1.33205705937434,1.60456691570915,1.87707677204397
"Replayed","-1",-1,"M",0.933324742072298,0.637615929946347,0.0644089354082326,98,0.807083228672162,0.933324742072298,1.05956625547243
"Forced","0",-1,"M",1.65612511334093,1.51313107963245,0.152849321033175,98,1.35654044411591,1.65612511334093,1.95570978256595
"Replayed","0",-1,"M",0.96402785270306,0.919987711770893,0.0929327928002134,98,0.781879578814641,0.96402785270306,1.14617612659148
"Forced","1",-1,"M",1.77885013219671,1.37407649633616,0.138802686918336,98,1.50679686583677,1.77885013219671,2.05090339855665
"Replayed","1",-1,"M",1.01963228443683,0.802687095472292,0.081083641197056,98,0.860708347690599,1.01963228443683,1.17855622118306
"Forced","-1",0,"M",1.64954638057267,1.14039880807149,0.115197675777772,98,1.42375893604824,1.64954638057267,1.87533382509711
"Replayed","-1",0,"M",1.08724266012473,0.53715451223451,0.0542607997351392,98,0.980891492643861,1.08724266012473,1.19359382760561
"Forced","0",0,"M",1.68235257864457,1.22664302677248,0.123909657475145,98,1.43948964999329,1.68235257864457,1.92521550729586
"Replayed","0",0,"M",1.00607174997288,0.621654514721954,0.0627965889878751,98,0.882990435556641,1.00607174997288,1.12915306438911
"Forced","1",0,"M",1.78802704198537,1.14757567219312,0.11592264853321,98,1.56081865086028,1.78802704198537,2.01523543311046
"Replayed","1",0,"M",1.06768660843492,0.597483905456917,0.0603549887426297,98,0.949390830499362,1.06768660843492,1.18598238637047
"Forced","-1",1,"M",2.00064425737539,1.1470417904698,0.115868718335079,98,1.77354156943863,2.00064425737539,2.22774694531215
"Replayed","-1",1,"M",1.71859909392078,0.907582224206397,0.0916796493172447,98,1.53890698125898,1.71859909392078,1.89829120658258
"Forced","0",1,"M",2.09423209496522,1.17085113171128,0.118273824998999,98,1.86241539796718,2.09423209496522,2.32604879196326
"Replayed","0",1,"M",1.64983891681471,0.940202153995668,0.0949747598252194,98,1.46368838755728,1.64983891681471,1.83598944607214
"Forced","1",1,"M",2.17845119640524,1.17256508845581,0.118446960775673,98,1.94629515328492,2.17845119640524,2.41060723952556
"Replayed","1",1,"M",1.72240708130752,0.96461407603028,0.0974407363412867,98,1.5314232380786,1.72240708130752,1.91339092453644
"Forced","-1",-1,"meta_d",0.816807465883881,0.779864851504732,0.0787782464154337,98,0.662402102909631,0.816807465883881,0.971212828858131
"Replayed","-1",-1,"meta_d",0.390179411772622,0.733212218966093,0.0740656188685372,98,0.245010798790289,0.390179411772622,0.535348024754955
"Forced","0",-1,"meta_d",0.828643357890428,0.810521754349232,0.0818750612570798,98,0.668168237826552,0.828643357890428,0.989118477954305
"Replayed","0",-1,"meta_d",0.360362969470844,0.57512919886152,0.0580968223676239,98,0.246493197630301,0.360362969470844,0.474232741311386
"Forced","1",-1,"meta_d",0.933651809424302,0.907861774978486,0.0917078882096205,98,0.753904348533446,0.933651809424302,1.11339927031516
"Replayed","1",-1,"meta_d",0.384930684246047,0.585918054001683,0.0591866613148879,98,0.268924828068867,0.384930684246047,0.500936540423227
"Forced","-1",0,"meta_d",2.30313943498854,1.59656141601223,0.161277057691864,98,1.98703640191248,2.30313943498854,2.61924246806459
"Replayed","-1",0,"meta_d",1.54266649257065,1.31805710720221,0.133143874070544,98,1.28170449939238,1.54266649257065,1.80362848574891
"Forced","0",0,"meta_d",2.35279631796594,1.72373700207588,0.174123731878575,98,2.01151380348393,2.35279631796594,2.69407883244794
"Replayed","0",0,"meta_d",1.37983083423244,1.19514410757013,0.120727786136855,98,1.14320437340421,1.37983083423244,1.61645729506068
"Forced","1",0,"meta_d",2.52503400247206,1.65920699782561,0.167605217079238,98,2.19652777699675,2.52503400247206,2.85354022794737
"Replayed","1",0,"meta_d",1.50255068096481,1.26100359888952,0.127380599410775,98,1.2528847061197,1.50255068096481,1.75221665580993
"Forced","-1",1,"meta_d",4.50634141310751,2.47500279291373,0.250013036903564,98,4.01631586077653,4.50634141310751,4.9963669654385
"Replayed","-1",1,"meta_d",3.73369002167114,2.08862547795792,0.210983034117577,98,3.32016327480069,3.73369002167114,4.14721676854159
"Forced","0",1,"meta_d",4.72593837579571,2.53925612591021,0.256503603685798,98,4.22319131257155,4.72593837579571,5.22868543901988
"Replayed","0",1,"meta_d",3.43873805176075,1.83901828965563,0.185768900477369,98,3.0746310068251,3.43873805176075,3.80284509669639
"Forced","1",1,"meta_d",4.90322573843763,2.55539545330216,0.258133921949033,98,4.39728325141753,4.90322573843763,5.40916822545774
"Replayed","1",1,"meta_d",3.70241242225045,2.09697635516733,0.21182660010381,98,3.28723228604698,3.70241242225045,4.11759255845391
