participant,sens_noise,sens_bias,p_lapse,ll,AICc,n_trials
1,4.731179579744404,-4.343193533746688,2.083434798695469e-09,-91.31859887508082,188.74628865925254,224
2,2.0622483451500697,-0.1982514468813294,2.5311445234845834e-09,-61.83874967486999,129.77962700931445,239
8,30.0,1.352848030322247,3.178031936043534e-09,-165.52513552292547,337.1559979180976,231
9,3.2914757909274996,0.5245141598425546,2.3775802551370655e-09,-84.97111438113461,176.04479286483334,238
10,1.2971019445060616,-0.19738272786338035,0.01742506853256104,-48.96492157504757,104.03284744194063,237
11,7.0812739122542405,-1.5969417825858179,1.7775749920707108e-09,-117.98107623234117,242.0642801242568,239
12,6.918763355899032,0.997773534096114,0.025363431467413478,-117.05309188640959,240.21627551593843,222
13,2.3750032909466365,1.743088078574497,0.012566799627823318,-72.91271944356798,151.92844317898144,237
14,5.473722541607987,1.8402336646330488,2.880719755990813e-09,-95.13393955343443,196.3855261656924,208
15,4.899261360395413,1.523067416626234,2.6046098792538294e-09,-104.81544870498729,215.73302506954906,239
16,3.6476082985408063,1.5685829615663032,1.734316024294727e-09,-87.87720468009934,181.85785763606074,236
17,1.5804269340623327,1.0389025064503055,3.225979750278513e-09,-45.51640407506896,97.13625642599999,236
18,2.9425873031918983,-0.6884174265721322,4.193159663082495e-09,-78.56854242101097,163.24188833547174,233
19,15.028094217385172,3.2844679429575843,5.100006202695919e-09,-140.77881260109362,287.6601893047513,238
20,15.355754432946737,-0.1422980830854956,1.7697203338564136e-09,-140.71896665281963,287.54006096521374,239
21,3.8849579731154864,5.609047568594071,0.034655809157585205,-88.12298182394974,182.35456093296736,225
22,1.9454685667683402,0.9148324224821345,0.016089271308701598,-66.57638090488057,139.25445672501536,240
23,4.688412274226542,2.3674425468697935,2.1039405137640267e-09,-100.42512530386907,206.9532548995836,237
24,4.641350280047787,1.6354424400878709,4.143361672669652e-09,-93.45821707099691,193.02754525310493,220
25,5.653529529278172,2.500567349096338,2.880719755990813e-09,-108.94641899075519,223.99496564108486,239
26,4.9323946044797635,2.536648866087218,0.028415234173843836,-108.33176465543971,222.7731183519753,223
27,25.782892287086867,1.5278648311070135,3.575558728280003e-08,-154.51652962262006,315.1387861174868,231
28,8.958258646124285,-5.150515571710956,3.874443221674496e-09,-109.93771500901772,225.99026255392062,213
29,4.797007274846115,-1.0782476269448609,4.098187683591142e-09,-104.88600434549261,215.87370360623945,240
30,1.2391317391524146,0.24613200404078492,0.0332639542697747,-54.59708467299812,115.29943250389098,232
31,2.322656984449704,-0.2772413182132836,1.8012816483372531e-09,-68.79742718547423,143.6965492862027,240
32,2.078295506959551,-0.5852971411802964,2.4057791477894228e-09,-62.01182604345956,130.1271003627812,236
33,2.846447442911662,0.2542640077787642,2.428640885360744e-09,-77.70722310799457,161.51879404207608,234
34,22.434152599988494,-3.1028435297091885,3.4123801781641436e-08,-154.79762124338836,315.6982467786222,237
35,3.3772005857498986,1.9237943424920978,4.152663987692462e-09,-77.91526982858417,161.94321571350636,217
37,10.434301647577957,-0.5080595292450423,2.6214009721240725e-09,-128.30089778160226,262.70614338929147,234
38,30.0,0.5576303617230882,1.4756392840821121e-08,-167.22629851783537,340.554291950925,240
39,7.232915969689852,6.937694247154093,0.1,-137.34862422778585,280.7993761151462,239
40,5.314021523082025,5.3311081771727995,3.8607900527594355e-09,-94.264185137053,194.6345649643715,230
41,7.328131908450328,1.0258339291693805,2.318626160243237e-09,-113.03355567946548,232.1772031020502,222
42,7.351054513068801,2.5546099751489564,2.880719755990813e-09,-118.34950091815871,242.8011294958919,239
43,3.4087585325529894,-0.2653675779120002,0.017948873956992812,-93.69200458115905,193.4902038525836,230
75,6.813931715517193,0.2967762669337313,2.799940741053951e-09,-114.65594806944036,235.4166996323305,233
76,3.006149462419721,0.7492228394036349,4.143361672669652e-09,-80.27095503052509,166.64905291819304,228
77,5.719863052449187,-0.04364349977746745,3.263794442536839e-09,-111.36553136145179,228.8336268254677,238
78,5.9841338724966056,1.540023568937046,1.7344902829752664e-09,-112.83683235396671,231.7757923675079,239
80,3.0317332622226836,-0.628800681850984,0.04386046450192743,-95.46794194695576,197.04023171999847,234
83,4.497723551853092,-0.39942560491659407,2.17213554946142e-09,-101.9346669097766,209.97233811139867,237
87,3.554547416566428,-1.0586677874284007,1.7519037767913242e-09,-90.25701507369801,186.61572506265026,240
89,3.6559603620132486,-0.2017076418262524,0.0199558703589774,-99.76765520692919,205.63743807343286,239
91,2.433891327534202,-0.7452015113219186,1.7966385340936966e-09,-69.05249488576742,144.20668468678906,240
92,6.35209108430442,1.1065256414487374,7.846868249672121e-09,-106.93165062932187,219.97650880581355,216
148,29.593406633851764,-4.434692406908469,3.932908250184254e-09,-162.9534474869053,332.0107910777067,235
149,29.99999977661662,0.5604569044192853,4.503373935368399e-09,-161.4496475938245,329.0031912915451,235
150,24.112577480894124,3.345068265387294,3.4078079812568597e-09,-155.60626024034917,317.31596875656044,236
151,3.6147716372720113,0.6933879458667918,1.5151915126569207e-08,-90.15961562266712,186.42135890490871,239
152,2.0906786032542093,-0.08954388053252937,0.01432820177396821,-65.08207494057086,136.2717731995274,227
153,8.228680396815012,1.9984474100931464,1.766126652302069e-09,-122.3842453755967,250.87105485375753,238
154,3.0396922098713492,1.3206231165237148,2.8433818175023877e-09,-80.63128866402386,167.3664734319438,235
155,19.523618832594728,-1.1859219470602937,5.990792567019158e-09,-143.61621686701358,293.3405418421353,226
156,3.9388819951144267,0.8712461842823718,3.6136673789895843e-09,-93.79153911089038,193.68608251362625,237
157,11.65832902134421,6.820643306165852,0.09916798554059471,-148.1529879585653,302.40767083238484,240
158,1.990353205430693,2.1372223919550057,0.014415025997483474,-64.0551881406067,134.2151797746632,233
159,7.897099911772563,-5.224766026002547,1.6370878559464245e-08,-115.94747688274495,237.99751786805402,238
160,5.550534527791846,0.5269666923748855,0.023265013914474025,-117.2678391076435,240.63780587486147,239
161,3.5417845552349494,1.5760618288959831,1.734040789674702e-09,-88.28791190028555,182.67882809241658,237
162,4.654765327751148,0.1617017779376982,2.533875573250178e-09,-101.16529470020178,208.44170051151468,220
163,2.8518880388723713,-2.0646934596693645,1.8228735497279414e-09,-66.89215315847244,139.90801765715108,198
164,5.837034742904655,3.1296490234269863,1.734316024294727e-09,-108.7003855319946,223.50511889007615,234
165,9.480890197976398,-1.3568289086439098,2.6214009721240725e-09,-120.4688781153052,247.04537954899607,227
