participant,incentive,sens_noise,sens_bias,p_lapse,ll,AICc,n_trials
3,1.0,2.8237853728717743,-0.20136122736634182,2.51200819211801e-09,-25.81393345993107,57.970724062719285,74
3,-1.0,3.7215214295280616,0.7492976345018452,4.234802291151423e-09,-29.84871064707233,66.05563024936855,71
3,0.0,4.134103052625977,-0.26296435176014843,2.068201249709836e-09,-32.44209310670709,71.23712738988478,72
4,1.0,3.835976763201485,-1.5430422604625287,1.8027931234734054e-09,-30.917109366214486,68.15421873242897,79
4,-1.0,3.704667461925434,-1.3665284259518022,3.1508901268435123e-09,-31.083805384802055,68.4876107696041,79
4,0.0,4.864565859710441,-1.8223248395344935,8.123612742338321e-09,-34.98170100998614,76.2877263442966,78
6,1.0,2.982067960023144,-1.2387743206152066,2.3878924698013184e-09,-27.72849124383695,61.7769824876739,79
6,-1.0,3.523153584773927,-0.8007421934465991,4.90500338453046e-09,-29.941544184718357,66.20741269376103,78
6,0.0,4.152561102482944,-0.9622045823058486,1.7677625781343144e-09,-33.87384921141115,74.0634878965065,80
7,1.0,3.1189839111972204,-0.4471155751652534,5.274108420927854e-09,-28.556009745615334,63.42780896491488,80
7,-1.0,3.195490386529256,0.6821916588912744,2.538923142128038e-09,-29.28234990574849,64.88048928518118,80
7,0.0,2.9776522008868294,0.24745573646989666,1.738142711344507e-09,-28.082489692542445,62.48497938508489,79
9,1.0,15.93907049249992,2.321850580742376,3.066742607727082e-09,-48.82940880055356,104.00167474396426,74
9,-1.0,12.050588752398447,1.0876624596523299,2.083434798695469e-09,-45.11530450997688,96.57843510691028,73
9,0.0,14.428250038505348,2.5915433904368745,1.0897201693574436e-08,-44.9541266454246,96.26646224607309,71
18,1.0,5.102288637135599,3.580125371084018,1.8222452612364588e-09,-33.25596833352418,72.86487784351895,72
18,-1.0,6.049183231957278,2.8079850730900504,2.5932726180608795e-09,-36.24208211731107,78.82219240363622,75
18,0.0,6.725953956046016,3.178465881352304,1.934158018834843e-09,-37.03387272570415,80.4206866278789,72
20,1.0,4.611867219154486,-1.1142178770920546,2.4896837813505377e-09,-32.633362477032776,71.61966613053615,72
20,-1.0,4.168336135121844,-0.7069475299114877,1.775797260969316e-09,-32.11689532601979,70.57181882105365,75
20,0.0,9.000427190186123,-2.089375929067925,2.479817092749854e-09,-42.764836637111074,91.86300660755548,76
22,1.0,2.439710671204575,0.7937803608453652,3.192613906080494e-09,-23.622875640803294,53.583779450620675,75
22,-1.0,2.327118218151724,-0.8090084292332563,3.138032316184808e-09,-22.88382387611486,52.09197207655404,78
22,0.0,3.7299512825129946,1.0654283680821388,2.880719755990813e-09,-30.178767237773975,66.71047565201854,72
25,1.0,5.592056315513109,1.4188567734719955,2.598412047081195e-09,-37.255427460256136,80.83962204379995,77
25,-1.0,3.7291225324669166,-0.3928900446059802,1.7691575997775196e-09,-31.58758937085361,69.49096821539142,80
25,0.0,3.6602020623444464,-1.0656263375121802,3.3748030583832436e-09,-31.52095304997018,69.36623042426469,78
27,1.0,5.568178655746318,0.5069290578359077,2.252814058577517e-09,-38.52631913880554,83.3769626019354,78
27,-1.0,3.594809185648123,1.7809676671867603,0.06098519599203643,-38.972833745757995,84.26999181584031,78
27,0.0,4.50892827288865,1.8473513024211667,1.7344902829752664e-09,-33.43080090950846,73.1903689423046,77
30,1.0,23.6378473988546,0.2921961521120428,1.8058833162484735e-08,-54.493667522334285,115.3206683780019,76
30,-1.0,23.62699464482821,-0.4850543943668038,2.4600855229983606e-08,-53.12455873737995,112.59197461761704,74
30,0.0,22.234424578984317,-0.1986541098993312,1.6843197085250624e-08,-54.02133823745091,114.3714435981895,77
31,1.0,2.5819042667971583,2.8475458881818136,2.551446916715824e-09,-23.029881729373816,52.39309679208097,76
31,-1.0,2.947680411259129,3.0649817093765743,2.2780064203387344e-09,-24.50211159648501,55.342251361984104,75
31,0.0,3.758314602861296,1.7441100960508178,4.239288295147904e-09,-30.382922154283595,67.09461143185486,77
32,1.0,4.428452103565942,-0.9518732891712053,1.7677625781343144e-09,-33.219301724838594,72.7864295366337,73
32,-1.0,6.280081345840776,-1.4872403426955731,2.3241299243330876e-09,-39.17431513214693,84.67739738758154,77
32,0.0,5.033262750587616,-1.1433397730907027,1.7677625781343144e-09,-35.93069508979452,78.19941834860312,75
33,1.0,23.822383258354495,0.6651157554755793,2.6279987514062774e-09,-48.40069049127673,103.188477756747,66
33,-1.0,2.5319179984478817,0.7898630019919942,0.1,-42.94886352829599,92.23575522560606,75
33,0.0,5.075014688778817,0.7368017143080833,0.1,-49.27969738706459,104.91760372935306,71
34,1.0,3.653420100285726,-1.2648835647512107,2.031976504622122e-09,-29.65363694361467,65.63604101051702,77
34,-1.0,2.7559435463766593,-0.649070133770255,2.001016642043527e-09,-24.802744396136067,55.9342559155598,77
34,0.0,1.7279378286750782,0.6665436119463901,0.09754412858808274,-34.35353816352589,75.04510449606586,75
37,1.0,3.30093701386729,0.11840569815416777,5.164401241975374e-09,-29.30814552788613,64.93629105577224,79
37,-1.0,3.6080052575216173,1.6442113664290992,1.734316024294727e-09,-28.91789559661339,64.16455831651446,77
37,0.0,4.0114234106649205,2.6516680009491966,1.368776081833964e-08,-31.927125681609752,70.17004083690371,80
43,1.0,3.2143771409699116,1.0733657602746465,1.3177386164767976e-09,-28.69492366744251,63.70984733488502,79
43,-1.0,1.2657872885559682,2.0413095860600907,0.020885547590884682,-19.681224935540698,45.68677419540572,78
43,0.0,1.6976291537156456,0.07445651911564485,2.3650986550391785e-09,-17.423537784690417,41.16286504306505,80
44,1.0,3.7405374781331733,0.9484220656931186,6.069377503860769e-09,-29.040908850965653,64.42467484478844,74
44,-1.0,4.671041936819294,2.893615928626593,2.3941602057757485e-09,-31.394581646457425,69.14737224813874,71
44,0.0,7.999397199065975,2.0474736652868404,5.353727088921967e-09,-32.275919396261266,70.95861845353949,63
45,1.0,1.7317624964412976,-0.22776497212840888,0.023943067374786457,-24.254264153511375,54.82852830702275,79
45,-1.0,1.1133237067942545,-0.3151415075119484,6.470386550592037e-09,-12.200803322193337,30.721606644386675,79
45,0.0,2.44395363354942,-0.6489869568792773,1.7350471626660737e-09,-24.245626656676126,54.807042787036465,80
47,1.0,6.14953653797605,3.2635056985564557,9.265644261788507e-09,-37.84429645228667,82.01291722889766,78
47,-1.0,6.745136703294295,2.3474252580887134,2.0885182195109887e-09,-40.4107091522153,87.1372077781148,80
47,0.0,5.140748384203396,1.953795969371477,2.092059457934657e-09,-36.174841415318205,78.6696828306364,79
48,1.0,2.418853136395367,-0.14106773087178004,3.192613906080494e-09,-23.711290239046228,53.751347601380125,77
48,-1.0,2.7988727052849134,-2.2019616570359757,2.6666061421173784e-09,-25.468615971580803,57.25302141684582,80
