participant,pe_wt,bel_bias_v,bel_noise,ll,AICc,n_trials
1,1.3523050543978563,9.999998873099685,10.145213299887255,-923.5954973252198,1853.3000855595303,224
2,1.5868479796500226,1.006464958190918,5.472402534484863,-879.5199863142907,1765.142100288156,239
8,-0.07109816542531769,4.358768463134766,0.019420852661133026,-1100.3033315393905,2206.7123899510275,231
9,-0.3947616324659907,0.4446553811430931,7.050860994216055,-1095.7740872923382,2197.6507386872404,238
10,1.4976756254278856,1.4098358154296875,2.699300880432129,-707.4168149570413,1420.9366342059282,237
11,-0.18610844650966607,10.0,11.013827940970659,-1166.4315993714545,2338.9653264024832,239
12,2.8401380675553254,1.5521240234375,0.00012054443359410527,-1032.9731206915312,2072.056333126182,222
13,-0.03722333659343777,-0.0168609619140625,6.790161132919081e-06,-906.6883041799921,1819.4796126518297,237
14,0.29114834945049634,-0.128173828125,0.0002722167968753908,-829.8171045046274,1665.7518560680783,208
15,0.3101749142032781,0.090789794921875,0.009713821411132972,-847.1163537838452,1700.3348352272649,239
16,2.787685097413075,8.828125,6.790161132919081e-06,-782.9368601237436,1571.9771685233493,236
17,0.04894940006883056,-0.008087158203125,0.14826652526855488,-792.0174175267166,1590.1382833292953,236
18,2.0527924155834674,0.11854171752929688,7.605750160217285,-899.2937104922426,1804.6922244779348,233
19,2.9875808479103414,9.56705093383789,2.050399780628709e-06,-994.2556063473756,1994.6137767973155,238
20,-0.2576496514967138,0.24167537689208984,24.149692831039427,-1252.3857652365873,2510.873658132749,239
21,-0.04006474868647433,0.21026611328125,0.00012054443359410527,-962.6258109933542,1931.3602192717763,225
22,2.169557479570431,3.594973087310791,0.011737699508667099,-716.3632887047673,1438.828272324789,240
23,0.7175403709576049,1.2676048278808594,12.490813636779786,-1028.206056488584,2062.5151172690134,237
24,0.8848301449950132,2.0618268847465515,10.062525621950627,-916.9927916714461,1840.0966944540032,220
25,2.983494844672709,1.0133320093154907,1.248717311774783e-07,-733.3773925665996,1472.8569127927738,239
26,2.2568140808382475,1.5461921691894531,9.518644375801086,-925.82821081894,1857.7660106789758,223
27,-0.07917004931830329,3.293137550354004,6.032119175195694,-1098.6132532739964,2203.3322334202394,231
28,-0.642779382273712,1.71966552734375,0.00012054443359410527,-1046.7317985015038,2099.5784295388926,213
29,0.025648144556613274,0.0917816162109375,0.03883491516113313,-1082.1560900502652,2170.4138750157845,240
30,-0.24848816919594938,-0.05385929252952337,1.4485862329369412,-921.7685157031743,1849.6422945642435,232
31,0.5219271691071995,2.235257625579834,3.49788786649704,-843.8506245999732,1693.8029441152007,240
32,2.7580409551710483,0.09761810302734375,6.790161132919081e-06,-548.765527646811,1103.6345035694842,236
33,1.7854812295676028,0.8525991439819336,7.276539371013641,-907.0134890229091,1820.1313258719051,234
34,0.48332608291850243,5.911903381347656,29.919525189399717,-1111.313556153813,2228.7301165994713,237
35,2.574930274297261,10.0,1.3783574281944766e-08,-679.6635042589942,1365.4396845743263,217
37,-0.04620343061314025,-0.12533625587821007,4.393063485652604e-05,-1018.3701842805457,2042.8447163871783,234
38,-0.09988134513509787,7.344515323638916,0.019414335489273515,-1174.0156211813312,2354.1329372779164,240
39,-0.27315313242230266,2.1152150630950928,12.352227754592896,-1184.7041318621139,2375.510391383802,239
40,-0.05941047463351908,0.5023246258497238,1.3783574281944766e-08,-1023.1443867190729,2052.394968128411,230
41,0.022976986691127754,0.16312599182128906,25.77966595172882,-1081.1387345078865,2168.3875607588925,222
42,0.02800446306591978,6.582198143005371,23.696749386787413,-1161.894492621792,2329.8911129031585,239
43,-0.1085619533739737,1.0369586944580078,23.246820430755616,-1107.453392860258,2221.0129804107814,230
75,-0.06849641889875682,0.8883523941040039,0.07952161908149735,-997.9525975169738,2002.0099985273973,233
76,-0.042646326635309914,0.181884765625,0.0002722167968753908,-971.5477730272293,1949.2026889116014,228
77,1.7401967481939942,0.41355133056640625,14.819586362838745,-970.1947695893036,1946.4921032811715,238
78,3.028340209289326,0.018077194690704346,2.189815044406629e-05,-687.7741799031896,1381.6504874659538,239
80,-0.5683023252554582,0.43819427490234375,21.891165738105773,-1139.9038474452213,2285.91204271653,234
83,0.4765525839577792,-0.36376953125,29.844539794921875,-1137.8404662175762,2281.783936726998,237
87,-0.05918108980309165,0.2529430389404297,1.248717311774783e-07,-981.8900115576406,1969.8817180305355,240
89,2.304716024513268,-0.8137571811676025,4.4036592233181,-831.310304296006,1668.7227362515866,239
