participant,pe_wt,pe_add_v,bel_noise,ll,AICc,n_trials
1,1.9740961968769175,10.0,21.996528263092042,-819.350661477465,-1632.70132295493,224
2,1.7745163334541536,-1.085205078125,8.0649951171875,-842.9921525690424,-1679.984305138085,239
8,-0.09008282144516379,4.228801727294922,7.572391719818116,-946.5783156005319,-1887.1566312010639,231
9,-0.4170757101755152,2.2088623046875,7.118559570312501,-1015.6635815427712,-2025.3271630855425,238
10,0.596000330711786,0.8352231979370117,2.666743459701538,-628.6652147158841,-1251.3304294317682,237
11,-0.21614848098887032,10.0,15.372266235351562,-1065.0092489348117,-2124.0184978696234,239
12,2.472695917513815,10.0,18.103136023283003,-923.8199418078509,-1841.6398836157018,222
13,-0.06008874128312437,-0.0078582763671875,6.790161132919081e-06,-833.1459807435908,-1660.2919614871817,237
14,1.4112681998611776,-1.2644195556640625,29.999966049194335,-805.247208174319,-1604.494416348638,208
15,0.24704150347237927,0.9717369079589844,1.839489212036133,-723.5226927670558,-1441.0453855341116,239
16,2.7520626744177785,1.91192626953125,9.206177978515624,-699.6706738019385,-1393.341347603877,236
17,0.12594412421819318,-0.077056884765625,2.709747314453125,-744.3347272856663,-1482.6694545713326,236
18,0.5930253345325172,-0.064697265625,6.6022668457031255,-798.0627348807832,-1590.1254697615664,233
19,1.371327605796025,10.0,29.9999992275238,-1014.4570144195341,-2022.9140288390681,238
20,-0.24813322596535275,1.2310791015625,26.411587524414063,-1117.6677113520482,-2229.3354227040963,239
21,0.26218103324538017,5.3473663330078125,16.45179428100586,-908.3646286826851,-1810.7292573653701,225
22,1.8874415097858892,0.42694091796875,4.365800971984863,-603.2514447992914,-1200.502889598583,240
23,1.3117684861253749,-0.07232666015625,19.328601913452147,-888.2625444872142,-1770.5250889744284,237
24,1.6217338566639747,1.134033203125,29.999852294921872,-861.3064377641881,-1716.6128755283762,220
25,1.6335856463381746,2.6894378662109375,7.643763046264649,-622.43108575669,-1238.86217151338,239
26,2.36789370134333,-0.564117431640625,18.018873138427733,-838.8666513463781,-1671.7333026927563,223
27,-0.0915788322461758,3.609478771686554,9.207003881931305,-947.250704741214,-1888.501409482428,231
28,-0.6816203959584656,2.2319793701171875,8.24586441040039,-947.9952861682094,-1889.9905723364188,213
29,0.2695234432557047,3.80645751953125,24.442728576660155,-1002.8624020477189,-1999.7248040954378,240
30,-0.3183073038294395,0.5798530578613281,1.2858092498779299,-880.9080290189685,-1755.816058037937,232
31,0.3862726605030275,0.3533291816711426,4.36838236451149,-752.0489748335414,-1498.0979496670827,240
32,2.2020608451169923,0.034637451171875,6.790161132919081e-06,-412.2085232638416,-818.4170465276832,236
33,0.6309925511355625,-0.0885772705078125,7.71315315246582,-908.9752900221109,-1811.9505800442219,234
34,0.36343253201789266,5.4830169677734375,27.21552688598633,-937.4126504797838,-1868.8253009595676,237
35,3.2996254154617106,4.92279052734375,5.103743896484374,-588.1044065346382,-1170.2088130692764,217
37,-0.10212005726260373,-0.039517879486083984,0.03882839798927318,-902.6746241573157,-1799.3492483146315,234
38,-0.10809938573419654,6.51824951171875,8.69481460571289,-1036.6639039767215,-2067.327807953443,240
39,-0.28649019378469964,1.6907691955566406,10.054908084869384,-1081.4692390277996,-2156.9384780555993,239
40,0.20384407699896565,1.263427734375,14.1367431640625,-939.4379154414495,-1872.875830882899,230
41,0.010631852651401258,0.06730437278747559,25.1517394053936,-971.8465267630896,-1937.6930535261793,222
42,0.04670309198348012,5.7489776611328125,29.99999448776245,-1048.8097435478442,-2091.6194870956883,239
43,-0.19963644021222712,-2.46307373046875,25.87026885986328,-1026.3658062163115,-2046.731612432623,230
75,-0.06738688519428568,0.8637309074401855,2.7298927340879686e-07,-870.4195984989004,-1734.8391969978009,233
76,1.1302617637811068,-1.259765625,28.05055908203125,-953.7851849884487,-1901.5703699768974,228
77,0.7854549132925084,-0.2971816062927246,13.55143655180931,-819.470159129976,-1632.940318259952,238
78,2.8038304367765314,5.088691711425781,3.829326343536377,-545.5546165437695,-1085.109233087539,239
80,-0.47551743825426884,-2.2487640380859375,21.979796905517578,-1048.0519187698715,-2090.103837539743,234
83,0.4065953837866344,1.6979551315307617,29.9999992275238,-1033.8350450200332,-2061.6700900400665,237
87,-0.04921100223770227,-0.08946925401687622,1.248717311774783e-07,-870.4985897623955,-1734.997179524791,240
89,1.9213414838575307,-0.16038894653320312,8.71607717514038,-701.8151142059164,-1397.6302284118328,239
91,0.30389895048137516,-0.6703841686248779,3.5125230646133425,-765.3207476621732,-1524.6414953243464,240
92,-0.11575136376788558,-0.4685649275779724,10.892607137262821,-915.5358332107663,-1825.0716664215327,216
148,2.8524173263054684,-1.6902923583984375,14.255843887329101,-482.79351395417547,-959.5870279083509,235
149,0.7525946686920423,0.7568645477294922,2.7298927340879686e-07,-608.7327280528897,-1211.4654561057794,235
150,-0.024013703972123213,-0.1371002197265625,29.844653549194334,-1099.010982231868,-2192.021964463736,236
151,0.23837687293793514,1.19903564453125,28.67939270019531,-1040.9146866607193,-2075.8293733214387,239
152,0.1480803169547996,0.7863616943359375,3.8725814056396484,-922.7455099160486,-1839.4910198320972,227
153,1.2471515062485545,9.014530181884766,26.013750915527343,-914.9850971959224,-1823.9701943918449,238
154,-0.1550539301152905,-0.2344512939453125,0.5095500946044926,-902.3063124070984,-1798.6126248141968,235
155,0.2820290091637005,2.83447265625,29.999852294921872,-929.9310189851786,-1853.8620379703573,226
156,0.4136475758213797,0.63568115234375,5.473369445800781,-791.0806298670523,-1576.1612597341045,237
157,0.019285776814228214,-0.3458938002586365,1.248717311774783e-07,-936.5691132819894,-1867.1382265639788,240
158,-0.304693251935296,-0.5810546875,29.9980322265625,-1044.7007469777147,-2083.4014939554295,233
159,-0.07997862593438035,-1.607208251953125,20.358343505859374,-1035.780001657049,-2065.560003314098,238
160,0.026769203162641714,0.6613731384277344,2.062864685058594,-899.2309618887491,-1792.4619237774982,239
161,1.214994935467036,-1.3504791259765625,11.66400966644287,-822.4578621323776,-1638.9157242647552,237
162,2.861193014982192,2.974853515625,11.975108642578125,-760.9098814683754,-1515.8197629367507,220
163,2.1463222303125877,-0.087890625,9.377112731933593,-754.4359084710369,-1502.8718169420738,198
164,1.1271793764736904,-2.1778297424316406,29.912868194580078,-944.5524826733442,-1883.1049653466885,234
165,0.07096824835321719,10.0,29.995880374908445,-1063.9237074049054,-2121.8474148098107,227
166,-0.6105159442232075,9.90041732788086,7.694639644622802,-1054.4644724287245,-2102.928944857449,239
167,0.01842307899850849,-0.286407470703125,2.745655746459961,-900.2945608191175,-1794.589121638235,230
168,-0.1380180301769518,4.409427642822266,3.5243037414550784,-983.4257571273611,-1960.8515142547221,240
169,-0.05121247164735527,0.3685760498046875,0.664824676513672,-908.8394258595696,-1811.6788517191392,237
170,-0.22342802789979144,4.063663482666016,14.05681182861328,-1021.8801351715368,-2037.7602703430737,235
171,1.9805061375794242,2.34375,29.9349365234375,-987.6899288161624,-1969.3798576323247,234
172,-0.3667517036663956,9.09820556640625,14.343017578125,-1094.344516832357,-2182.689033664714,239
173,-0.4683049453160448,-5.4351806640625,18.634283752441405,-1043.991943494652,-2081.983886989304,232
174,-0.15283119569221637,2.0700502395629883,1.5660049819946291,-971.5954947889762,-1937.1909895779525,237
175,0.5861732566975396,1.3933944702148438,15.101597423553466,-868.9913500327272,-1731.9827000654543,238
176,-0.13618661854766423,-0.633544921875,0.15543304443359407,-871.7715054122285,-1737.543010824457,237
177,-0.018775112355167888,0.159912109375,0.0002722167968753908,-838.7033927477229,-1671.4067854954458,240
178,-0.45373746974761536,4.090576171875,10.02953140258789,-912.3008339830961,-1818.6016679661923,191
179,-0.06400301693931339,0.1495361328125,0.20791168212890643,-866.4323793987293,-1726.8647587974585,230
180,0.6439360633027358,5.021514892578125,27.463700790405273,-1004.8087836637781,-2003.6175673275561,239
181,-0.32832977731099844,10.0,13.89042724609375,-1034.4538995551782,-2062.9077991103563,228
182,-0.18490552058534876,1.0756874084472656,0.5749682807922365,-934.3223708566668,-1862.6447417133336,237
183,-0.1687517994753053,0.9925079345703125,7.32535535812378,-968.570438772521,-1931.140877545042,240
184,-0.05180286092258613,0.6696033477783203,3.8533427143096923,-917.7521063513238,-1829.5042127026477,231
185,-0.03727598443918816,8.113209009170532,9.194496244192123,-975.2882886627926,-1944.5765773255853,239
186,0.018423997798366308,10.0,0.7935333496518435,-834.5148634139824,-1663.0297268279649,218
187,-0.08826817330905046,1.434173583984375,10.290711212158202,-975.4359638105688,-1944.8719276211375,238
188,0.07027256338648552,1.1865234375,13.6999267578125,-934.2963150893382,-1862.5926301786765,225
189,-0.21437155071239905,8.919906616210938,28.50451446533203,-1073.43698117152,-2140.87396234304,239
190,-0.5823679437469832,2.7948379516601562,4.825453548431396,-888.3948766895809,-1770.7897533791618,207
191,0.03597236091530883,2.688446044921875,4.115475215911865,-885.6532134365746,-1765.3064268731491,240
192,-0.02795312486807362,0.3041839599609375,0.05847648620605472,-813.3252785631202,-1620.6505571262403,237
193,0.7363532011724149,6.94183349609375,20.884191589355467,-843.1324452526007,-1680.2648905052015,212
194,-0.020671482520505716,0.45547008514404297,2.050399780628709e-06,-817.8996043907388,-1629.7992087814775,240
195,0.07111702435513872,2.3186492919921875,15.44848159790039,-979.4778240230493,-1952.9556480460985,237
196,0.2601023600917723,3.10638427734375,13.789565124511718,-945.0986804218185,-1884.197360843637,237
