participant,pe_wt,pe_add_v,bel_noise,ll,AICc,n_trials
3,0.08122560718640136,-1.7465241253376007,29.999999968111513,-1044.6621955629628,-2083.3243911259256,217
4,0.16032696547212733,0.5512258410453796,3.382397286146879,-967.7065436430432,-1929.4130872860865,236
6,0.32814395055133605,0.6396472826600075,7.346517874151468,-1016.5302141019088,-2027.0604282038175,237
7,1.8325104238792382,-0.31605958938598633,29.88360935151577,-1065.1625417783748,-2124.3250835567496,239
9,0.041484567139588764,1.8220118014141917,3.0282210445031525,-975.6233868521481,-1945.2467737042962,218
18,0.10881183419410247,0.88897705078125,5.942909164428711,-970.8717221004109,-1935.7434442008218,219
20,-0.04822345405021158,-0.0680781900882721,1.3783574281944766e-08,-999.8548977128961,-1993.7097954257922,223
22,1.44314476792077,3.9661645889282227,28.580038415193556,-1041.3534724087651,-2076.7069448175303,225
25,0.8566632201065726,2.6055479049682617,27.22095628261566,-1065.4946009570228,-2124.9892019140457,235
27,-0.015620701137013884,0.3226933934911358,0.12834740284851742,-1025.9760469315318,-2045.9520938630635,233
30,-0.09911042089626769,5.697755515575409,1.248717311774783e-07,-1056.858057916121,-2107.716115832242,227
31,-0.25283970763881586,1.0022526979446411,28.07660418175161,-1095.829947615131,-2185.659895230262,228
32,-0.28757473009637985,0.20260604098439217,15.103846181109548,-1102.2734048438276,-2198.5468096876552,225
33,0.007318507145537982,0.2563044067937881,29.999893923472847,-1184.5724884530794,-2363.1449769061587,212
34,-0.07727863944440277,0.37958331406116486,1.3783574281944766e-08,-1035.2258182820174,-2064.4516365640347,229
37,-0.46672998730230536,2.924746721982956,26.22808059103787,-1148.1175347226185,-2290.235069445237,236
43,0.3111555785539721,0.07463455200195312,29.99999448776245,-1094.2145051781001,-2182.4290103562003,237
44,-0.14081111626232196,1.8804550170898438,17.941943849325177,-1010.0596828938113,-2014.1193657876227,208
45,1.8549270204174417,0.13888642191886902,5.87186306707561,-881.0053875210258,-1756.0107750420516,238
47,-0.2994043698388179,-0.688018798828125,23.44794746398926,-1169.4746887012584,-2332.949377402517,237
48,-0.038452887857885976,0.43934302433626726,0.058983890908421266,-950.2972972997342,-1894.5945945994683,236
50,-0.342489166592467,2.053772211074829,24.562002301216125,-1125.3333439760095,-2244.666687952019,230
53,-0.0722193243012638,0.5944047123193741,0.823052916619927,-939.8025390068461,-1873.6050780136923,224
55,0.002980716808283451,0.1915756962262094,0.015248993637506203,-1316.4572982873467,-2626.9145965746934,238
56,-0.20404000032543976,-2.0874643325805664,2.050399780628709e-06,-1164.24899295018,-2322.49798590036,237
58,1.367788850701547,2.0184883009642363,0.8572612531622874,-721.0001827849367,-1436.0003655698733,237
59,-0.09680638266161033,1.147386358352378,3.283365243008593,-1099.337516846824,-2192.675033693648,240
61,-0.15175126003038103,6.549692153930664,2.7298927340879686e-07,-1123.9869687314006,-2241.973937462801,238
62,-0.028975697951703298,4.5438385009765625,2.7667002868652344,-1042.7033349914286,-2079.4066699828572,223
63,0.2620232206729194,4.395835697650909,18.418703853785992,-1077.385819199481,-2148.771638398962,239
64,-0.030070039740485267,10.0,10.496153798103332,-1157.1378180761194,-2308.275636152239,237
65,-0.10491365902183618,-0.5579402134753764,4.7477766909997445,-1060.10964510578,-2114.21929021156,240
67,0.30996909484982754,1.427796334028244,19.899614109024405,-1080.921276921042,-2155.842553842084,237
68,-0.23415236522596772,0.8083487069234252,4.082704038424417,-1141.7991314031171,-2277.5982628062343,240
69,-0.08785475020687987,-0.5386183597147465,29.720421478822825,-1066.0205755882423,-2126.0411511764846,224
73,-0.1467456997947365,1.6462526842951775,2.282388416938484,-1095.6717197664123,-2185.3434395328245,231
74,0.7010415274415029,2.2570298705250025,29.99999999819789,-1094.2937093151681,-2182.5874186303363,237
75,-0.02758337852350939,0.8966272324323654,6.751835346241464e-05,-1107.5053453012333,-2209.0106906024666,240
77,0.5696581546189202,1.4227227866649628,29.999999968111513,-957.0865008688729,-1908.1730017377458,211
78,0.012745689851237944,1.821892336010933,23.821423180699348,-1166.3253418247964,-2326.650683649593,233
79,-0.014825558058558435,0.6456425786018372,2.816102004796267,-994.5390143311043,-1983.0780286622087,223
83,0.0747355119395057,2.9319515265524387,16.17763503303751,-1109.0429397434316,-2212.085879486863,240
84,0.7665291714766858,8.21939567103982,25.48024224597495,-1083.7583566650653,-2161.5167133301306,239
85,-0.01435345249865369,0.28429314494132996,0.15804802955593944,-932.6625464135437,-1859.3250928270875,240
88,-0.06336466999488918,5.066640228033066,4.232344289198518,-1088.249203694484,-2170.498407388968,232
90,-0.04800789419047327,0.5351018905639648,0.07879599124193204,-1030.237616428302,-2054.475232856604,240
95,-0.5054101874792051,-1.5007937559857965,29.487960346154868,-1012.221173812792,-2018.442347625584,216
96,-0.5630438269903584,3.2987213134765625,29.999966049194335,-1085.25641939977,-2164.51283879954,224
98,-0.1389882173444119,7.983150482177734,0.4362449455261235,-1102.4442557339346,-2198.888511467869,234
100,-0.07934161319375858,0.314483642578125,6.790161132919081e-06,-1080.0540579171093,-2154.1081158342186,240
101,1.000016035539046,-1.2750589847564697,29.463994353860617,-1002.8956164090374,-1999.7912328180748,220
102,-0.10717005958134866,-0.24713993072509766,2.050399780628709e-06,-1007.8306827225334,-2009.6613654450668,222
103,0.22432821438677,1.1061647534370422,29.99978993743658,-1109.310893899531,-2212.621787799062,233
104,0.005454945450735581,0.2899348735809326,2.7298927340879686e-07,-965.33666809842,-1924.67333619684,240
105,0.8506948926773754,5.911293029785156,29.99999448776245,-1089.9875911579356,-2173.9751823158713,239
106,-0.07236800003326765,-0.1789093017578125,6.790161132919081e-06,-1016.4401000501572,-2026.8802001003144,236
107,0.8584865282894527,0.4154402017593384,2.734627802968025,-849.429572743719,-1692.859145487438,236
108,-0.030201895705381485,0.031101434724405408,0.026680410471745297,-971.2119124879797,-1936.4238249759594,235
109,1.8098707042646496,0.32955676317214966,2.567628236413002,-726.1286651493426,-1446.2573302986852,236
110,-0.062255701587657954,-0.15997761394828558,0.0925838737003506,-1076.231693448302,-2146.463386896604,238
111,0.08503872277361217,-0.08861489128321409,17.472112117541254,-1056.8252174797462,-2107.6504349594925,240
112,1.107683957771191,0.21532773971557617,29.99999981999397,-1090.418113840959,-2174.836227681918,235
113,-0.05494274177299873,2.0006101578474045,12.751595491543412,-1168.7101131017664,-2331.420226203533,238
114,-0.14779219441586705,0.9615612030029297,2.606432366371155,-1069.6787613997078,-2133.3575227994156,225
115,-0.13586885885611186,0.30558117854525335,1.5989994710951034,-1051.573386825291,-2097.146773650582,237
116,-0.4610669858650578,-0.9124345518648624,29.999999995883552,-1010.3653892779248,-2014.7307785558496,207
117,-0.06184851517205009,0.1967763900756836,2.7298927340879686e-07,-1042.7804495752428,-2079.5608991504855,237
118,-0.06840622527649473,0.5122885850141756,1.8894106355131954,-1040.527903026659,-2075.055806053318,239
119,-0.13503191426844594,1.1552024632692337,3.914870435874909,-1018.8214257354005,-2031.642851470801,218
120,0.39123517834176924,4.23632025718689,29.99999981999397,-1012.7301341944243,-2019.4602683888486,201
121,0.06046258027738934,1.686028242111206,12.056507230401039,-1134.3367984408458,-2262.6735968816915,233
122,0.006951742040490141,10.0,19.38939705491066,-967.5604027111593,-1929.1208054223187,198
123,-0.09942899274897378,0.7122230529785156,2.050399780628709e-06,-1151.3499045279111,-2296.6998090558222,238
124,0.1298946771213296,0.9610986709594727,1.7913521957397462,-895.2914124938911,-1784.5828249877823,218
125,-0.01927696943207221,7.4541521072387695,19.763328084945677,-1109.2982748117774,-2212.596549623555,231
126,0.31555782901928053,0.26981979608535767,29.999999968111513,-1100.9654633690889,-2195.9309267381777,240
127,0.4615729012198001,3.9955308617209084,1.5248582854500277,-876.1382150169718,-1746.2764300339436,234
128,-0.17878626442048742,2.253139317035675,5.873072668984532,-1157.644544860442,-2309.289089720884,240
129,2.0261007435767566,1.54296875,22.657791328430175,-1079.9454804010584,-2153.8909608021168,229
130,-0.40448174610347065,1.143025024794042,6.37631705970969,-1109.4972814026669,-2212.9945628053338,238
131,-0.04383019846157359,0.09829121408984065,0.00928951151785462,-988.4181459230273,-1970.8362918460546,238
132,-0.017017880001706332,-1.3575591146945953,16.050133804846553,-1113.1005821344595,-2220.201164268919,237
133,-0.09434681811093128,0.45986583456397057,1.087438202723861,-1057.8666508077968,-2109.7333016155935,240
134,0.2045533383079171,1.964370273053646,16.14246037302073,-1076.7365786663613,-2147.4731573327226,238
135,0.18487707871625342,0.6893441453576088,3.9086289709340782,-983.4839398124747,-1960.9678796249493,240
136,-0.17178733412894767,-0.14339983463287354,0.6167172837257386,-1051.92397451923,-2097.84794903846,240
137,-0.11986143178575831,1.4424365758895874,28.91507688909769,-1166.379790557395,-2326.75958111479,238
138,-0.5313970606998818,-0.6322215916588902,29.99999999819789,-1125.6302281416238,-2245.2604562832475,238
139,-0.041379111323168426,0.2675795555114746,2.7298927340879686e-07,-949.5182087293189,-1893.0364174586377,237
140,0.4072299766521991,0.12167672161012888,4.969326244441326,-957.7562460350779,-1909.5124920701558,240
141,-0.03226177234207626,0.7085301633924246,2.2118915588009713e-09,-1008.8889156897167,-2011.7778313794333,238
142,-0.10918482191722968,10.0,6.790161132919081e-06,-1091.2139160095994,-2176.427832019199,240
143,-0.3073251203636544,1.8796539306640625,8.950079193115235,-1047.0840539015176,-2088.168107803035,219
144,2.692819346155944,5.979430181905627,0.9093257356947291,-775.942894866361,-1545.885789732722,231
145,-0.20694934221820932,0.968405082821846,1.6223643918707968,-1042.2155480517683,-2078.4310961035367,228
146,-0.09833674639683859,10.0,14.58306990146637,-1121.7237530900297,-2237.4475061800595,233
147,0.08127432608843904,1.6442489624023438,29.999999968111513,-1195.432482394852,-2384.864964789704,238
