participant,w_0,b_v,sigma_conf,ll,AICc,n_trials
3,0.08148642254336809,-1.8531754240393639,29.99999999819789,-1044.6482726810298,-2083.2965453620595,217
4,0.1609761579382585,0.6518697738647461,3.4136184644699097,-967.8637952079511,-1929.7275904159021,236
6,0.3154588278230194,0.740063339471817,7.188158559277653,-1016.6121700598155,-2027.224340119631,237
7,1.8391042227769012,-0.5463901162147522,29.906072895005344,-1065.1656108414875,-2124.331221682975,239
9,0.04186376034282474,1.9327737158164382,3.114104821281508,-976.4502769043473,-1946.9005538086947,218
18,0.09899231828069083,0.9329158300533891,5.721833038046025,-970.3115188587195,-1934.623037717439,219
20,-0.04966813483867684,-0.07053375244140625,6.790161132919081e-06,-997.2528727720892,-1988.5057455441784,223
22,1.2513593518563493,6.381656294688582,27.829757948449988,-1042.051441728108,-2078.102883456216,225
25,0.7782254685992238,3.838704451918602,26.105909391120075,-1065.6926956365046,-2125.385391273009,235
27,-0.016846585473759477,0.3175232373178005,0.1542627868254205,-1026.3050213221327,-2046.6100426442654,233
30,-0.09889177517865501,5.2267760038375854,1.248717311774783e-07,-1057.7259730894725,-2109.451946178945,227
31,-0.2487272822547155,0.7392454147338867,28.879586000442504,-1095.997483034895,-2185.99496606979,228
32,-0.28875716156573944,0.3665623068809509,15.434924399256706,-1102.5268747802922,-2199.0537495605845,225
33,0.03408856336985169,0.97686767578125,29.999966049194335,-1183.6659745305026,-2361.331949061005,212
34,-0.07422874777561018,0.2825927734375,0.00012054443359410527,-1035.8646368504233,-2065.7292737008465,229
37,-0.47096824529410486,2.1353721618652344,25.88107670068741,-1148.2576845677527,-2290.5153691355054,236
43,0.3116590072083615,0.09959220886230469,29.9999992275238,-1094.2192709566004,-2182.438541913201,237
44,-0.13409689751000595,1.639915351406671,18.30725567902933,-1010.3891383317666,-2014.7782766635332,208
45,1.8363005449141054,0.26825547218322754,5.860595506429672,-880.8084593310596,-1755.6169186621191,238
47,-0.2940725312910808,-0.5582082271575928,24.980493012666702,-1170.1845492236382,-2334.3690984472764,237
48,-0.038934031427152134,0.4148656129837036,0.055620779991150116,-950.0603102765979,-1894.1206205531957,236
50,-0.33974217192802664,2.334950938820839,24.994045471549033,-1125.429672293992,-2244.859344587984,230
53,-0.07337784190684074,0.5500857764855027,0.8096383991418408,-939.321384708606,-1872.642769417212,224
55,0.002556110924491478,0.1913783559575677,0.019937961087562517,-1315.6889471661455,-2625.377894332291,238
