participant,w_0,w_v,b_v,sigma_conf,ll,AICc,n_trials
3,0.08290778187909485,-0.09961657474377658,-0.22904230281710625,29.999935027826577,-1046.0658052377296,-2084.131610475459,217
4,0.11042506056883598,-0.35581400698911436,6.762772974871041,0.7840310067109932,-960.3614271119274,-1912.7228542238547,236
6,0.34425275687723866,0.4183625170017742,-5.2688682451844215,7.076444735564291,-1016.3265227547297,-2024.6530455094594,237
7,1.844957579490705,0.012871874426811356,-0.550004243850708,29.919737293720246,-1066.777243466495,-2125.55448693299,239
9,0.04191430507821017,-7.116299299657751e-05,1.9432389736175537,3.1122344253584746,-978.062434127381,-1948.124868254762,218
18,0.09121553131330903,0.30774457603148386,-7.562482175417244,4.113034511907026,-969.7010350066448,-1931.4020700132896,219
20,-0.0493513079894869,-0.01897210130530785,0.43569158762693405,4.220090943363175e-11,-998.7668275661109,-1989.5336551322218,223
22,0.9054594839668066,0.27929227988787203,3.4190584626048803,24.98329466292169,-1042.690882620127,-2077.381765240254,225
25,0.8076554685730524,0.1276949771539337,2.4013183207716793,26.37003896964481,-1067.0991790700352,-2126.1983581400705,235
27,-0.016771031067633998,0.018286918077708297,-0.09267683490179479,0.15886870893533356,-1027.8476215484106,-2047.6952430968213,233
30,-0.09786566604568389,0.038417080658151456,1.348050832748413,2.7298927340879686e-07,-1058.682183059363,-2109.364366118726,227
31,-0.2724974446653058,-0.12055712647253301,2.296460160287097,29.99988913626759,-1097.376730167348,-2186.753460334696,228
32,-0.28597827988894536,0.06493202659774794,-1.2913895711835721,15.849450734398301,-1103.7772735863664,-2199.554547172733,225
33,0.032517471449275324,-0.10026298116060599,3.1038818985143735,29.999997532724265,-1185.131495158488,-2362.262990316976,212
34,-0.07678027685086637,0.0371442932034424,-0.24938258691690862,4.761391281249416e-10,-1037.2647737484942,-2066.5295474969885,229
37,-0.471209750506621,-0.003270314907302242,2.198606347956229,25.894508807557575,-1149.8694226725706,-2291.7388453451413,236
43,0.3184605837923567,-0.1402160306715595,2.1997045353055,29.99987636402249,-1095.3483814878452,-2182.6967629756905,237
44,-0.13977295836863182,-0.017666102509858447,2.162046432495117,18.121932139396666,-1011.9740658132029,-2015.9481316264057,208
45,1.8312246115668567,0.04204650789516853,0.22745251655578613,5.857637895345688,-882.4149405286275,-1756.829881057255,238
47,-0.29386232052450134,-0.0034691590747358467,-0.42422857135534286,24.992002995442597,-1171.7962904586793,-2335.5925809173586,237
48,-0.03891649583003277,-0.005407064358854995,0.49485714902402833,0.04997805244289344,-951.6671110967985,-1895.334222193597,236
50,-0.3454886803652971,-0.06802662993845182,3.6642566628870554,23.722210135610077,-1126.946248239697,-2245.892496479394,230
53,-0.0732653462213539,-0.003332861561751891,0.6066892854869366,0.8078055857308211,-940.9322154710212,-1873.8644309420424,224
55,2.3706270695305918,-2.083619274245589,9.999995296820998,29.999993756432087,-1184.7992890753421,-2361.5985781506843,238
56,-0.20214628219710803,-0.011878408267853384,-0.4100930690765381,1.248717311774783e-07,-1168.3994055281437,-2328.7988110562874,237
58,1.9512465412148605,1.2748644283898791,0.061803488060832024,2.0366523398039864,-722.3932361275015,-1436.786472255003,237
59,-0.0981742377486499,-0.018249343085113293,1.7622690788266482,3.3096137633331093,-1100.2779406149525,-2192.555881229905,240
61,-0.15445974593062464,0.0693938433587686,0.1435454934835434,0.0005968603631485436,-1124.4218875614874,-2240.843775122975,238
62,-0.049546599513163474,0.06113436416986865,0.9960746765136719,6.790161132919081e-06,-1044.159948223359,-2080.319896446718,223
63,0.4314755298373723,0.25394678847124175,0.9308849342050962,22.515761630648047,-1077.7754958959117,-2147.5509917918234,239
64,-0.03938227610390353,0.12973887781278332,3.8975067422143184,5.005285986592353,-1139.881432324981,-2271.762864649962,237
65,-0.10553175348921624,-0.24079522783140556,3.844161946326494,0.18020787885412615,-1059.9512423318572,-2111.9024846637144,240
67,0.2854343556443023,0.07913505716336192,0.3577052056789398,19.286020675078035,-1082.290088918858,-2156.580177837716,237
