participant,generative_model,fitted_model,ll,n_trials,n_params,fit_time_s,true_sens_noise,true_sens_bias,true_p_lapse,true_pe_wt,true_pe_wt_v,true_bel_noise,hat_pe_wt,hat_pe_wt_v,hat_bel_noise,hat_sens_noise,hat_sens_bias,hat_p_lapse,hat_bel_bias_v,true_bel_bias_v,bic,aicc
0,bel_bias_v,bel_bias_v,-770.7587248159689,240,3,47.19948803900115,8.078773258094822,0.5716522792050858,0.05021029215395517,2.2125774201197776,,7.018671525489646,2.945519148099484,,2.050399780628709e-06,13.456600767129357,0.011087627808280343,1.7346308489737444e-09,1.595311164855957,2.1437821923080675,1557.9593664019637,1547.619144547192
1,bel_bias_v,bel_bias_v,-810.8422380278862,240,3,44.195638449999024,9.111393880623769,1.526300031503193,0.1,3.102326642664522,,1.9013947018935842,3.0789927000487265,,2.050399780628709e-06,11.96899633819802,0.3497903726079918,2.372085249970785e-09,0.7525348663330078,2.7375659372662753,1638.1263928257983,1627.7861709710266
2,bel_bias_v,bel_bias_v,-940.6926418883804,240,3,45.66997517799973,1.7575552882680043,-1.7748855008432798,0.04367360776798195,1.664868355324219,,12.202525406389057,0.3317095856574676,,5.241727828979492,2.248786190281218,-1.6049993454319924,0.02734184866247416,4.320350885391235,7.2313072902897,1897.8272005467868,1887.486978692015
3,bel_bias_v,bel_bias_v,-877.4048824316127,240,3,54.25450999500026,4.351909797913377,1.6541754909835564,0.0007453369130336268,-3.6292165889456167,,0.8711427816961416,-3.477477696293991,,6.790161132919081e-06,3.5217372477858797,0.8225367164942676,2.3344656071182264e-08,0.723724365234375,0.4138873015924374,1771.2516816332513,1760.9114597784796
4,bel_bias_v,bel_bias_v,-712.1811377927987,240,3,46.57059915900027,21.58131481757583,-1.7452344017633332,0.007078805737179665,1.5757122064853102,,9.435541835401084,3.0268163275438518,,0.0002722167968753908,19.799661861646744,0.3590448029614353,2.4700690596237944e-09,-0.059814453125,-1.999147538860545,1440.8041923556234,1430.4639705008517
5,bel_bias_v,bel_bias_v,-704.8157323592193,240,3,45.33416546099943,9.833222434081073,-4.7194051472616305,0.006380893486050977,1.5923870745408022,,2.491354104584991,2.861193014982192,,0.0057324218750003375,8.734854668247388,-2.511996859555444,0.011848740486100177,-6.044921875,-10.0,1426.0733814884645,1415.7331596336928
6,bel_bias_v,bel_bias_v,-661.3510384743993,240,3,50.81905154800006,5.830870341324191,0.3890348239082513,0.010202484435279996,1.6494999344213803,,0.3241382091114675,2.8549067050418455,,2.050399780628709e-06,5.375448490215935,0.1588129533016243,3.4707262094592873e-09,-2.8781557083129883,-7.179623865156751,1339.1439937188245,1328.8037718640528
7,bel_bias_v,bel_bias_v,-1104.8478896326392,240,3,29.66528791499877,4.718052367636379,1.217971507422917,0.006001464154171512,-0.021259647540062727,,12.243376932837307,-0.09049771790122664,,6.46460521697998,4.579704295092647,1.1367286727619215,0.014901458982071143,-1.0911750793457031,-0.07880461990358993,2226.1376960353045,2215.7974741805324
8,bel_bias_v,bel_bias_v,-743.3748230643027,240,3,33.82934862300317,7.03619917060554,-0.9927339560119363,0.011451433418145111,0.7498503527552557,,3.792094465965709,2.1393402354055095,,6.790161132919081e-06,6.3282171634999935,-0.8053662606555146,1.7555993136738371e-09,2.3023223876953125,0.9689402360662658,1503.1915628986314,1492.8513410438597
9,bel_bias_v,bel_bias_v,-1007.8824279204872,240,3,40.25652665300004,2.4322092162497695,-0.6957632837195573,0.04834538191899969,-2.2153988829482065,,3.062435365420173,-2.493513032881272,,1.822975883483887,2.811871489487615,-0.8638208853656926,0.013535862518285684,-1.5607261657714844,-2.022648616221922,2032.2067726110004,2021.8665507562287
10,bel_bias_v,bel_bias_v,-1126.7554981316732,240,3,25.518259624001075,9.970461176209781,3.3132132805425365,0.012128786573752404,-0.7039570176758545,,0.8121405827751373,-0.7939190367328135,,0.0008789062500000888,7.90434713492922,2.7815956450495714,0.030994857371945995,2.8271484375,5.196923540314752,2269.9529130333726,2259.6126911786005
11,bel_bias_v,bel_bias_v,-732.7183618267418,240,3,31.82993105499918,13.742698817835082,-1.6429804952029667,0.019670182106590158,0.9673939219058932,,3.5577220865186003,2.926922671718454,,6.790161132919081e-06,15.620750466054373,-0.43511696426793045,3.461721557534055e-09,-0.643310546875,0.10869990290508592,1481.8786404235095,1471.5384185687378
12,bel_bias_v,bel_bias_v,-1137.4110433233686,240,3,32.42734131600082,0.5728318470204118,-0.19575275936122113,0.04133099787604292,-1.455142054200308,,7.80304879840303,-1.3626128157468487,,10.287779669761658,1.0616723668367232,-0.6588369314295053,0.008353978590032436,-1.8386447429656982,-0.7894221748813548,2291.2640034167634,2280.9237815619913
13,bel_bias_v,bel_bias_v,-593.0579896514889,240,3,35.460370832999615,1.7140418403756987,1.6584211295597326,0.012305976881051483,1.74291847297034,,0.308847165914641,2.5331270007591074,,0.000894902944565068,2.1229910901885005,2.590576415356563,1.7344697035254769e-09,-1.570146083831787,-3.0563785057584836,1202.5578960730038,1192.217674218232
14,bel_bias_v,bel_bias_v,-818.4622724395364,240,3,37.54158512799768,12.560742602045615,-0.7836754474753123,0.0886987553720615,4.161847282389441,,12.280029119988798,2.9247161769293926,,2.7298927340879686e-07,13.333511530455109,-0.057250991993480334,2.8921005565516825e-09,-0.7769620418548584,-2.928004193499238,1653.3664616490987,1643.026239794327
15,bel_bias_v,bel_bias_v,-1101.8507896841822,240,3,32.40837744700184,4.068398106722386,-2.041627364102343,0.03152557972162329,-0.6193410934317688,,0.546442214786186,-0.6316819497923539,,0.00012054443359410527,3.9299293591102473,-1.4945571125722334,1.738654438674299e-09,-3.12286376953125,-2.1452458401096584,2220.1434961383907,2209.8032742836185
16,bel_bias_v,bel_bias_v,-1019.0853295722651,240,3,28.459866068998963,0.5567985827485571,1.708838034754841,0.00573932410487903,-1.822151812993402,,2.2741277136340403,-1.5862129313812572,,2.285968806743622,0.8877442112598491,1.4275369267711648,1.7544284258958565e-09,3.666653633117676,2.4147783296293888,2054.612575914556,2044.2723540597844
17,bel_bias_v,bel_bias_v,-931.3761067730939,240,3,32.26489804200173,16.33295362901796,-0.8181303064995379,0.03670201557271567,0.5336621009579489,,11.343803218754125,0.8992775913330191,,14.048394012451173,15.253426509197599,-0.9409811111909995,3.363046129188416e-09,4.7734832763671875,8.5742220065638,1879.1941303162137,1868.853908461442
18,bel_bias_v,bel_bias_v,-924.6401690146652,240,3,30.481100459997833,6.338979747611706,2.0682349769894524,0.001065168581489238,-1.908431860317534,,1.0540558774467264,-3.1808681150828186,,2.7298927340879686e-07,7.1003655625927795,1.9685046952950822,2.269174553996924e-09,1.290445327758789,0.30568936303992883,1865.7222547993563,1855.3820329445846
