participant,generative_model,fitted_model,ll,n_trials,n_params,fit_time_s,true_sens_noise,true_sens_bias,true_p_lapse,true_pe_wt,true_pe_wt_v,true_bel_noise,hat_pe_wt,hat_pe_wt_v,hat_bel_noise,hat_sens_noise,hat_sens_bias,hat_p_lapse,hat_bel_bias_v,true_bel_bias_v,bic,aicc
0,pe_wt_v,pe_wt_v,-948.7379737271061,240,3,51.300740157999826,14.199465461483111,-0.3132757953161808,0.03187756035555927,-0.90996696068156,-2.4512115275344963,7.087267330741959,-0.8279363552566746,-3.2087023239211874,6.790161132919081e-06,15.429413730888253,-1.0228206364273922,1.356636172303761e-08,,,1913.9178642242382,1903.5776423694665
1,pe_wt_v,pe_wt_v,-901.260104349135,240,3,56.66558186600014,11.806713928240526,-0.396050681802328,0.1,0.9902002465823367,0.8592710131206106,1.3966453045188343,2.3606576347428296,2.1826492438803644,3.878276228904724,12.44342957930818,-0.6693005539192906,7.67587212759946e-09,,,1818.9621254682959,1808.6219036135242
2,pe_wt_v,pe_wt_v,-1129.3640528355243,240,3,37.08334193600058,5.6214934420449705,-0.7877476842662815,0.05303228289739749,-0.6717792103888944,1.0795567388719385,13.669854401514634,-0.5501359372461805,0.8620626364861684,9.888096923828124,6.934684315209576,-1.1491875922831274,0.03217184779891357,,,2275.1700224410747,2264.8298005863026
3,pe_wt_v,pe_wt_v,-913.4052440360955,240,3,45.733415755999886,5.878534513316179,0.9020232187105894,0.07338660707359974,2.57785427525164,2.967029088909878,8.289006293518487,1.755336277966995,2.198099422136251,1.4642328262329103,4.065516665577971,0.18782247312243272,0.054524458977389945,,,1843.252404842217,1832.9121829874452
4,pe_wt_v,pe_wt_v,-881.5462953257124,240,3,46.27092876699862,12.848857588500902,3.3949707651791097,0.05716577470665356,1.8827175036929875,-2.6625349174636965,2.083371130611709,2.2788313575451493,-3.0671241468813526,6.790161132919081e-06,12.549694677355848,1.8547458896101636,5.448456831505149e-09,,,1779.5345074214508,1769.1942855666791
5,pe_wt_v,pe_wt_v,-1117.97859080095,240,3,46.46124523099934,2.2930030502479495,-0.5346409145891002,0.016919407482758154,-4.365594338674032,-0.1900924177585719,10.0484164247605,-2.0295840141076606,-0.44630914683477274,7.253526052236557,2.654519953353637,-0.5788449761187677,0.028010309413992643,,,2252.3990983719264,2242.058876517154
6,pe_wt_v,pe_wt_v,-941.1712565329523,240,3,48.10421282899915,6.399205828230226,-2.064600102562332,0.1,-0.2766793451146968,-3.6626093120243013,3.6561745751067667,-0.31772567282456826,-2.959325268044083,3.4575164322703245e-06,5.718879306614785,-0.8624160676376357,0.016486724123283517,,,1898.7844298359305,1888.4442079811588
7,pe_wt_v,pe_wt_v,-991.497933704943,240,3,44.70736472200042,6.8427249942403705,-1.91886846148773,0.1,-3.748910118163146,3.021466586830261,2.7751257394175854,-2.6933553497440457,1.76122052600074,2.7298927340879686e-07,7.568215895088804,-0.6340440531509323,0.07928256591817093,,,1999.437784179912,1989.0975623251402
8,pe_wt_v,pe_wt_v,-895.4282732821634,240,3,32.246637065996765,30.0,1.2610274024728114,0.00820724058636506,2.272041807120256,-2.525052723643394,3.403575289804972,2.267118619737182,-2.5099565790725236,0.08231585651636131,23.372339494761192,0.30467531777260404,2.849146808911569e-09,,,1807.2984633343528,1796.9582414795811
9,pe_wt_v,pe_wt_v,-798.2402496925735,240,3,33.60788117500124,6.03678615208579,-1.912910153756978,0.1,1.2695484306600762,4.092154766446301,1.3035006784833225,1.9563883165989138,4.72835986556256,0.027098673582077293,6.2017379638864325,-1.6486395705104897,0.016038222100592997,,,1612.9224161551729,1602.5821943004012
