stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-31.427691500115166,1,88.06873488148513,1,Free,exp1a,38
-9,-1,-1.0,-9.119941178558538,1,83.65935547932236,1,Free,exp1a,9
-5,-1,-1.0,-4.272532333336265,1,24.52014987108299,1,Free,exp1a,5
-3,-1,-1.0,0.3506786684519172,1,69.6736059894623,1,Free,exp1a,3
-1,-1,-1.0,3.925239074464772,1,52.57556462705074,1,Free,exp1a,1
1,-1,-1.0,1.511640669689294,0,19.746974027383335,1,Free,exp1a,1
3,-1,1.0,13.471761977283572,1,30.632514945521073,1,Free,exp1a,3
5,-1,1.0,12.242822176126317,1,86.13683686120434,1,Free,exp1a,5
9,-1,-1.0,-2.393300401810034,0,82.65058362960882,1,Free,exp1a,9
38,-1,1.0,38.70135182573179,1,94.6949144858322,1,Free,exp1a,38
-38,0,-1.0,-33.934647500033016,1,98.18196079024816,1,Free,exp1a,38
-9,0,-1.0,-16.05332407208084,1,81.98046176488923,1,Free,exp1a,9
-5,0,-1.0,-14.584920947806909,1,90.97193340291118,1,Free,exp1a,5
-3,0,-1.0,-18.016928529368965,1,83.55615223913733,1,Free,exp1a,3
-1,0,-1.0,-2.0478493868607712,1,57.717847035979894,1,Free,exp1a,1
1,0,-1.0,0.6020962524506102,0,28.181650746849773,1,Free,exp1a,1
3,0,-1.0,-8.62175302185538,0,49.28191415296954,1,Free,exp1a,3
5,0,1.0,10.209564605837704,1,60.45810775832443,1,Free,exp1a,5
9,0,-1.0,2.108523040578914,0,82.02186115264625,1,Free,exp1a,9
38,0,1.0,26.851349207388637,1,94.4298602754152,1,Free,exp1a,38
-38,1,-1.0,-25.803022565288977,1,92.79151714027584,1,Free,exp1a,38
-9,1,-1.0,-9.84752010856052,1,82.2062585923377,1,Free,exp1a,9
-5,1,1.0,11.86769821970274,0,78.94991976534298,1,Free,exp1a,5
-3,1,-1.0,-5.040972540838424,1,67.87514262117513,1,Free,exp1a,3
-1,1,-1.0,-2.4876229398646106,1,21.13210056435351,1,Free,exp1a,1
1,1,1.0,7.926459678747117,1,84.1818268348751,1,Free,exp1a,1
3,1,-1.0,-11.189342595168961,0,57.15489678839859,1,Free,exp1a,3
5,1,1.0,14.205873725988102,1,88.50110095636626,1,Free,exp1a,5
9,1,1.0,8.181317032395171,1,85.00537595295287,1,Free,exp1a,9
38,1,1.0,35.84649892976651,1,85.42880617794411,1,Free,exp1a,38
-38,-1,-1.0,-48.414777213592274,1,98.47874820473133,1,Free,exp1a,38
-9,-1,1.0,7.762401343990246,0,56.590037108351645,1,Free,exp1a,9
-5,-1,-1.0,-10.998425105649007,1,59.2701298224395,1,Free,exp1a,5
-3,-1,-1.0,-8.444203697322958,1,69.41135648647878,1,Free,exp1a,3
-1,-1,1.0,8.196769840805537,0,69.63638849978791,1,Free,exp1a,1
1,-1,-1.0,-7.579389033656794,0,63.238433321264296,1,Free,exp1a,1
3,-1,-1.0,3.049978674942692,0,21.89658174962697,1,Free,exp1a,3
5,-1,-1.0,-1.9302701842125085,0,55.201730388414894,1,Free,exp1a,5
9,-1,-1.0,1.873285267044939,0,90.94633590009245,1,Free,exp1a,9
38,-1,1.0,40.967832027328136,1,48.30331758291502,1,Free,exp1a,38
-38,0,-1.0,-34.81411107102029,1,96.92426572249848,1,Free,exp1a,38
-9,0,-1.0,-11.501826370446109,1,86.84050570389526,1,Free,exp1a,9
-5,0,-1.0,-13.674810203533859,1,38.987751013497,1,Free,exp1a,5
-3,0,-1.0,1.7752034848091924,1,40.901505292654214,1,Free,exp1a,3
-1,0,-1.0,-19.41111823832621,1,57.300002175350784,1,Free,exp1a,1
1,0,1.0,7.281776177207977,1,92.57922543668928,1,Free,exp1a,1
3,0,-1.0,1.4255145024628737,0,75.13497739073144,1,Free,exp1a,3
5,0,1.0,7.389891273061833,1,86.39752012149775,1,Free,exp1a,5
9,0,1.0,9.319259250013182,1,69.83710212147804,1,Free,exp1a,9
38,0,1.0,32.18673005091903,1,96.9723761420624,1,Free,exp1a,38
-38,1,-1.0,-35.2868997845299,1,92.13326544746596,1,Free,exp1a,38
-9,1,-1.0,-8.44984836100748,1,87.2956811337047,1,Free,exp1a,9
-5,1,-1.0,-5.4463524983631135,1,55.35285206612429,1,Free,exp1a,5
-3,1,-1.0,-4.212906834760776,1,45.23988190782659,1,Free,exp1a,3
-1,1,-1.0,2.4358603241939862,1,88.12188060478616,1,Free,exp1a,1
1,1,1.0,9.279853373553177,1,64.55018687006502,1,Free,exp1a,1
3,1,-1.0,-5.864206549773424,0,37.539481707485976,1,Free,exp1a,3
5,1,-1.0,1.857123239500371,0,30.847905409027515,1,Free,exp1a,5
9,1,1.0,6.544888702616467,1,45.153040810878196,1,Free,exp1a,9
38,1,1.0,39.76342461451229,1,97.6310122774305,1,Free,exp1a,38
-38,-1,-1.0,-36.21667094523496,1,90.95577197560235,1,Free,exp1a,38
-9,-1,-1.0,-7.090747808728234,1,94.13164169381561,1,Free,exp1a,9
-5,-1,-1.0,-14.449495159564325,1,89.56371122451398,1,Free,exp1a,5
-3,-1,-1.0,-12.209633345674636,1,74.44785737721801,1,Free,exp1a,3
-1,-1,-1.0,3.248676582460635,1,81.23476341757832,1,Free,exp1a,1
1,-1,1.0,7.315773923827771,1,50.72649341909059,1,Free,exp1a,1
3,-1,-1.0,-3.880422371132105,0,19.348775049467946,1,Free,exp1a,3
5,-1,1.0,13.131580623080064,1,47.02292523116158,1,Free,exp1a,5
9,-1,1.0,8.054548356290393,1,70.4193355126446,1,Free,exp1a,9
38,-1,1.0,35.74203011588604,1,89.59212136184132,1,Free,exp1a,38
-38,0,-1.0,-35.04796119202386,1,96.41568266751999,1,Free,exp1a,38
-9,0,-1.0,-6.760725858192912,1,70.07696736128295,1,Free,exp1a,9
-5,0,-1.0,-9.390472756611427,1,79.85976860227355,1,Free,exp1a,5
-3,0,-1.0,0.829158313767798,1,87.89437053758633,1,Free,exp1a,3
-1,0,-1.0,-21.01014915670434,1,78.18040922234395,1,Free,exp1a,1
1,0,-1.0,5.082850319691036,0,63.731059874680696,1,Free,exp1a,1
3,0,-1.0,-0.03273294047507491,0,17.844979927408684,1,Free,exp1a,3
5,0,-1.0,5.057398609894219,0,46.89877732863726,1,Free,exp1a,5
9,0,1.0,7.815234405775804,1,35.381833239132575,1,Free,exp1a,9
38,0,1.0,28.53114692277353,1,88.61997979499266,1,Free,exp1a,38
-38,1,-1.0,-39.61432089265396,1,94.70625724451511,1,Free,exp1a,38
-9,1,-1.0,-10.21351167135307,1,73.83808631295692,1,Free,exp1a,9
-5,1,1.0,6.705217135784486,0,50.55508773341521,1,Free,exp1a,5
-3,1,-1.0,-16.308704683456565,1,96.75261346660537,1,Free,exp1a,3
-1,1,-1.0,0.006943899579854751,1,26.977378770986792,1,Free,exp1a,1
1,1,-1.0,4.631859554015244,0,22.64621942506495,1,Free,exp1a,1
3,1,-1.0,1.7627104809884075,0,88.63277092581401,1,Free,exp1a,3
5,1,-1.0,2.6401524963352854,0,39.261524274958035,1,Free,exp1a,5
9,1,-1.0,3.1177084804277633,0,32.42214148082836,1,Free,exp1a,9
38,1,1.0,37.413350799721194,1,99.34609076608827,1,Free,exp1a,38
-38,-1,-1.0,-37.44268249581632,1,97.09651445062619,1,Free,exp1a,38
-9,-1,-1.0,0.5120496026837822,1,42.46832826649861,1,Free,exp1a,9
-5,-1,-1.0,-8.965391017831866,1,69.29609718814139,1,Free,exp1a,5
-3,-1,-1.0,-1.2183084118829979,1,88.71220054862673,1,Free,exp1a,3
-1,-1,-1.0,-7.9699040257803375,1,77.2616280130389,1,Free,exp1a,1
1,-1,-1.0,-5.711085243131736,0,84.79473872662216,1,Free,exp1a,1
3,-1,1.0,8.717822334760225,1,80.00054050237611,1,Free,exp1a,3
5,-1,1.0,7.969189484810589,1,81.18894269943915,1,Free,exp1a,5
9,-1,1.0,6.921010585395706,1,65.45379797505724,1,Free,exp1a,9
38,-1,1.0,39.67788870259281,1,93.39375090780358,1,Free,exp1a,38
-38,0,-1.0,-41.023783400354745,1,95.30053420008984,1,Free,exp1a,38
-9,0,-1.0,-12.386658545021993,1,82.69536267004649,1,Free,exp1a,9
-5,0,-1.0,-7.995902013761379,1,56.22696695370908,1,Free,exp1a,5
-3,0,-1.0,-4.505564880535789,1,60.431969965655504,1,Free,exp1a,3
-1,0,-1.0,0.5790680345410903,1,43.6302948726191,1,Free,exp1a,1
1,0,-1.0,1.8768325403204977,0,54.86065043863649,1,Free,exp1a,1
3,0,1.0,19.99756406105218,1,52.058414715170976,1,Free,exp1a,3
5,0,1.0,13.064989118573825,1,97.02810036922286,1,Free,exp1a,5
9,0,1.0,13.97546081532294,1,54.9651229670341,1,Free,exp1a,9
38,0,1.0,38.70860555400972,1,90.24496146708783,1,Free,exp1a,38
-38,1,-1.0,-49.36653754948409,1,92.2592949375937,1,Free,exp1a,38
-9,1,-1.0,-16.656287957689454,1,84.94773705785776,1,Free,exp1a,9
-5,1,-1.0,-9.065164653559428,1,60.58496334823502,1,Free,exp1a,5
-3,1,1.0,10.372545645107373,0,46.82971214106446,1,Free,exp1a,3
-1,1,-1.0,-1.8836832035833444,1,68.663789749964,1,Free,exp1a,1
1,1,1.0,7.647969646656767,1,78.66444386844276,1,Free,exp1a,1
3,1,-1.0,2.9174220161554345,0,48.32447717265066,1,Free,exp1a,3
5,1,-1.0,0.5138051161043249,0,35.40465125776882,1,Free,exp1a,5
9,1,1.0,13.180757281927132,1,96.03622472145699,1,Free,exp1a,9
38,1,1.0,46.05031952875866,1,96.8285156370686,1,Free,exp1a,38
-38,-1,-1.0,-36.61499212350762,1,80.58258663898663,1,Free,exp1a,38
-9,-1,-1.0,-21.449560581540617,1,94.49766919574319,1,Free,exp1a,9
-5,-1,-1.0,2.7056572758286936,1,36.23789143398667,1,Free,exp1a,5
-3,-1,-1.0,-12.194267933549828,1,97.23314798213036,1,Free,exp1a,3
-1,-1,-1.0,-1.52653970317688,1,59.36562430554019,1,Free,exp1a,1
1,-1,1.0,14.21194063151472,1,87.65946179317008,1,Free,exp1a,1
3,-1,-1.0,-3.1919788899935835,0,13.318098526584595,1,Free,exp1a,3
5,-1,-1.0,2.048912847708646,0,21.68865725972379,1,Free,exp1a,5
9,-1,1.0,9.010069585572584,1,87.75111598028082,1,Free,exp1a,9
38,-1,1.0,39.374040885528956,1,94.9590708040456,1,Free,exp1a,38
-38,0,-1.0,-46.02997727084277,1,99.40832315513552,1,Free,exp1a,38
-9,0,-1.0,-11.18919096831494,1,77.86136661435596,1,Free,exp1a,9
-5,0,-1.0,-17.81314313231539,1,79.18678164831141,1,Free,exp1a,5
-3,0,-1.0,-5.475908981218763,1,90.42417938477631,1,Free,exp1a,3
-1,0,-1.0,-16.663646098147247,1,89.34454986427605,1,Free,exp1a,1
1,0,1.0,12.81312426104013,1,65.91742549510077,1,Free,exp1a,1
3,0,-1.0,-5.439844964125916,0,32.447016298913866,1,Free,exp1a,3
5,0,-1.0,2.423535551830884,0,8.987472647523951,1,Free,exp1a,5
9,0,-1.0,1.983920642725419,0,57.62332472502756,1,Free,exp1a,9
38,0,1.0,35.845827524330076,1,76.9668492695479,1,Free,exp1a,38
-38,1,-1.0,-32.55968194079034,1,99.22934566871633,1,Free,exp1a,38
-9,1,-1.0,0.7192054730380439,1,43.666143125050866,1,Free,exp1a,9
-5,1,-1.0,-2.3674136355245547,1,46.71150483353606,1,Free,exp1a,5
-3,1,-1.0,0.6214462598191657,1,18.186961788279024,1,Free,exp1a,3
-1,1,-1.0,4.194774037011516,1,43.36454367967429,1,Free,exp1a,1
1,1,-1.0,4.218922146724586,0,35.092420469899366,1,Free,exp1a,1
3,1,-1.0,-5.047988341293271,0,88.88971555878716,1,Free,exp1a,3
5,1,-1.0,-11.29588364009246,0,71.58306797549466,1,Free,exp1a,5
9,1,1.0,6.81566749337494,1,68.36227489834937,1,Free,exp1a,9
38,1,1.0,42.4549396933541,1,93.71738028625883,1,Free,exp1a,38
-38,-1,-1.0,-32.143057467242755,1,95.29866169868748,1,Free,exp1a,38
-9,-1,-1.0,-9.741587158745647,1,57.708305133007954,1,Free,exp1a,9
-5,-1,-1.0,-1.7363219080602788,1,71.06822968972217,1,Free,exp1a,5
-3,-1,-1.0,-11.152485738468165,1,91.96537545416417,1,Free,exp1a,3
-1,-1,-1.0,-5.518557217028173,1,71.64320970974259,1,Free,exp1a,1
1,-1,-1.0,-0.2498659329084698,0,48.10979190193246,1,Free,exp1a,1
3,-1,1.0,21.244692616960766,1,61.21309975217446,1,Free,exp1a,3
5,-1,-1.0,0.5137028812686779,0,54.4939441939441,1,Free,exp1a,5
9,-1,-1.0,3.510835109223396,0,63.71988706628504,1,Free,exp1a,9
38,-1,1.0,35.036817859043154,1,77.02389837133317,1,Free,exp1a,38
-38,0,-1.0,-34.840636368546605,1,95.93889173458882,1,Free,exp1a,38
-9,0,-1.0,-1.9320557101296592,1,64.69008216413484,1,Free,exp1a,9
-5,0,-1.0,0.879599140480094,1,54.646505879250725,1,Free,exp1a,5
-3,0,-1.0,-7.423203537371674,1,45.885558557690395,1,Free,exp1a,3
-1,0,1.0,6.205493977999671,0,48.42958840393264,1,Free,exp1a,1
1,0,-1.0,-0.07089741286691975,0,69.23306322071359,1,Free,exp1a,1
3,0,1.0,12.63328240808049,1,67.16856801457057,1,Free,exp1a,3
5,0,1.0,15.395367540063166,1,62.867823264523494,1,Free,exp1a,5
9,0,1.0,7.135804096425169,1,72.86268084673402,1,Free,exp1a,9
38,0,1.0,31.535051388426567,1,94.22653384104956,1,Free,exp1a,38
