stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-33.378149890687766,1,90.64256387806728,1,Free,exp2,38
-9,-1,-1.0,-9.0843463372484,1,69.49068011830535,1,Free,exp2,9
-5,-1,-1.0,-4.488422292600871,1,31.49556097511395,1,Free,exp2,5
-3,-1,-1.0,-0.643699383507939,1,9.071810791283243,1,Free,exp2,3
-1,-1,1.0,2.463580073136061,0,48.71707388313697,1,Free,exp2,1
1,-1,1.0,1.3598015043227933,1,51.60525229656297,1,Free,exp2,1
3,-1,-1.0,0.0,0,55.451661748945554,1,Free,exp2,3
5,-1,1.0,10.09337601347305,1,60.80836620823915,1,Free,exp2,5
9,-1,1.0,0.9878796455681451,1,8.059359451618882,1,Free,exp2,9
38,-1,1.0,38.49321224231662,1,94.20626201977397,1,Free,exp2,38
-38,0,-1.0,-35.14111869570724,1,96.17779066631333,1,Free,exp2,38
-9,0,-1.0,-13.96011510021671,1,67.44718214313767,1,Free,exp2,9
-5,0,-1.0,-11.74041212933731,1,67.33897667174146,1,Free,exp2,5
-3,0,-1.0,-13.560367451743033,1,77.16760896984738,1,Free,exp2,3
-1,0,-1.0,-1.7368800176209112,1,29.54025139679843,1,Free,exp2,1
1,0,1.0,0.7201818083951601,1,31.491669822515476,1,Free,exp2,1
3,0,-1.0,-5.172775285183773,0,53.366313128838094,1,Free,exp2,3
5,0,1.0,8.66352655895292,1,57.379260672026646,1,Free,exp2,5
9,0,1.0,4.153700782794785,1,26.683096172770426,1,Free,exp2,9
38,0,1.0,30.1599247988104,1,89.59849668412683,1,Free,exp2,38
-38,1,-1.0,-29.422709160580983,1,38.07080201781082,1,Free,exp2,38
-9,1,-1.0,-9.596002288459738,1,58.765964272683334,1,Free,exp2,9
-5,1,1.0,6.861885798870349,0,74.73056074990266,1,Free,exp2,5
-3,1,-1.0,-4.435274859836939,1,32.96004719757716,1,Free,exp2,3
-1,1,-1.0,-2.046142348209782,1,61.83523199935156,1,Free,exp2,1
1,1,1.0,5.870900144739869,1,45.44023948659083,1,Free,exp2,1
3,1,-1.0,-6.978383489712862,0,74.32088632082986,1,Free,exp2,3
5,1,1.0,11.473854428397306,1,47.53661161485658,1,Free,exp2,5
9,1,1.0,8.424276878758395,1,46.44265694556541,1,Free,exp2,9
