stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-31.427691500115166,1,40.03993218851703,1,Free,exp1a,38
-9,-1,-1.0,-9.119941178558538,1,45.97355054568965,1,Free,exp1a,9
-5,-1,-1.0,-4.272532333336265,1,46.65368432143893,1,Free,exp1a,5
-3,-1,-1.0,0.3506786684519172,1,46.724547809189964,1,Free,exp1a,3
-1,-1,-1.0,3.925239074464772,1,49.47186881725903,1,Free,exp1a,1
1,-1,-1.0,1.511640669689294,0,49.914343881855785,1,Free,exp1a,1
3,-1,1.0,13.471761977283572,1,44.067394577595934,1,Free,exp1a,3
5,-1,1.0,12.242822176126317,1,44.60416464242421,1,Free,exp1a,5
9,-1,-1.0,-2.393300401810034,0,46.02628117316158,1,Free,exp1a,9
38,-1,1.0,38.70135182573179,1,40.03993218851703,1,Free,exp1a,38
-38,0,-1.0,-33.934647500033016,1,42.54858955991506,1,Free,exp1a,38
-9,0,-1.0,-16.05332407208084,1,46.454502952481235,1,Free,exp1a,9
-5,0,-1.0,-14.584920947806909,1,46.77786700078846,1,Free,exp1a,5
-3,0,-1.0,-18.016928529368965,1,46.022558368955245,1,Free,exp1a,3
-1,0,-1.0,-2.0478493868607712,1,49.54696914393292,1,Free,exp1a,1
1,0,-1.0,0.6020962524506102,0,50.13320071377656,1,Free,exp1a,1
3,0,-1.0,-8.62175302185538,0,48.09354465459258,1,Free,exp1a,3
5,0,1.0,10.209564605837704,1,47.742885396660824,1,Free,exp1a,5
9,0,-1.0,2.108523040578914,0,50.46645248050863,1,Free,exp1a,9
38,0,1.0,26.851349207388637,1,44.08750017666733,1,Free,exp1a,38
-38,1,-1.0,-25.803022565288977,1,53.301073905722376,1,Free,exp1a,38
-9,1,-1.0,-9.84752010856052,1,50.0,1,Free,exp1a,9
-5,1,1.0,11.86769821970274,0,50.0,1,Free,exp1a,5
-3,1,-1.0,-5.040972540838424,1,50.98308509883758,1,Free,exp1a,3
-1,1,-1.0,-2.4876229398646106,1,50.127228894479224,1,Free,exp1a,1
1,1,1.0,7.926459678747117,1,50.0,1,Free,exp1a,1
3,1,-1.0,-11.189342595168961,0,50.0,1,Free,exp1a,3
5,1,1.0,14.205873725988102,1,50.0,1,Free,exp1a,5
9,1,1.0,8.181317032395171,1,50.0,1,Free,exp1a,9
38,1,1.0,35.84649892976651,1,50.29489194083813,1,Free,exp1a,38
-38,-1,-1.0,-48.414777213592274,1,40.03993218851703,1,Free,exp1a,38
-9,-1,1.0,7.762401343990246,0,45.83174163306637,1,Free,exp1a,9
-5,-1,-1.0,-10.998425105649007,1,45.14897076596508,1,Free,exp1a,5
-3,-1,-1.0,-8.444203697322958,1,46.27073639438469,1,Free,exp1a,3
-1,-1,1.0,8.196769840805537,0,46.379623963539906,1,Free,exp1a,1
1,-1,-1.0,-7.579389033656794,0,46.651461456560085,1,Free,exp1a,1
3,-1,-1.0,3.049978674942692,0,49.55101771759432,1,Free,exp1a,3
5,-1,-1.0,-1.9302701842125085,0,47.79353624236003,1,Free,exp1a,5
9,-1,-1.0,1.873285267044939,0,49.84255658507441,1,Free,exp1a,9
38,-1,1.0,40.967832027328136,1,40.03993218851703,1,Free,exp1a,38
-38,0,-1.0,-34.81411107102029,1,42.35845923206909,1,Free,exp1a,38
-9,0,-1.0,-11.501826370446109,1,47.457659195813584,1,Free,exp1a,9
-5,0,-1.0,-13.674810203533859,1,46.978424518311094,1,Free,exp1a,5
-3,0,-1.0,1.7752034848091924,1,50.39271805322326,1,Free,exp1a,3
-1,0,-1.0,-19.41111823832621,1,45.71622944487018,1,Free,exp1a,1
1,0,1.0,7.281776177207977,1,48.389618604868765,1,Free,exp1a,1
3,0,-1.0,1.4255145024628737,0,50.31536067489344,1,Free,exp1a,3
5,0,1.0,7.389891273061833,1,48.365725613414746,1,Free,exp1a,5
9,0,1.0,9.319259250013182,1,47.93947914822136,1,Free,exp1a,9
38,0,1.0,32.18673005091903,1,42.92711981354172,1,Free,exp1a,38
-38,1,-1.0,-35.2868997845299,1,50.730944074595094,1,Free,exp1a,38
-9,1,-1.0,-8.44984836100748,1,50.0,1,Free,exp1a,9
-5,1,-1.0,-5.4463524983631135,1,50.0,1,Free,exp1a,5
-3,1,-1.0,-4.212906834760776,1,51.379332537877154,1,Free,exp1a,3
-1,1,-1.0,2.4358603241939862,1,52.32382281573097,1,Free,exp1a,1
1,1,1.0,9.279853373553177,1,50.0,1,Free,exp1a,1
3,1,-1.0,-5.864206549773424,0,50.0,1,Free,exp1a,3
5,1,-1.0,1.857123239500371,0,51.5143725070321,1,Free,exp1a,5
9,1,1.0,6.544888702616467,1,51.83265125806569,1,Free,exp1a,9
38,1,1.0,39.76342461451229,1,51.41979416365251,1,Free,exp1a,38
-38,-1,-1.0,-36.21667094523496,1,40.03993218851703,1,Free,exp1a,38
-9,-1,-1.0,-7.090747808728234,1,46.866755791693365,1,Free,exp1a,9
-5,-1,-1.0,-14.449495159564325,1,43.64132749623088,1,Free,exp1a,5
-3,-1,-1.0,-12.209633345674636,1,44.61867873434766,1,Free,exp1a,3
-1,-1,-1.0,3.248676582460635,1,49.60469578701216,1,Free,exp1a,1
1,-1,1.0,7.315773923827771,1,46.50415252211027,1,Free,exp1a,1
3,-1,-1.0,-3.880422371132105,0,47.12131624448718,1,Free,exp1a,3
