stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-25.88256648702503,1,40.03993218851703,1,Free,exp1a,38
-9,-1,-1.0,-6.664747116351206,1,47.739378498099434,1,Free,exp1a,9
-5,-1,-1.0,-12.660921920809084,1,45.218898801379446,1,Free,exp1a,5
-3,-1,-1.0,-8.491694438024412,1,47.05237443100442,1,Free,exp1a,3
-1,-1,1.0,5.7284331803719555,0,48.19147914627845,1,Free,exp1a,1
1,-1,1.0,10.226189806162731,1,46.28835227289019,1,Free,exp1a,1
3,-1,1.0,8.266202252152915,1,47.151809982534154,1,Free,exp1a,3
5,-1,-1.0,-2.778752424288601,0,48.118335712109314,1,Free,exp1a,5
9,-1,-1.0,4.932605229020423,0,50.508491311867886,1,Free,exp1a,9
38,-1,1.0,24.980205295839934,1,40.03993218851703,1,Free,exp1a,38
-38,0,-1.0,-32.55152352583087,1,43.639479597609096,1,Free,exp1a,38
-9,0,-1.0,-4.670391419578029,1,49.772943728942955,1,Free,exp1a,9
-5,0,-1.0,-4.147430973611472,1,49.888636262014366,1,Free,exp1a,5
-3,0,-1.0,-11.335706155931835,1,48.29903924934185,1,Free,exp1a,3
-1,0,-1.0,1.6017007680048978,1,51.16030122099387,1,Free,exp1a,1
1,0,-1.0,0.5224792847381414,0,50.921650294732835,1,Free,exp1a,1
3,0,-1.0,-2.5646502932988415,0,50.23879092627717,1,Free,exp1a,3
5,0,-1.0,4.591210750821971,0,51.821069395184146,1,Free,exp1a,5
9,0,1.0,10.898968715958844,1,48.395552554001995,1,Free,exp1a,9
38,0,1.0,31.037901602795927,1,43.96919350636691,1,Free,exp1a,38
-38,1,-1.0,-43.09008044376171,1,50.80609738740025,1,Free,exp1a,38
-9,1,-1.0,-4.252014523228769,1,50.80609738740025,1,Free,exp1a,9
-5,1,-1.0,-4.726273901371733,1,50.80609738740025,1,Free,exp1a,5
-3,1,-1.0,-4.581093012538517,1,53.01332358416717,1,Free,exp1a,3
-1,1,-1.0,-2.5562634695848114,1,51.81164411454331,1,Free,exp1a,1
1,1,-1.0,4.6649388236987255,0,54.86037567455709,1,Free,exp1a,1
3,1,1.0,8.222861568136032,1,50.80609738740025,1,Free,exp1a,3
