stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-44.15599124115461,1,41.28798938528032,1,Free,exp1a,38
-9,-1,-1.0,-5.40685033404667,1,60.56361126286849,1,Free,exp1a,9
-5,-1,1.0,5.874340338097303,0,43.05205587590123,1,Free,exp1a,5
-3,-1,-1.0,-19.60138519403639,1,46.685471709188356,1,Free,exp1a,3
-1,-1,-1.0,-4.101739316173062,1,30.609319051530825,1,Free,exp1a,1
1,-1,-1.0,-8.611297441489596,0,75.23529579399525,1,Free,exp1a,1
3,-1,-1.0,-6.011288892908031,0,29.985235412938366,1,Free,exp1a,3
5,-1,1.0,11.198270824244572,1,34.93176707656418,1,Free,exp1a,5
9,-1,-1.0,3.891723077566674,0,54.21736152727924,1,Free,exp1a,9
38,-1,1.0,52.00324088873205,1,62.54126472648952,1,Free,exp1a,38
-38,0,-1.0,-46.17394346203458,1,80.61711343688685,1,Free,exp1a,38
-9,0,-1.0,-2.7736889045604363,1,75.55075345417626,1,Free,exp1a,9
-5,0,-1.0,-6.48362020774927,1,82.25474731106706,1,Free,exp1a,5
-3,0,-1.0,-2.757428694512151,1,11.495503120512387,1,Free,exp1a,3
-1,0,-1.0,0.8880300949706549,1,46.038890142850505,1,Free,exp1a,1
1,0,-1.0,-4.436453440660568,0,22.00138032882833,1,Free,exp1a,1
3,0,-1.0,0.24759333357230096,0,40.226201609450456,1,Free,exp1a,3
5,0,-1.0,1.9717010365142875,0,48.184713602126635,1,Free,exp1a,5
9,0,1.0,16.925478226668503,1,55.227309214685526,1,Free,exp1a,9
38,0,1.0,36.207042060475366,1,54.53963504123928,1,Free,exp1a,38
-38,1,-1.0,-29.9886980292959,1,67.72097492355044,1,Free,exp1a,38
-9,1,-1.0,-15.248923251529737,1,82.58113625746535,1,Free,exp1a,9
-5,1,-1.0,-14.581624360964781,1,91.12487191162137,1,Free,exp1a,5
-3,1,-1.0,0.009756444821377386,1,13.736084303160176,1,Free,exp1a,3
-1,1,-1.0,-4.945770217968674,1,50.39077195705529,1,Free,exp1a,1
1,1,-1.0,-14.804393440835936,0,82.29070489382066,1,Free,exp1a,1
3,1,1.0,11.139507865854265,1,65.1224042427547,1,Free,exp1a,3
5,1,-1.0,-4.72018102896379,0,29.71941663463496,1,Free,exp1a,5
9,1,-1.0,5.108591061650143,0,41.97307463307787,1,Free,exp1a,9
38,1,1.0,47.391932651127256,1,94.6414202051005,1,Free,exp1a,38
-38,-1,-1.0,-35.875173195617954,1,50.46364092556024,1,Free,exp1a,38
-9,-1,-1.0,-1.404870021834577,1,48.311592219582636,1,Free,exp1a,9
-5,-1,-1.0,-10.643909833350975,1,52.879864108254594,1,Free,exp1a,5
-3,-1,-1.0,-12.583326644172676,1,40.93706248219732,1,Free,exp1a,3
-1,-1,-1.0,0.29427481705956726,1,65.74125453763241,1,Free,exp1a,1
1,-1,-1.0,3.246731270584303,0,29.309958025129678,1,Free,exp1a,1
3,-1,-1.0,4.712629275819889,0,22.03844247034995,1,Free,exp1a,3
5,-1,-1.0,1.9083929229116725,0,89.07419589575606,1,Free,exp1a,5
9,-1,-1.0,-13.194331749864746,0,52.2179265636168,1,Free,exp1a,9
38,-1,1.0,33.7665707731369,1,10.156701709268825,1,Free,exp1a,38
-38,0,-1.0,-39.59914349691112,1,92.9645031621298,1,Free,exp1a,38
-9,0,-1.0,-0.506325179689588,1,78.10207685921854,1,Free,exp1a,9
-5,0,-1.0,2.6203197967557834,1,59.164501334321585,1,Free,exp1a,5
-3,0,-1.0,-9.721210767345555,1,72.27413359239317,1,Free,exp1a,3
-1,0,-1.0,-0.349609113442904,1,89.81563790002724,1,Free,exp1a,1
1,0,-1.0,3.7738337308635788,0,25.136256082511455,1,Free,exp1a,1
3,0,1.0,12.463561597403606,1,63.41551652692878,1,Free,exp1a,3
5,0,1.0,16.227701858797822,1,92.53247870305077,1,Free,exp1a,5
9,0,-1.0,1.6014426690578958,0,89.41251252230164,1,Free,exp1a,9
38,0,1.0,39.501766258896005,1,72.17272177744685,1,Free,exp1a,38
-38,1,-1.0,-45.52259500873722,1,98.88203678066608,1,Free,exp1a,38
-9,1,-1.0,-8.351808932995393,1,77.85620977246042,1,Free,exp1a,9
-5,1,-1.0,-6.656252750324734,1,87.85754046789901,1,Free,exp1a,5
-3,1,-1.0,-10.67697896649602,1,79.41998704177779,1,Free,exp1a,3
-1,1,-1.0,-5.374151295319566,1,64.50799608155104,1,Free,exp1a,1
1,1,1.0,8.793885482687598,1,93.65286523412607,1,Free,exp1a,1
3,1,-1.0,-1.2698232749766096,0,38.67175002071212,1,Free,exp1a,3
