stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-48.22138720511511,1,70.19490110460272,1,Free,exp1a,38
-9,-1,-1.0,-11.53746696352611,1,57.819466012937426,1,Free,exp1a,9
-5,-1,-1.0,-12.069114905548888,1,42.83027485121739,1,Free,exp1a,5
-3,-1,1.0,9.438767871582318,0,51.665193263379805,1,Free,exp1a,3
-1,-1,-1.0,1.2751622326694743,1,46.33736822342412,1,Free,exp1a,1
1,-1,-1.0,-5.641748388328924,0,76.38927977305681,1,Free,exp1a,1
3,-1,-1.0,4.344632764357975,0,47.9491920074879,1,Free,exp1a,3
5,-1,1.0,9.209327036961692,1,31.679597460422286,1,Free,exp1a,5
9,-1,1.0,14.292916168040612,1,20.599290967191333,1,Free,exp1a,9
38,-1,1.0,47.90011182608151,1,37.348740832774645,1,Free,exp1a,38
-38,0,-1.0,-41.159207914765496,1,66.96453896532614,1,Free,exp1a,38
-9,0,-1.0,-6.151706707475593,1,66.5841947837924,1,Free,exp1a,9
-5,0,-1.0,-2.585307754804227,1,37.46132560938603,1,Free,exp1a,5
-3,0,-1.0,-12.955834574085728,1,84.34801647197133,1,Free,exp1a,3
-1,0,1.0,6.6386439818452665,0,27.16884083096684,1,Free,exp1a,1
1,0,-1.0,-4.776267281678674,0,69.97295629265109,1,Free,exp1a,1
3,0,1.0,5.72706814286778,1,16.05065307401152,1,Free,exp1a,3
5,0,1.0,5.756732600013141,1,28.78271852758269,1,Free,exp1a,5
9,0,1.0,24.167875559944115,1,45.84940256335153,1,Free,exp1a,9
38,0,1.0,42.89572712009534,1,60.99230870000088,1,Free,exp1a,38
-38,1,-1.0,-33.763642456458946,1,77.1216013368704,1,Free,exp1a,38
-9,1,-1.0,-2.863957663885043,1,77.02354227563542,1,Free,exp1a,9
-5,1,-1.0,-17.44082041696464,1,84.39376587400125,1,Free,exp1a,5
-3,1,-1.0,-2.8294557531309055,1,35.010176240883276,1,Free,exp1a,3
-1,1,-1.0,-2.3315996312330873,1,48.79109257683258,1,Free,exp1a,1
1,1,-1.0,-9.838869134632738,0,73.32806595755397,1,Free,exp1a,1
3,1,-1.0,-14.724647353591212,0,65.64210525487401,1,Free,exp1a,3
5,1,-1.0,-1.560636431726269,0,86.28373437038267,1,Free,exp1a,5
9,1,1.0,20.85414131025718,1,82.2972362656629,1,Free,exp1a,9
38,1,1.0,45.49169069980469,1,83.55422192540173,1,Free,exp1a,38
-38,-1,-1.0,-27.17747215463656,1,39.883157902128296,1,Free,exp1a,38
-9,-1,-1.0,-4.709890598978547,1,24.9457827458851,1,Free,exp1a,9
-5,-1,-1.0,-6.110123446433704,1,35.37702181848364,1,Free,exp1a,5
-3,-1,-1.0,-11.65617107439542,1,54.7305605718029,1,Free,exp1a,3
-1,-1,-1.0,0.7445219837794337,1,38.98814170120656,1,Free,exp1a,1
1,-1,-1.0,-8.882598251950029,0,38.953195780358584,1,Free,exp1a,1
3,-1,-1.0,5.137013435846278,0,58.08497024725011,1,Free,exp1a,3
5,-1,-1.0,1.0203338795222172,0,55.70634465618319,1,Free,exp1a,5
9,-1,1.0,18.85499346949588,1,20.999484787315346,1,Free,exp1a,9
38,-1,1.0,35.47211800034488,1,30.791065115399046,1,Free,exp1a,38
-38,0,-1.0,-42.078845623612565,1,60.852119653433114,1,Free,exp1a,38
-9,0,-1.0,-0.07548729914693286,1,31.312186573027965,1,Free,exp1a,9
-5,0,-1.0,-10.326839464350812,1,43.19628534883622,1,Free,exp1a,5
-3,0,-1.0,-2.1432472369725817,1,42.2882570113148,1,Free,exp1a,3
-1,0,-1.0,-19.299753430004966,1,73.57671513388983,1,Free,exp1a,1
1,0,-1.0,2.723326558626532,0,23.218203569915435,1,Free,exp1a,1
3,0,-1.0,0.6703576154978927,0,31.710583398412943,1,Free,exp1a,3
5,0,-1.0,-0.10460496623392723,0,17.32805171156334,1,Free,exp1a,5
9,0,-1.0,-0.598216058909852,0,29.28027889533838,1,Free,exp1a,9
38,0,1.0,40.87810157348044,1,76.48596324167035,1,Free,exp1a,38
-38,1,-1.0,-40.206965391534496,1,78.66183961954746,1,Free,exp1a,38
-9,1,-1.0,-9.85456005118719,1,38.2783325227969,1,Free,exp1a,9
-5,1,-1.0,-14.636159453265492,1,57.50283562621084,1,Free,exp1a,5
-3,1,-1.0,-0.21669848581605367,1,58.982001161355576,1,Free,exp1a,3
-1,1,-1.0,-10.284501221054395,1,41.57184486314083,1,Free,exp1a,1
1,1,1.0,10.841407036382638,1,83.68045751763998,1,Free,exp1a,1
3,1,1.0,-0.0,1,30.43446691585039,1,Free,exp1a,3
5,1,-1.0,0.20653864859903148,0,45.05488366186947,1,Free,exp1a,5
9,1,1.0,24.656842011175733,1,92.55906816614264,1,Free,exp1a,9
38,1,1.0,36.49366622697672,1,92.94536148264618,1,Free,exp1a,38
-38,-1,-1.0,-39.94961717129836,1,59.49015748734705,1,Free,exp1a,38
-9,-1,-1.0,-9.24494826886946,1,61.53130066502517,1,Free,exp1a,9
-5,-1,-1.0,-7.3069321047576965,1,23.924289851313528,1,Free,exp1a,5
-3,-1,-1.0,-9.317697835584568,1,87.27009329316628,1,Free,exp1a,3
-1,-1,-1.0,-2.680123056793786,1,23.822281104819268,1,Free,exp1a,1
1,-1,-1.0,4.817368061918433,0,49.233224691665825,1,Free,exp1a,1
3,-1,1.0,6.177474165346845,1,73.607943399394,1,Free,exp1a,3
5,-1,-1.0,3.8377924389732607,0,51.92828388283336,1,Free,exp1a,5
9,-1,1.0,9.148616721384638,1,52.12771882780959,1,Free,exp1a,9
38,-1,1.0,27.501400000711502,1,80.40667927036321,1,Free,exp1a,38
-38,0,-1.0,-47.21768003324168,1,90.21770407614851,1,Free,exp1a,38
-9,0,-1.0,-11.261817816605959,1,47.75097987990327,1,Free,exp1a,9
