stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
-38,-1,-1.0,-31.427691500115166,1,54.280429194750525,1,Free,exp1a,38
-9,-1,-1.0,-9.119941178558538,1,51.81575970955108,1,Free,exp1a,9
-5,-1,-1.0,-4.272532333336265,1,49.68976041012691,1,Free,exp1a,5
-3,-1,-1.0,0.3506786684519172,1,49.84021034865965,1,Free,exp1a,3
-1,-1,-1.0,3.925239074464772,1,49.26586570195437,1,Free,exp1a,1
1,-1,-1.0,1.511640669689294,0,49.02226190556062,1,Free,exp1a,1
3,-1,1.0,13.471761977283572,1,51.08530671342167,1,Free,exp1a,3
5,-1,1.0,12.242822176126317,1,52.25617459023616,1,Free,exp1a,5
9,-1,-1.0,-2.393300401810034,0,50.58383313552292,1,Free,exp1a,9
38,-1,1.0,38.70135182573179,1,55.54143620663656,1,Free,exp1a,38
-38,0,-1.0,-33.934647500033016,1,57.31682428705807,1,Free,exp1a,38
-9,0,-1.0,-16.05332407208084,1,53.29749805575609,1,Free,exp1a,9
-5,0,-1.0,-14.584920947806909,1,53.491375580610864,1,Free,exp1a,5
-3,0,-1.0,-18.016928529368965,1,53.66265447878753,1,Free,exp1a,3
-1,0,-1.0,-2.0478493868607712,1,50.67019228351878,1,Free,exp1a,1
1,0,-1.0,0.6020962524506102,0,49.511212005310384,1,Free,exp1a,1
3,0,-1.0,-8.62175302185538,0,51.35645280320528,1,Free,exp1a,3
5,0,1.0,10.209564605837704,1,51.832728490074686,1,Free,exp1a,5
9,0,-1.0,2.108523040578914,0,50.539156075401756,1,Free,exp1a,9
38,0,1.0,26.851349207388637,1,55.75611131800109,1,Free,exp1a,38
-38,1,-1.0,-25.803022565288977,1,57.50178396722659,1,Free,exp1a,38
-9,1,-1.0,-9.84752010856052,1,52.79877905610045,1,Free,exp1a,9
-5,1,1.0,11.86769821970274,0,53.113961425274226,1,Free,exp1a,5
-3,1,-1.0,-5.040972540838424,1,51.69486795302408,1,Free,exp1a,3
-1,1,-1.0,-2.4876229398646106,1,49.90098946740624,1,Free,exp1a,1
1,1,1.0,7.926459678747117,1,52.4708151949586,1,Free,exp1a,1
3,1,-1.0,-11.189342595168961,0,52.463721021723664,1,Free,exp1a,3
5,1,1.0,14.205873725988102,1,53.95084938783242,1,Free,exp1a,5
9,1,1.0,8.181317032395171,1,52.5547859487547,1,Free,exp1a,9
38,1,1.0,35.84649892976651,1,58.00974712266462,1,Free,exp1a,38
-38,-1,-1.0,-48.414777213592274,1,57.363570631146345,1,Free,exp1a,38
-9,-1,1.0,7.762401343990246,0,50.87430064021243,1,Free,exp1a,9
-5,-1,-1.0,-10.998425105649007,1,51.401566168307156,1,Free,exp1a,5
-3,-1,-1.0,-8.444203697322958,1,51.338943469649514,1,Free,exp1a,3
-1,-1,1.0,8.196769840805537,0,51.31684953912311,1,Free,exp1a,1
1,-1,-1.0,-7.579389033656794,0,51.106415495376545,1,Free,exp1a,1
3,-1,-1.0,3.049978674942692,0,48.75498412313252,1,Free,exp1a,3
5,-1,-1.0,-1.9302701842125085,0,50.10691576685355,1,Free,exp1a,5
9,-1,-1.0,1.873285267044939,0,50.78130386825603,1,Free,exp1a,9
38,-1,1.0,40.967832027328136,1,54.48501551383074,1,Free,exp1a,38
-38,0,-1.0,-34.81411107102029,1,57.29698249214973,1,Free,exp1a,38
-9,0,-1.0,-11.501826370446109,1,52.784333436640296,1,Free,exp1a,9
-5,0,-1.0,-13.674810203533859,1,51.95196116465737,1,Free,exp1a,5
-3,0,-1.0,1.7752034848091924,1,49.62917924634305,1,Free,exp1a,3
-1,0,-1.0,-19.41111823832621,1,53.227691698660294,1,Free,exp1a,1
1,0,1.0,7.281776177207977,1,52.47996043826058,1,Free,exp1a,1
3,0,-1.0,1.4255145024628737,0,50.360702054622365,1,Free,exp1a,3
5,0,1.0,7.389891273061833,1,52.17313935153409,1,Free,exp1a,5
9,0,1.0,9.319259250013182,1,51.936789760482185,1,Free,exp1a,9
38,0,1.0,32.18673005091903,1,56.79109510035513,1,Free,exp1a,38
-38,1,-1.0,-35.2868997845299,1,58.00974712266462,1,Free,exp1a,38
-9,1,-1.0,-8.44984836100748,1,52.70527892502579,1,Free,exp1a,9
-5,1,-1.0,-5.4463524983631135,1,51.236865722463335,1,Free,exp1a,5
-3,1,-1.0,-4.212906834760776,1,51.1712292989242,1,Free,exp1a,3
-1,1,-1.0,2.4358603241939862,1,51.14500127138023,1,Free,exp1a,1
1,1,1.0,9.279853373553177,1,52.221744752272926,1,Free,exp1a,1
3,1,-1.0,-5.864206549773424,0,50.9655171664376,1,Free,exp1a,3
5,1,-1.0,1.857123239500371,0,49.644617502739706,1,Free,exp1a,5
9,1,1.0,6.544888702616467,1,51.781806451307425,1,Free,exp1a,9
38,1,1.0,39.76342461451229,1,58.00974712266462,1,Free,exp1a,38
-38,-1,-1.0,-36.21667094523496,1,55.12914775733654,1,Free,exp1a,38
-9,-1,-1.0,-7.090747808728234,1,52.155821823316394,1,Free,exp1a,9
