stim,incentive,a,Xdiff,correct,conf,participant,choiceType,experiment,coh
1.0,-1.0,1.0,4.904736094146733,1,57.87770029534814,1,Replayed,exp3,1.0
1.0,-1.0,1.0,2.0574232519644755,1,65.47143009575008,1,Replayed,exp3,1.0
1.0,-1.0,1.0,0.0,1,7.097430958975876,1,Replayed,exp3,1.0
1.0,-1.0,1.0,-0.3338418233059451,1,93.42373537040717,1,Replayed,exp3,1.0
1.0,-1.0,1.0,0.0,1,17.288028016912673,1,Replayed,exp3,1.0
1.0,-1.0,1.0,-1.7076677546298453,1,36.59262118272728,1,Replayed,exp3,1.0
1.0,-1.0,-1.0,-0.5053664166896015,0,84.28883814975173,1,Replayed,exp3,1.0
1.0,-1.0,1.0,-4.72663066675983,1,7.528623245712398,1,Replayed,exp3,1.0
1.0,0.0,-1.0,0.689251644354598,0,3.834984706334838,1,Replayed,exp3,1.0
1.0,0.0,1.0,3.2233552447247984,1,60.551754445410424,1,Replayed,exp3,1.0
1.0,0.0,1.0,3.24930561699179,1,46.82037488587379,1,Replayed,exp3,1.0
1.0,0.0,-1.0,-2.8124552651889876,0,10.876165391447199,1,Replayed,exp3,1.0
1.0,0.0,-1.0,4.541678590182688,0,27.921011203795576,1,Replayed,exp3,1.0
1.0,0.0,-1.0,-2.4095714821346434,0,75.07080092404837,1,Replayed,exp3,1.0
1.0,0.0,1.0,2.813363348245034,1,92.28766227333834,1,Replayed,exp3,1.0
1.0,0.0,1.0,-0.9393730518491048,1,14.880038044210878,1,Replayed,exp3,1.0
1.0,1.0,-1.0,1.1299467769377474,0,8.113005519265506,1,Replayed,exp3,1.0
1.0,1.0,1.0,0.35016547992278735,1,39.80556102170473,1,Replayed,exp3,1.0
1.0,1.0,-1.0,-3.2250399521721143,0,69.91339192006755,1,Replayed,exp3,1.0
1.0,1.0,-1.0,5.830951010411231,0,38.02114330309461,1,Replayed,exp3,1.0
1.0,1.0,1.0,-4.310425472709605,1,64.4713435290523,1,Replayed,exp3,1.0
1.0,1.0,1.0,-0.146704786305887,1,82.66516208843517,1,Replayed,exp3,1.0
1.0,1.0,1.0,2.9629755772226734,1,77.89128379054071,1,Replayed,exp3,1.0
1.0,1.0,1.0,-3.177063971708481,1,53.097887794697066,1,Replayed,exp3,1.0
-1.0,-1.0,-1.0,0.17905333720671268,1,29.059766831552892,1,Replayed,exp3,1.0
-1.0,-1.0,1.0,-3.8658994056436065,0,28.812724962917656,1,Replayed,exp3,1.0
-1.0,-1.0,-1.0,0.30574983706834136,1,16.08337225254368,1,Replayed,exp3,1.0
