stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1.0,1,99.9864296875,1,Free,38.0
-38.0,1.0,-1.0,1,99.9894765625,1,Free,38.0
-9.0,-1.0,-1.0,1,77.986651648773,1,Free,9.0
9.0,0.0,1.0,1,95.87136580157687,1,Free,9.0
-38.0,-1.0,-1.0,1,98.784265625,1,Free,38.0
5.0,0.0,-1.0,0,92.21922348484848,1,Free,5.0
-3.0,1.0,-1.0,1,94.17288074712644,1,Free,3.0
5.0,1.0,-1.0,0,93.2304476806904,1,Free,5.0
-9.0,1.0,-1.0,1,97.81889095335725,1,Free,9.0
-38.0,0.0,-1.0,1,99.988640625,1,Free,38.0
3.0,0.0,-1.0,0,91.10467265759931,1,Free,3.0
-5.0,-1.0,-1.0,1,72.58554879715692,1,Free,5.0
3.0,1.0,-1.0,0,92.38012737478411,1,Free,3.0
9.0,1.0,1.0,1,96.273427124834,1,Free,9.0
38.0,0.0,1.0,1,99.984484375,1,Free,38.0
-5.0,0.0,1.0,0,90.28513758957007,1,Free,5.0
38.0,-1.0,1.0,1,96.6793515625,1,Free,38.0
-5.0,1.0,-1.0,1,95.67716319824754,1,Free,5.0
-1.0,0.0,1.0,0,86.8761574074074,1,Free,1.0
-1.0,-1.0,1.0,0,60.02480381165919,1,Free,1.0
1.0,0.0,-1.0,0,90.25010168112799,1,Free,1.0
3.0,-1.0,-1.0,0,62.99561355710549,1,Free,3.0
-3.0,0.0,-1.0,1,93.41321547001154,1,Free,3.0
1.0,1.0,-1.0,0,91.51801136363636,1,Free,1.0
-9.0,0.0,-1.0,1,97.55341551104263,1,Free,9.0
-1.0,1.0,-1.0,1,92.24119745922208,1,Free,1.0
-3.0,-1.0,-1.0,1,69.05170253537736,1,Free,3.0
5.0,-1.0,1.0,1,62.231948228882835,1,Free,5.0
9.0,-1.0,1.0,1,66.77995747164776,1,Free,9.0
1.0,-1.0,-1.0,0,64.74003390762464,1,Free,1.0
-1.0,0.0,1.0,0,86.8761574074074,1,Free,1.0
1.0,1.0,-1.0,0,91.51801136363636,1,Free,1.0
3.0,-1.0,1.0,1,61.97802791617819,1,Free,3.0
9.0,-1.0,-1.0,0,59.95593578468064,1,Free,9.0
-9.0,0.0,-1.0,1,97.55341551104263,1,Free,9.0
38.0,1.0,1.0,1,99.9864296875,1,Free,38.0
5.0,-1.0,-1.0,0,62.65115753615128,1,Free,5.0
38.0,-1.0,1.0,1,96.6793515625,1,Free,38.0
-1.0,-1.0,-1.0,1,67.53643319658944,1,Free,1.0
-38.0,1.0,-1.0,1,99.9894765625,1,Free,38.0
-38.0,0.0,-1.0,1,99.988640625,1,Free,38.0
-5.0,0.0,-1.0,1,95.30011360553445,1,Free,5.0
9.0,1.0,1.0,1,96.273427124834,1,Free,9.0
-9.0,-1.0,-1.0,1,77.986651648773,1,Free,9.0
38.0,0.0,1.0,1,99.984484375,1,Free,38.0
-3.0,1.0,-1.0,1,94.17288074712644,1,Free,3.0
-9.0,1.0,-1.0,1,97.81889095335725,1,Free,9.0
3.0,0.0,1.0,1,90.81129379453682,1,Free,3.0
5.0,1.0,-1.0,0,93.2304476806904,1,Free,5.0
1.0,0.0,-1.0,0,90.25010168112799,1,Free,1.0
-38.0,-1.0,-1.0,1,98.784265625,1,Free,38.0
-5.0,1.0,-1.0,1,95.67716319824754,1,Free,5.0
9.0,0.0,1.0,1,95.87136580157687,1,Free,9.0
-1.0,1.0,-1.0,1,92.24119745922208,1,Free,1.0
1.0,-1.0,1.0,1,60.44224154874214,1,Free,1.0
-3.0,-1.0,-1.0,1,69.05170253537736,1,Free,3.0
3.0,1.0,-1.0,0,92.38012737478411,1,Free,3.0
38.0,0.0,1.0,1,99.984484375,1,Free,38.0
-38.0,1.0,-1.0,1,99.9894765625,1,Free,38.0
-9.0,0.0,-1.0,1,97.55341551104263,1,Free,9.0
1.0,1.0,1.0,1,89.86649375,1,Free,1.0
3.0,0.0,-1.0,0,91.10467265759931,1,Free,3.0
1.0,-1.0,1.0,1,60.44224154874214,1,Free,1.0
-9.0,-1.0,-1.0,1,77.986651648773,1,Free,9.0
5.0,0.0,-1.0,0,92.21922348484848,1,Free,5.0
-1.0,-1.0,1.0,0,60.02480381165919,1,Free,1.0
-3.0,0.0,1.0,0,90.03575834116542,1,Free,3.0
5.0,1.0,-1.0,0,93.2304476806904,1,Free,5.0
3.0,1.0,-1.0,0,92.38012737478411,1,Free,3.0
-3.0,-1.0,-1.0,1,69.05170253537736,1,Free,3.0
3.0,-1.0,-1.0,0,62.99561355710549,1,Free,3.0
1.0,0.0,-1.0,0,90.25010168112799,1,Free,1.0
38.0,1.0,1.0,1,99.9864296875,1,Free,38.0
-38.0,0.0,-1.0,1,99.988640625,1,Free,38.0
-5.0,1.0,-1.0,1,95.67716319824754,1,Free,5.0
-3.0,1.0,-1.0,1,94.17288074712644,1,Free,3.0
5.0,-1.0,-1.0,0,62.65115753615128,1,Free,5.0
9.0,1.0,-1.0,0,95.54555446609312,1,Free,9.0
9.0,-1.0,-1.0,0,59.95593578468064,1,Free,9.0
-1.0,1.0,-1.0,1,92.24119745922208,1,Free,1.0
-1.0,0.0,-1.0,1,91.49532645089286,1,Free,1.0
-9.0,1.0,-1.0,1,97.81889095335725,1,Free,9.0
38.0,-1.0,1.0,1,96.6793515625,1,Free,38.0
-38.0,-1.0,-1.0,1,98.784265625,1,Free,38.0
-5.0,-1.0,-1.0,1,72.58554879715692,1,Free,5.0
9.0,0.0,1.0,1,95.87136580157687,1,Free,9.0
-5.0,0.0,-1.0,1,95.30011360553445,1,Free,5.0
-3.0,1.0,1.0,0,89.88263221153846,1,Free,3.0
-1.0,-1.0,-1.0,1,67.53643319658944,1,Free,1.0
9.0,0.0,1.0,1,95.87136580157687,1,Free,9.0
1.0,1.0,-1.0,0,91.51801136363636,1,Free,1.0
-38.0,0.0,-1.0,1,99.988640625,1,Free,38.0
5.0,1.0,1.0,1,93.81090546365331,1,Free,5.0
-5.0,0.0,-1.0,1,95.30011360553445,1,Free,5.0
9.0,1.0,1.0,1,96.273427124834,1,Free,9.0
-9.0,1.0,-1.0,1,97.81889095335725,1,Free,9.0
1.0,0.0,-1.0,0,90.25010168112799,1,Free,1.0
-1.0,1.0,-1.0,1,92.24119745922208,1,Free,1.0
9.0,-1.0,1.0,1,66.77995747164776,1,Free,9.0
-9.0,0.0,-1.0,1,97.55341551104263,1,Free,9.0
