stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1.0,1,99.9868046875,1,Free,38.0
-38.0,1.0,-1.0,1,99.9891875,1,Free,38.0
-9.0,-1.0,-1.0,1,77.83448540706605,1,Free,9.0
9.0,0.0,1.0,1,95.5182085803689,1,Free,9.0
-38.0,-1.0,-1.0,1,98.7060078125,1,Free,38.0
5.0,0.0,-1.0,0,92.48944424715908,1,Free,5.0
-3.0,1.0,-1.0,1,94.36687863372093,1,Free,3.0
5.0,1.0,-1.0,0,92.82178624062165,1,Free,5.0
-9.0,1.0,-1.0,1,98.20936862895005,1,Free,9.0
-38.0,0.0,-1.0,1,99.988484375,1,Free,38.0
3.0,0.0,-1.0,0,91.29945658065915,1,Free,3.0
-5.0,-1.0,-1.0,1,72.0786558219178,1,Free,5.0
3.0,1.0,-1.0,0,92.18480053191489,1,Free,3.0
9.0,1.0,1.0,1,96.21455792682927,1,Free,9.0
38.0,0.0,1.0,1,99.983796875,1,Free,38.0
-5.0,0.0,1.0,0,89.83611904046474,1,Free,5.0
38.0,-1.0,1.0,1,96.5503046875,1,Free,38.0
-5.0,1.0,-1.0,1,96.09166155210038,1,Free,5.0
-1.0,0.0,1.0,0,88.51042837078651,1,Free,1.0
-1.0,-1.0,1.0,0,60.818431049311926,1,Free,1.0
1.0,0.0,-1.0,0,90.34856546336206,1,Free,1.0
3.0,-1.0,-1.0,0,63.60010995873154,1,Free,3.0
-3.0,0.0,-1.0,1,93.48917016502605,1,Free,3.0
1.0,1.0,-1.0,0,91.63632557929037,1,Free,1.0
-9.0,0.0,-1.0,1,97.5931325987842,1,Free,9.0
-1.0,1.0,-1.0,1,91.7098671574904,1,Free,1.0
-3.0,-1.0,-1.0,1,69.58436323827446,1,Free,3.0
5.0,-1.0,1.0,1,63.325520833333336,1,Free,5.0
9.0,-1.0,1.0,1,66.46471891644474,1,Free,9.0
1.0,-1.0,-1.0,0,65.53960495705083,1,Free,1.0
-1.0,0.0,1.0,0,88.51042837078651,1,Free,1.0
1.0,1.0,-1.0,0,91.63632557929037,1,Free,1.0
3.0,-1.0,1.0,1,63.505051899293285,1,Free,3.0
9.0,-1.0,-1.0,0,59.89009946034137,1,Free,9.0
-9.0,0.0,-1.0,1,97.5931325987842,1,Free,9.0
38.0,1.0,1.0,1,99.9868046875,1,Free,38.0
5.0,-1.0,-1.0,0,62.062282089359506,1,Free,5.0
38.0,-1.0,1.0,1,96.5503046875,1,Free,38.0
-1.0,-1.0,-1.0,1,66.77560541879795,1,Free,1.0
-38.0,1.0,-1.0,1,99.9891875,1,Free,38.0
-38.0,0.0,-1.0,1,99.988484375,1,Free,38.0
-5.0,0.0,-1.0,1,95.12977901301518,1,Free,5.0
9.0,1.0,1.0,1,96.21455792682927,1,Free,9.0
-9.0,-1.0,-1.0,1,77.83448540706605,1,Free,9.0
38.0,0.0,1.0,1,99.983796875,1,Free,38.0
-3.0,1.0,-1.0,1,94.36687863372093,1,Free,3.0
-9.0,1.0,-1.0,1,98.20936862895005,1,Free,9.0
3.0,0.0,1.0,1,90.87119059917356,1,Free,3.0
5.0,1.0,-1.0,0,92.82178624062165,1,Free,5.0
1.0,0.0,-1.0,0,90.34856546336206,1,Free,1.0
-38.0,-1.0,-1.0,1,98.7060078125,1,Free,38.0
-5.0,1.0,-1.0,1,96.09166155210038,1,Free,5.0
9.0,0.0,1.0,1,95.5182085803689,1,Free,9.0
-1.0,1.0,-1.0,1,91.7098671574904,1,Free,1.0
1.0,-1.0,1.0,1,60.2073745854063,1,Free,1.0
-3.0,-1.0,-1.0,1,69.58436323827446,1,Free,3.0
3.0,1.0,-1.0,0,92.18480053191489,1,Free,3.0
38.0,0.0,1.0,1,99.983796875,1,Free,38.0
-38.0,1.0,-1.0,1,99.9891875,1,Free,38.0
-9.0,0.0,-1.0,1,97.5931325987842,1,Free,9.0
1.0,1.0,1.0,1,89.3312802907916,1,Free,1.0
3.0,0.0,-1.0,0,91.29945658065915,1,Free,3.0
1.0,-1.0,1.0,1,60.2073745854063,1,Free,1.0
-9.0,-1.0,-1.0,1,77.83448540706605,1,Free,9.0
5.0,0.0,-1.0,0,92.48944424715908,1,Free,5.0
-1.0,-1.0,1.0,0,60.818431049311926,1,Free,1.0
-3.0,0.0,1.0,0,88.97033825549451,1,Free,3.0
5.0,1.0,-1.0,0,92.82178624062165,1,Free,5.0
3.0,1.0,-1.0,0,92.18480053191489,1,Free,3.0
-3.0,-1.0,-1.0,1,69.58436323827446,1,Free,3.0
