stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,1.0,-1,0,44.839638,1,Forced,5.0
1.0,0.0,1,1,55.4172,1,Forced,1.0
-1.0,0.0,-1,1,48.109066,1,Forced,1.0
-5.0,1.0,1,0,52.971657,1,Forced,5.0
9.0,1.0,-1,0,40.235622,1,Forced,9.0
3.0,-1.0,1,1,56.126778,1,Forced,3.0
3.0,0.0,1,1,58.910717,1,Forced,3.0
-5.0,0.0,-1,1,53.749954,1,Forced,5.0
1.0,-1.0,1,1,53.889572,1,Forced,1.0
-5.0,-1.0,1,0,48.82244,1,Forced,5.0
-1.0,1.0,-1,1,50.992607,1,Forced,1.0
9.0,-1.0,1,1,63.155823,1,Forced,9.0
38.0,1.0,1,1,93.000534,1,Forced,38.0
-3.0,1.0,-1,1,53.138466,1,Forced,3.0
-1.0,-1.0,-1,1,45.911346,1,Forced,1.0
-38.0,-1.0,-1,1,83.26482,1,Forced,38.0
9.0,0.0,-1,0,38.180683,1,Forced,9.0
38.0,0.0,1,1,90.219345,1,Forced,38.0
3.0,1.0,1,1,61.521317,1,Forced,3.0
-3.0,-1.0,-1,1,48.524353,1,Forced,3.0
-3.0,0.0,-1,1,51.668114,1,Forced,3.0
1.0,1.0,-1,0,48.790993,1,Forced,1.0
-9.0,0.0,-1,1,58.324474,1,Forced,9.0
-9.0,1.0,-1,1,62.933395,1,Forced,9.0
5.0,0.0,1,1,61.379326,1,Forced,5.0
-38.0,0.0,-1,1,86.955986,1,Forced,38.0
-38.0,1.0,1,0,23.457262,1,Forced,38.0
-9.0,-1.0,-1,1,55.821217,1,Forced,9.0
38.0,-1.0,1,1,87.315895,1,Forced,38.0
5.0,-1.0,-1,0,39.178963,1,Forced,5.0
5.0,1.0,-1,0,43.91412,1,Forced,5.0
1.0,-1.0,-1,0,44.413788,1,Forced,1.0
-38.0,1.0,-1,1,89.64336,1,Forced,38.0
-5.0,1.0,-1,1,56.000866,1,Forced,5.0
-9.0,0.0,-1,1,59.27211,1,Forced,9.0
3.0,-1.0,-1,0,41.468174,1,Forced,3.0
-38.0,0.0,-1,1,86.634544,1,Forced,38.0
5.0,0.0,-1,0,41.300507,1,Forced,5.0
-3.0,-1.0,1,0,49.74196,1,Forced,3.0
3.0,1.0,1,1,61.18601,1,Forced,3.0
3.0,0.0,1,1,58.423267,1,Forced,3.0
9.0,1.0,1,1,69.39995,1,Forced,9.0
-1.0,0.0,-1,1,48.16198,1,Forced,1.0
-1.0,-1.0,1,0,52.20958,1,Forced,1.0
-9.0,-1.0,-1,1,55.219807,1,Forced,9.0
38.0,-1.0,1,1,86.7854,1,Forced,38.0
9.0,0.0,1,1,65.80145,1,Forced,9.0
-5.0,-1.0,1,0,47.743473,1,Forced,5.0
5.0,-1.0,1,1,58.868305,1,Forced,5.0
-9.0,1.0,-1,1,62.163097,1,Forced,9.0
-38.0,-1.0,-1,1,82.31309,1,Forced,38.0
1.0,0.0,1,1,57.09502,1,Forced,1.0
-1.0,1.0,-1,1,50.54667,1,Forced,1.0
-3.0,1.0,1,0,55.045204,1,Forced,3.0
9.0,-1.0,1,1,62.54235,1,Forced,9.0
-5.0,0.0,-1,1,53.501503,1,Forced,5.0
38.0,0.0,1,1,90.17946,1,Forced,38.0
-3.0,0.0,-1,1,50.477783,1,Forced,3.0
38.0,1.0,1,1,93.06407,1,Forced,38.0
1.0,1.0,-1,0,48.81269,1,Forced,1.0
-3.0,1.0,-1,1,52.4452,1,Forced,3.0
9.0,-1.0,1,1,62.329453,1,Forced,9.0
5.0,0.0,-1,0,42.59418,1,Forced,5.0
-5.0,-1.0,-1,1,51.249226,1,Forced,5.0
3.0,1.0,1,1,61.507977,1,Forced,3.0
9.0,0.0,1,1,65.94341,1,Forced,9.0
-9.0,-1.0,-1,1,55.71132,1,Forced,9.0
-1.0,0.0,-1,1,49.35485,1,Forced,1.0
3.0,0.0,1,1,58.202892,1,Forced,3.0
-9.0,0.0,-1,1,58.836536,1,Forced,9.0
1.0,0.0,-1,0,47.507927,1,Forced,1.0
-1.0,1.0,1,0,56.447666,1,Forced,1.0
-3.0,0.0,-1,1,51.112556,1,Forced,3.0
5.0,-1.0,1,1,59.065662,1,Forced,5.0
5.0,1.0,-1,0,43.954285,1,Forced,5.0
-9.0,1.0,-1,1,61.204845,1,Forced,9.0
1.0,1.0,1,1,57.86453,1,Forced,1.0
-38.0,1.0,-1,1,89.51439,1,Forced,38.0
38.0,0.0,1,1,90.1384,1,Forced,38.0
-5.0,0.0,1,0,50.51703,1,Forced,5.0
-3.0,-1.0,-1,1,47.95658,1,Forced,3.0
3.0,-1.0,1,1,56.231945,1,Forced,3.0
-5.0,1.0,-1,1,56.18434,1,Forced,5.0
-38.0,-1.0,-1,1,82.78806,1,Forced,38.0
38.0,-1.0,1,1,87.45083,1,Forced,38.0
1.0,-1.0,-1,0,44.424213,1,Forced,1.0
-38.0,0.0,-1,1,86.30542,1,Forced,38.0
-1.0,-1.0,-1,1,47.05266,1,Forced,1.0
38.0,1.0,1,1,92.62138,1,Forced,38.0
9.0,1.0,1,1,69.42419,1,Forced,9.0
-3.0,1.0,-1,1,52.67899,1,Forced,3.0
-38.0,0.0,-1,1,86.419525,1,Forced,38.0
-38.0,-1.0,-1,1,82.959656,1,Forced,38.0
5.0,0.0,-1,0,42.691116,1,Forced,5.0
1.0,1.0,-1,0,48.502052,1,Forced,1.0
1.0,0.0,1,1,55.757545,1,Forced,1.0
-1.0,0.0,-1,1,48.049706,1,Forced,1.0
-1.0,-1.0,1,0,51.698387,1,Forced,1.0
38.0,-1.0,1,1,88.002945,1,Forced,38.0
-5.0,1.0,-1,1,56.551575,1,Forced,5.0
38.0,0.0,1,1,90.27527,1,Forced,38.0
-9.0,-1.0,-1,1,55.888355,1,Forced,9.0
-3.0,-1.0,1,0,48.82617,1,Forced,3.0
5.0,-1.0,-1,0,38.069984,1,Forced,5.0
-5.0,0.0,-1,1,53.479332,1,Forced,5.0
9.0,-1.0,1,1,62.076725,1,Forced,9.0
-5.0,-1.0,-1,1,51.310444,1,Forced,5.0
-9.0,1.0,1,0,48.05047,1,Forced,9.0
3.0,1.0,1,1,60.754307,1,Forced,3.0
38.0,1.0,1,1,92.51464,1,Forced,38.0
3.0,0.0,1,1,58.596493,1,Forced,3.0
-38.0,1.0,-1,1,89.766464,1,Forced,38.0
9.0,0.0,1,1,65.5991,1,Forced,9.0
-3.0,0.0,1,0,52.342064,1,Forced,3.0
9.0,1.0,1,1,69.73132,1,Forced,9.0
-9.0,0.0,-1,1,58.069275,1,Forced,9.0
