stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,1.0,-1,0,40.310345,1,Forced,5.0
1.0,0.0,1,1,55.96817,1,Forced,1.0
-1.0,0.0,-1,1,47.533516,1,Forced,1.0
-5.0,1.0,1,0,50.06931,1,Forced,5.0
9.0,1.0,-1,0,36.391563,1,Forced,9.0
3.0,-1.0,1,1,58.951317,1,Forced,3.0
3.0,0.0,1,1,59.68268,1,Forced,3.0
-5.0,0.0,-1,1,52.519787,1,Forced,5.0
1.0,-1.0,1,1,54.70209,1,Forced,1.0
-5.0,-1.0,1,0,47.384342,1,Forced,5.0
-1.0,1.0,-1,1,49.591206,1,Forced,1.0
9.0,-1.0,1,1,64.724365,1,Forced,9.0
38.0,1.0,1,1,92.56828,1,Forced,38.0
-3.0,1.0,-1,1,52.11613,1,Forced,3.0
-1.0,-1.0,-1,1,47.384758,1,Forced,1.0
-38.0,-1.0,-1,1,84.88624,1,Forced,38.0
9.0,0.0,-1,0,36.299904,1,Forced,9.0
38.0,0.0,1,1,90.50117,1,Forced,38.0
3.0,1.0,1,1,59.5177,1,Forced,3.0
-3.0,-1.0,-1,1,50.043644,1,Forced,3.0
-3.0,0.0,-1,1,50.19691,1,Forced,3.0
1.0,1.0,-1,0,44.898502,1,Forced,1.0
-9.0,0.0,-1,1,59.15201,1,Forced,9.0
-9.0,1.0,-1,1,60.091232,1,Forced,9.0
5.0,0.0,1,1,61.7925,1,Forced,5.0
-38.0,0.0,-1,1,87.67414,1,Forced,38.0
-38.0,1.0,1,0,16.506285,1,Forced,38.0
-9.0,-1.0,-1,1,56.21959,1,Forced,9.0
38.0,-1.0,1,1,88.37897,1,Forced,38.0
5.0,-1.0,-1,0,40.35891,1,Forced,5.0
5.0,1.0,-1,0,39.947113,1,Forced,5.0
1.0,-1.0,-1,0,44.700085,1,Forced,1.0
-38.0,1.0,-1,1,89.768684,1,Forced,38.0
-5.0,1.0,-1,1,54.108006,1,Forced,5.0
-9.0,0.0,-1,1,58.12358,1,Forced,9.0
3.0,-1.0,-1,0,43.269646,1,Forced,3.0
-38.0,0.0,-1,1,86.545555,1,Forced,38.0
5.0,0.0,-1,0,40.863697,1,Forced,5.0
-3.0,-1.0,1,0,51.143818,1,Forced,3.0
3.0,1.0,1,1,60.291298,1,Forced,3.0
3.0,0.0,1,1,58.598755,1,Forced,3.0
9.0,1.0,1,1,69.771645,1,Forced,9.0
-1.0,0.0,-1,1,47.273457,1,Forced,1.0
-1.0,-1.0,1,0,53.87137,1,Forced,1.0
-9.0,-1.0,-1,1,56.326366,1,Forced,9.0
38.0,-1.0,1,1,88.86918,1,Forced,38.0
9.0,0.0,1,1,66.55046,1,Forced,9.0
-5.0,-1.0,1,0,49.09583,1,Forced,5.0
5.0,-1.0,1,1,59.986855,1,Forced,5.0
