stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,1.0,-1,0,41.652714,1,Forced,5.0
1.0,0.0,1,1,52.4903,1,Forced,1.0
-1.0,0.0,-1,1,50.599766,1,Forced,1.0
-5.0,1.0,1,0,47.360428,1,Forced,5.0
9.0,1.0,-1,0,36.273632,1,Forced,9.0
3.0,-1.0,1,1,54.93312,1,Forced,3.0
3.0,0.0,1,1,55.829113,1,Forced,3.0
-5.0,0.0,-1,1,50.961887,1,Forced,5.0
1.0,-1.0,1,1,51.993244,1,Forced,1.0
-5.0,-1.0,1,0,48.94471,1,Forced,5.0
-1.0,1.0,-1,1,49.958324,1,Forced,1.0
9.0,-1.0,1,1,60.975433,1,Forced,9.0
38.0,1.0,1,1,91.9204,1,Forced,38.0
-3.0,1.0,-1,1,49.509804,1,Forced,3.0
-1.0,-1.0,-1,1,50.61225,1,Forced,1.0
-38.0,-1.0,-1,1,82.84581,1,Forced,38.0
9.0,0.0,-1,0,38.920128,1,Forced,9.0
38.0,0.0,1,1,88.96433,1,Forced,38.0
3.0,1.0,1,1,55.96271,1,Forced,3.0
-3.0,-1.0,-1,1,48.7641,1,Forced,3.0
-3.0,0.0,-1,1,49.024364,1,Forced,3.0
1.0,1.0,-1,0,46.833405,1,Forced,1.0
-9.0,0.0,-1,1,57.36617,1,Forced,9.0
-9.0,1.0,-1,1,58.78107,1,Forced,9.0
5.0,0.0,1,1,57.199215,1,Forced,5.0
-38.0,0.0,-1,1,86.0819,1,Forced,38.0
-38.0,1.0,1,0,10.502372,1,Forced,38.0
-9.0,-1.0,-1,1,55.12884,1,Forced,9.0
38.0,-1.0,1,1,85.66169,1,Forced,38.0
5.0,-1.0,-1,0,42.86666,1,Forced,5.0
5.0,1.0,-1,0,40.9718,1,Forced,5.0
1.0,-1.0,-1,0,48.08597,1,Forced,1.0
-38.0,1.0,-1,1,89.663956,1,Forced,38.0
-5.0,1.0,-1,1,52.830517,1,Forced,5.0
-9.0,0.0,-1,1,56.641068,1,Forced,9.0
3.0,-1.0,-1,0,46.90382,1,Forced,3.0
-38.0,0.0,-1,1,86.13914,1,Forced,38.0
5.0,0.0,-1,0,42.24876,1,Forced,5.0
-3.0,-1.0,1,0,51.398838,1,Forced,3.0
3.0,1.0,1,1,56.01549,1,Forced,3.0
3.0,0.0,1,1,55.08884,1,Forced,3.0
9.0,1.0,1,1,64.487785,1,Forced,9.0
-1.0,0.0,-1,1,50.46097,1,Forced,1.0
