stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,-1.0,1,1,57.271713,1,Observed,5.0
9.0,0.0,1,1,60.697437,1,Observed,9.0
-9.0,0.0,-1,1,60.48728,1,Observed,9.0
9.0,-1.0,1,1,62.349476,1,Observed,9.0
1.0,0.0,-1,0,48.519974,1,Observed,1.0
-38.0,0.0,-1,1,86.9165,1,Observed,38.0
-1.0,0.0,-1,1,51.15547,1,Observed,1.0
-38.0,-1.0,-1,1,88.021454,1,Observed,38.0
3.0,0.0,1,1,54.192722,1,Observed,3.0
-1.0,1.0,1,0,51.33047,1,Observed,1.0
-38.0,1.0,-1,1,86.83557,1,Observed,38.0
5.0,0.0,1,1,56.70968,1,Observed,5.0
9.0,1.0,-1,0,40.497475,1,Observed,9.0
-3.0,0.0,-1,1,53.343094,1,Observed,3.0
-5.0,0.0,1,0,45.068325,1,Observed,5.0
3.0,-1.0,-1,0,47.670097,1,Observed,3.0
1.0,-1.0,-1,0,49.67344,1,Observed,1.0
1.0,1.0,-1,0,48.646538,1,Observed,1.0
38.0,0.0,1,1,88.02459,1,Observed,38.0
-5.0,1.0,-1,1,55.819504,1,Observed,5.0
38.0,1.0,1,1,87.14504,1,Observed,38.0
-5.0,-1.0,-1,1,56.578518,1,Observed,5.0
3.0,1.0,1,1,54.232494,1,Observed,3.0
-1.0,-1.0,1,0,50.693573,1,Observed,1.0
-3.0,-1.0,-1,1,53.794117,1,Observed,3.0
-3.0,1.0,-1,1,53.55249,1,Observed,3.0
5.0,1.0,1,1,57.02285,1,Observed,5.0
38.0,-1.0,1,1,88.28977,1,Observed,38.0
-9.0,1.0,-1,1,60.841602,1,Observed,9.0
-9.0,-1.0,-1,1,61.189663,1,Observed,9.0
5.0,0.0,1,1,56.207146,1,Observed,5.0
-1.0,-1.0,-1,1,51.91496,1,Observed,1.0
-38.0,0.0,-1,1,87.10504,1,Observed,38.0
-3.0,-1.0,-1,1,53.559452,1,Observed,3.0
3.0,-1.0,1,1,55.423183,1,Observed,3.0
1.0,-1.0,1,1,51.735973,1,Observed,1.0
-38.0,1.0,-1,1,86.69772,1,Observed,38.0
38.0,1.0,1,1,86.63034,1,Observed,38.0
-9.0,-1.0,-1,1,61.41284,1,Observed,9.0
38.0,-1.0,1,1,88.17251,1,Observed,38.0
-1.0,0.0,1,0,49.220997,1,Observed,1.0
9.0,-1.0,1,1,62.208332,1,Observed,9.0
3.0,1.0,1,1,53.585487,1,Observed,3.0
-5.0,0.0,1,0,45.80266,1,Observed,5.0
-9.0,0.0,-1,1,60.352673,1,Observed,9.0
5.0,-1.0,1,1,56.860344,1,Observed,5.0
1.0,0.0,1,1,51.225643,1,Observed,1.0
3.0,0.0,1,1,54.954582,1,Observed,3.0
-38.0,-1.0,1,0,16.487082,1,Observed,38.0
-3.0,1.0,1,0,47.820988,1,Observed,3.0
-5.0,-1.0,-1,1,55.725296,1,Observed,5.0
9.0,0.0,1,1,61.96661,1,Observed,9.0
1.0,1.0,1,1,51.634262,1,Observed,1.0
-5.0,1.0,-1,1,56.52574,1,Observed,5.0
-9.0,1.0,-1,1,59.953136,1,Observed,9.0
5.0,1.0,-1,0,44.317917,1,Observed,5.0
9.0,1.0,1,1,60.983192,1,Observed,9.0
-3.0,0.0,1,0,46.887337,1,Observed,3.0
-1.0,1.0,-1,1,51.36849,1,Observed,1.0
38.0,0.0,1,1,87.80039,1,Observed,38.0
-38.0,1.0,-1,1,86.479935,1,Observed,38.0
-9.0,-1.0,-1,1,60.560955,1,Observed,9.0
9.0,0.0,1,1,62.061913,1,Observed,9.0
5.0,-1.0,1,1,57.412224,1,Observed,5.0
-1.0,0.0,-1,1,50.862633,1,Observed,1.0
38.0,1.0,1,1,86.942955,1,Observed,38.0
3.0,1.0,1,1,54.5722,1,Observed,3.0
9.0,1.0,-1,0,40.612514,1,Observed,9.0
-5.0,1.0,-1,1,54.604786,1,Observed,5.0
-9.0,1.0,-1,1,60.772408,1,Observed,9.0
-5.0,0.0,-1,1,57.44199,1,Observed,5.0
38.0,0.0,1,1,87.82825,1,Observed,38.0
-1.0,1.0,-1,1,51.037346,1,Observed,1.0
-3.0,1.0,1,0,47.51417,1,Observed,3.0
-1.0,-1.0,1,0,49.321922,1,Observed,1.0
1.0,0.0,1,1,51.913,1,Observed,1.0
5.0,1.0,1,1,55.684597,1,Observed,5.0
38.0,-1.0,1,1,87.84915,1,Observed,38.0
1.0,1.0,1,1,50.735767,1,Observed,1.0
-9.0,0.0,-1,1,61.6476,1,Observed,9.0
3.0,-1.0,-1,0,46.376423,1,Observed,3.0
-38.0,-1.0,-1,1,87.730545,1,Observed,38.0
1.0,-1.0,-1,0,48.98679,1,Observed,1.0
-38.0,0.0,-1,1,87.33529,1,Observed,38.0
5.0,0.0,1,1,56.916565,1,Observed,5.0
-3.0,0.0,-1,1,53.98001,1,Observed,3.0
-3.0,-1.0,-1,1,52.658314,1,Observed,3.0
9.0,-1.0,1,1,62.378235,1,Observed,9.0
3.0,0.0,1,1,54.25734,1,Observed,3.0
-5.0,-1.0,-1,1,56.594078,1,Observed,5.0
-38.0,-1.0,-1,1,87.25439,1,Observed,38.0
-1.0,1.0,-1,1,51.215286,1,Observed,1.0
3.0,0.0,1,1,54.58315,1,Observed,3.0
-1.0,0.0,1,0,50.386066,1,Observed,1.0
-9.0,1.0,-1,1,60.70195,1,Observed,9.0
5.0,-1.0,1,1,56.406326,1,Observed,5.0
5.0,0.0,-1,0,44.178207,1,Observed,5.0
38.0,0.0,1,1,87.340935,1,Observed,38.0
3.0,-1.0,-1,0,48.256996,1,Observed,3.0
1.0,-1.0,1,1,52.588993,1,Observed,1.0
-9.0,-1.0,1,0,41.429153,1,Observed,9.0
38.0,-1.0,1,1,88.24916,1,Observed,38.0
38.0,1.0,1,1,86.62069,1,Observed,38.0
1.0,1.0,1,1,50.95116,1,Observed,1.0
-3.0,0.0,1,0,47.61411,1,Observed,3.0
-1.0,-1.0,-1,1,50.250763,1,Observed,1.0
1.0,0.0,1,1,52.264404,1,Observed,1.0
9.0,-1.0,1,1,61.433727,1,Observed,9.0
-5.0,-1.0,1,0,45.06274,1,Observed,5.0
-38.0,1.0,-1,1,86.58324,1,Observed,38.0
-3.0,1.0,-1,1,53.015553,1,Observed,3.0
-38.0,0.0,-1,1,87.1808,1,Observed,38.0
9.0,0.0,1,1,61.17149,1,Observed,9.0
-3.0,-1.0,-1,1,54.179077,1,Observed,3.0
-5.0,0.0,-1,1,56.821632,1,Observed,5.0
9.0,1.0,1,1,60.49796,1,Observed,9.0
3.0,1.0,1,1,53.576225,1,Observed,3.0
-9.0,0.0,-1,1,60.76943,1,Observed,9.0
5.0,1.0,1,1,56.61195,1,Observed,5.0
-5.0,1.0,1,0,45.894043,1,Observed,5.0
3.0,1.0,-1,0,47.071056,1,Observed,3.0
38.0,0.0,1,1,87.77541,1,Observed,38.0
-5.0,-1.0,-1,1,56.50566,1,Observed,5.0
-38.0,1.0,-1,1,87.2261,1,Observed,38.0
-3.0,1.0,-1,1,53.432487,1,Observed,3.0
-1.0,0.0,1,0,49.986145,1,Observed,1.0
3.0,0.0,1,1,54.33905,1,Observed,3.0
5.0,0.0,1,1,56.858253,1,Observed,5.0
-1.0,1.0,1,0,50.100082,1,Observed,1.0
-38.0,0.0,-1,1,87.469185,1,Observed,38.0
9.0,1.0,-1,0,39.78332,1,Observed,9.0
9.0,-1.0,-1,0,40.76923,1,Observed,9.0
1.0,0.0,1,1,52.35599,1,Observed,1.0
38.0,-1.0,1,1,88.62819,1,Observed,38.0
1.0,1.0,1,1,51.856888,1,Observed,1.0
-1.0,-1.0,1,0,48.975075,1,Observed,1.0
3.0,-1.0,-1,0,46.704815,1,Observed,3.0
9.0,0.0,1,1,61.626236,1,Observed,9.0
5.0,-1.0,-1,0,43.4821,1,Observed,5.0
5.0,1.0,1,1,56.299637,1,Observed,5.0
-9.0,0.0,-1,1,60.580624,1,Observed,9.0
38.0,1.0,1,1,86.88914,1,Observed,38.0
-3.0,-1.0,-1,1,54.68496,1,Observed,3.0
-5.0,1.0,1,0,45.01785,1,Observed,5.0
-9.0,1.0,-1,1,60.167397,1,Observed,9.0
-5.0,0.0,-1,1,54.98541,1,Observed,5.0
-9.0,-1.0,1,0,41.12236,1,Observed,9.0
1.0,-1.0,1,1,51.96869,1,Observed,1.0
