stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,-1.0,1,1,62.85449,1,Observed,5.0
9.0,0.0,1,1,68.081726,1,Observed,9.0
-9.0,0.0,-1,1,63.82018,1,Observed,9.0
9.0,-1.0,1,1,68.3111,1,Observed,9.0
1.0,0.0,-1,0,51.879627,1,Observed,1.0
-38.0,0.0,-1,1,89.84729,1,Observed,38.0
-1.0,0.0,-1,1,53.255726,1,Observed,1.0
-38.0,-1.0,-1,1,88.6908,1,Observed,38.0
3.0,0.0,1,1,60.46614,1,Observed,3.0
-1.0,1.0,1,0,55.566067,1,Observed,1.0
-38.0,1.0,-1,1,90.24282,1,Observed,38.0
5.0,0.0,1,1,63.77074,1,Observed,5.0
9.0,1.0,-1,0,42.221386,1,Observed,9.0
-3.0,0.0,-1,1,56.78341,1,Observed,3.0
-5.0,0.0,1,0,52.762783,1,Observed,5.0
3.0,-1.0,-1,0,49.7419,1,Observed,3.0
1.0,-1.0,-1,0,51.686077,1,Observed,1.0
1.0,1.0,-1,0,50.791412,1,Observed,1.0
38.0,0.0,1,1,90.35175,1,Observed,38.0
-5.0,1.0,-1,1,59.148033,1,Observed,5.0
38.0,1.0,1,1,90.685,1,Observed,38.0
-5.0,-1.0,-1,1,57.85571,1,Observed,5.0
3.0,1.0,1,1,62.119316,1,Observed,3.0
-1.0,-1.0,1,0,57.007313,1,Observed,1.0
-3.0,-1.0,-1,1,55.817883,1,Observed,3.0
-3.0,1.0,-1,1,57.08882,1,Observed,3.0
5.0,1.0,1,1,64.547714,1,Observed,5.0
38.0,-1.0,1,1,90.212326,1,Observed,38.0
-9.0,1.0,-1,1,63.914467,1,Observed,9.0
-9.0,-1.0,-1,1,63.675873,1,Observed,9.0
5.0,0.0,1,1,62.533432,1,Observed,5.0
-1.0,-1.0,-1,1,53.267937,1,Observed,1.0
-38.0,0.0,-1,1,89.43888,1,Observed,38.0
-3.0,-1.0,-1,1,55.607594,1,Observed,3.0
3.0,-1.0,1,1,59.839928,1,Observed,3.0
1.0,-1.0,1,1,58.11191,1,Observed,1.0
-38.0,1.0,-1,1,88.93573,1,Observed,38.0
38.0,1.0,1,1,91.54531,1,Observed,38.0
-9.0,-1.0,-1,1,63.980545,1,Observed,9.0
38.0,-1.0,1,1,90.18145,1,Observed,38.0
-1.0,0.0,1,0,55.66877,1,Observed,1.0
9.0,-1.0,1,1,69.11721,1,Observed,9.0
3.0,1.0,1,1,61.416416,1,Observed,3.0
-5.0,0.0,1,0,52.82547,1,Observed,5.0
-9.0,0.0,-1,1,63.98697,1,Observed,9.0
5.0,-1.0,1,1,63.688576,1,Observed,5.0
1.0,0.0,1,1,58.330387,1,Observed,1.0
3.0,0.0,1,1,61.714268,1,Observed,3.0
-38.0,-1.0,1,0,23.73953,1,Observed,38.0
-3.0,1.0,1,0,55.067738,1,Observed,3.0
-5.0,-1.0,-1,1,58.48821,1,Observed,5.0
9.0,0.0,1,1,67.15752,1,Observed,9.0
1.0,1.0,1,1,58.38983,1,Observed,1.0
-5.0,1.0,-1,1,58.679527,1,Observed,5.0
-9.0,1.0,-1,1,64.24513,1,Observed,9.0
5.0,1.0,-1,0,47.74913,1,Observed,5.0
9.0,1.0,1,1,68.2677,1,Observed,9.0
-3.0,0.0,1,0,53.339924,1,Observed,3.0
-1.0,1.0,-1,1,53.93451,1,Observed,1.0
38.0,0.0,1,1,90.54035,1,Observed,38.0
-38.0,1.0,-1,1,89.50652,1,Observed,38.0
-9.0,-1.0,-1,1,64.35878,1,Observed,9.0
9.0,0.0,1,1,68.17225,1,Observed,9.0
5.0,-1.0,1,1,64.0659,1,Observed,5.0
-1.0,0.0,-1,1,53.3048,1,Observed,1.0
38.0,1.0,1,1,91.18002,1,Observed,38.0
3.0,1.0,1,1,61.25105,1,Observed,3.0
9.0,1.0,-1,0,42.50054,1,Observed,9.0
-5.0,1.0,-1,1,58.036846,1,Observed,5.0
-9.0,1.0,-1,1,63.440258,1,Observed,9.0
-5.0,0.0,-1,1,58.14337,1,Observed,5.0
38.0,0.0,1,1,91.060104,1,Observed,38.0
-1.0,1.0,-1,1,53.32822,1,Observed,1.0
-3.0,1.0,1,0,54.74617,1,Observed,3.0
-1.0,-1.0,1,0,56.05883,1,Observed,1.0
1.0,0.0,1,1,57.825405,1,Observed,1.0
5.0,1.0,1,1,64.17046,1,Observed,5.0
38.0,-1.0,1,1,90.13722,1,Observed,38.0
1.0,1.0,1,1,58.027657,1,Observed,1.0
-9.0,0.0,-1,1,63.662235,1,Observed,9.0
3.0,-1.0,-1,0,48.048244,1,Observed,3.0
-38.0,-1.0,-1,1,89.44624,1,Observed,38.0
1.0,-1.0,-1,0,50.971092,1,Observed,1.0
-38.0,0.0,-1,1,89.073524,1,Observed,38.0
5.0,0.0,1,1,63.256775,1,Observed,5.0
-3.0,0.0,-1,1,55.684853,1,Observed,3.0
-3.0,-1.0,-1,1,56.178062,1,Observed,3.0
9.0,-1.0,1,1,67.21859,1,Observed,9.0
3.0,0.0,1,1,61.528175,1,Observed,3.0
-5.0,-1.0,-1,1,59.01879,1,Observed,5.0
-38.0,-1.0,-1,1,88.62003,1,Observed,38.0
-1.0,1.0,-1,1,53.41546,1,Observed,1.0
3.0,0.0,1,1,61.655895,1,Observed,3.0
-1.0,0.0,1,0,56.225277,1,Observed,1.0
-9.0,1.0,-1,1,64.46273,1,Observed,9.0
5.0,-1.0,1,1,62.82379,1,Observed,5.0
5.0,0.0,-1,0,47.301826,1,Observed,5.0
38.0,0.0,1,1,90.42377,1,Observed,38.0
3.0,-1.0,-1,0,48.346733,1,Observed,3.0
1.0,-1.0,1,1,58.977295,1,Observed,1.0
-9.0,-1.0,1,0,47.324524,1,Observed,9.0
38.0,-1.0,1,1,90.79112,1,Observed,38.0
38.0,1.0,1,1,90.58578,1,Observed,38.0
1.0,1.0,1,1,57.660587,1,Observed,1.0
-3.0,0.0,1,0,53.35381,1,Observed,3.0
-1.0,-1.0,-1,1,53.670265,1,Observed,1.0
1.0,0.0,1,1,58.52018,1,Observed,1.0
9.0,-1.0,1,1,68.19613,1,Observed,9.0
-5.0,-1.0,1,0,51.981415,1,Observed,5.0
-38.0,1.0,-1,1,89.42181,1,Observed,38.0
-3.0,1.0,-1,1,55.043232,1,Observed,3.0
-38.0,0.0,-1,1,89.234856,1,Observed,38.0
9.0,0.0,1,1,67.65341,1,Observed,9.0
-3.0,-1.0,-1,1,55.40482,1,Observed,3.0
-5.0,0.0,-1,1,58.17339,1,Observed,5.0
9.0,1.0,1,1,68.0744,1,Observed,9.0
3.0,1.0,1,1,61.208607,1,Observed,3.0
-9.0,0.0,-1,1,63.57444,1,Observed,9.0
5.0,1.0,1,1,65.189255,1,Observed,5.0
-5.0,1.0,1,0,50.9633,1,Observed,5.0
3.0,1.0,-1,0,50.115204,1,Observed,3.0
38.0,0.0,1,1,90.993195,1,Observed,38.0
-5.0,-1.0,-1,1,58.758198,1,Observed,5.0
-38.0,1.0,-1,1,88.98756,1,Observed,38.0
-3.0,1.0,-1,1,55.472893,1,Observed,3.0
-1.0,0.0,1,0,56.987892,1,Observed,1.0
3.0,0.0,1,1,61.164536,1,Observed,3.0
5.0,0.0,1,1,64.113014,1,Observed,5.0
-1.0,1.0,1,0,55.207287,1,Observed,1.0
-38.0,0.0,-1,1,89.46254,1,Observed,38.0
9.0,1.0,-1,0,43.25422,1,Observed,9.0
9.0,-1.0,-1,0,43.864685,1,Observed,9.0
1.0,0.0,1,1,58.23288,1,Observed,1.0
38.0,-1.0,1,1,90.460915,1,Observed,38.0
1.0,1.0,1,1,59.201736,1,Observed,1.0
-1.0,-1.0,1,0,55.66223,1,Observed,1.0
3.0,-1.0,-1,0,48.927883,1,Observed,3.0
9.0,0.0,1,1,68.657364,1,Observed,9.0
5.0,-1.0,-1,0,46.005764,1,Observed,5.0
5.0,1.0,1,1,62.994045,1,Observed,5.0
-9.0,0.0,-1,1,63.92764,1,Observed,9.0
38.0,1.0,1,1,90.969505,1,Observed,38.0
-3.0,-1.0,-1,1,55.19985,1,Observed,3.0
-5.0,1.0,1,0,51.546825,1,Observed,5.0
-9.0,1.0,-1,1,64.208694,1,Observed,9.0
-5.0,0.0,-1,1,59.235146,1,Observed,5.0
-9.0,-1.0,1,0,46.750088,1,Observed,9.0
1.0,-1.0,1,1,59.160892,1,Observed,1.0
-38.0,-1.0,-1,1,88.725296,1,Observed,38.0
