stim,incentive,a,correct,conf,participant,choiceType,coh
5.0,-1.0,1,1,56.928825,1,Observed,5.0
9.0,0.0,1,1,61.316715,1,Observed,9.0
-9.0,0.0,-1,1,59.86839,1,Observed,9.0
9.0,-1.0,1,1,62.134464,1,Observed,9.0
1.0,0.0,-1,0,49.17263,1,Observed,1.0
-38.0,0.0,-1,1,87.95625,1,Observed,38.0
-1.0,0.0,-1,1,50.688213,1,Observed,1.0
-38.0,-1.0,-1,1,87.97205,1,Observed,38.0
3.0,0.0,1,1,53.88183,1,Observed,3.0
-1.0,1.0,1,0,50.040024,1,Observed,1.0
-38.0,1.0,-1,1,85.861626,1,Observed,38.0
5.0,0.0,1,1,56.620003,1,Observed,5.0
9.0,1.0,-1,0,38.721508,1,Observed,9.0
-3.0,0.0,-1,1,51.775352,1,Observed,3.0
-5.0,0.0,1,0,45.214283,1,Observed,5.0
3.0,-1.0,-1,0,46.44402,1,Observed,3.0
1.0,-1.0,-1,0,49.857132,1,Observed,1.0
1.0,1.0,-1,0,49.099865,1,Observed,1.0
38.0,0.0,1,1,88.18095,1,Observed,38.0
-5.0,1.0,-1,1,54.625427,1,Observed,5.0
38.0,1.0,1,1,86.73122,1,Observed,38.0
-5.0,-1.0,-1,1,54.674793,1,Observed,5.0
3.0,1.0,1,1,54.15281,1,Observed,3.0
-1.0,-1.0,1,0,50.143295,1,Observed,1.0
-3.0,-1.0,-1,1,52.238316,1,Observed,3.0
-3.0,1.0,-1,1,51.97162,1,Observed,3.0
5.0,1.0,1,1,56.05167,1,Observed,5.0
38.0,-1.0,1,1,89.09601,1,Observed,38.0
-9.0,1.0,-1,1,59.504627,1,Observed,9.0
-9.0,-1.0,-1,1,59.75294,1,Observed,9.0
5.0,0.0,1,1,56.013184,1,Observed,5.0
-1.0,-1.0,-1,1,49.87313,1,Observed,1.0
-38.0,0.0,-1,1,87.50179,1,Observed,38.0
-3.0,-1.0,-1,1,52.368046,1,Observed,3.0
3.0,-1.0,1,1,53.785973,1,Observed,3.0
1.0,-1.0,1,1,52.502556,1,Observed,1.0
-38.0,1.0,-1,1,86.31651,1,Observed,38.0
38.0,1.0,1,1,87.20736,1,Observed,38.0
-9.0,-1.0,-1,1,60.278427,1,Observed,9.0
38.0,-1.0,1,1,89.27172,1,Observed,38.0
-1.0,0.0,1,0,50.502842,1,Observed,1.0
9.0,-1.0,1,1,62.176704,1,Observed,9.0
3.0,1.0,1,1,53.767975,1,Observed,3.0
-5.0,0.0,1,0,45.18342,1,Observed,5.0
-9.0,0.0,-1,1,60.17185,1,Observed,9.0
5.0,-1.0,1,1,57.13877,1,Observed,5.0
1.0,0.0,1,1,51.1244,1,Observed,1.0
3.0,0.0,1,1,53.716763,1,Observed,3.0
-38.0,-1.0,1,0,11.962079,1,Observed,38.0
-3.0,1.0,1,0,47.651215,1,Observed,3.0
-5.0,-1.0,-1,1,55.33534,1,Observed,5.0
9.0,0.0,1,1,60.10508,1,Observed,9.0
1.0,1.0,1,1,52.21122,1,Observed,1.0
-5.0,1.0,-1,1,54.30466,1,Observed,5.0
-9.0,1.0,-1,1,59.581005,1,Observed,9.0
5.0,1.0,-1,0,44.233425,1,Observed,5.0
9.0,1.0,1,1,60.852875,1,Observed,9.0
-3.0,0.0,1,0,47.973602,1,Observed,3.0
-1.0,1.0,-1,1,48.795315,1,Observed,1.0
38.0,0.0,1,1,88.200714,1,Observed,38.0
-38.0,1.0,-1,1,86.77698,1,Observed,38.0
-9.0,-1.0,-1,1,59.666615,1,Observed,9.0
9.0,0.0,1,1,62.002224,1,Observed,9.0
5.0,-1.0,1,1,55.822243,1,Observed,5.0
-1.0,0.0,-1,1,50.574787,1,Observed,1.0
38.0,1.0,1,1,87.27519,1,Observed,38.0
3.0,1.0,1,1,53.738094,1,Observed,3.0
9.0,1.0,-1,0,39.531567,1,Observed,9.0
-5.0,1.0,-1,1,55.057896,1,Observed,5.0
-9.0,1.0,-1,1,59.82417,1,Observed,9.0
-5.0,0.0,-1,1,55.155037,1,Observed,5.0
38.0,0.0,1,1,88.56527,1,Observed,38.0
-1.0,1.0,-1,1,49.411694,1,Observed,1.0
-3.0,1.0,1,0,47.433956,1,Observed,3.0
-1.0,-1.0,1,0,49.753345,1,Observed,1.0
1.0,0.0,1,1,51.056988,1,Observed,1.0
5.0,1.0,1,1,55.641758,1,Observed,5.0
38.0,-1.0,1,1,89.35518,1,Observed,38.0
1.0,1.0,1,1,51.913464,1,Observed,1.0
-9.0,0.0,-1,1,60.215645,1,Observed,9.0
3.0,-1.0,-1,0,45.89857,1,Observed,3.0
-38.0,-1.0,-1,1,88.80603,1,Observed,38.0
1.0,-1.0,-1,0,48.806633,1,Observed,1.0
-38.0,0.0,-1,1,87.43722,1,Observed,38.0
5.0,0.0,1,1,55.48797,1,Observed,5.0
-3.0,0.0,-1,1,52.519215,1,Observed,3.0
-3.0,-1.0,-1,1,52.374863,1,Observed,3.0
9.0,-1.0,1,1,61.772507,1,Observed,9.0
3.0,0.0,1,1,53.820507,1,Observed,3.0
-5.0,-1.0,-1,1,55.324768,1,Observed,5.0
-38.0,-1.0,-1,1,88.864204,1,Observed,38.0
-1.0,1.0,-1,1,50.595856,1,Observed,1.0
3.0,0.0,1,1,53.475197,1,Observed,3.0
-1.0,0.0,1,0,50.317513,1,Observed,1.0
-9.0,1.0,-1,1,59.091614,1,Observed,9.0
5.0,-1.0,1,1,56.95395,1,Observed,5.0
5.0,0.0,-1,0,43.79644,1,Observed,5.0
38.0,0.0,1,1,88.156815,1,Observed,38.0
3.0,-1.0,-1,0,45.51374,1,Observed,3.0
1.0,-1.0,1,1,51.349632,1,Observed,1.0
-9.0,-1.0,1,0,38.507442,1,Observed,9.0
38.0,-1.0,1,1,89.63969,1,Observed,38.0
38.0,1.0,1,1,87.28215,1,Observed,38.0
1.0,1.0,1,1,50.475365,1,Observed,1.0
-3.0,0.0,1,0,47.68053,1,Observed,3.0
-1.0,-1.0,-1,1,49.923023,1,Observed,1.0
1.0,0.0,1,1,51.64767,1,Observed,1.0
9.0,-1.0,1,1,60.91455,1,Observed,9.0
-5.0,-1.0,1,0,44.920723,1,Observed,5.0
-38.0,1.0,-1,1,86.47528,1,Observed,38.0
-3.0,1.0,-1,1,52.298218,1,Observed,3.0
-38.0,0.0,-1,1,87.33453,1,Observed,38.0
9.0,0.0,1,1,61.764557,1,Observed,9.0
-3.0,-1.0,-1,1,52.779625,1,Observed,3.0
-5.0,0.0,-1,1,54.541523,1,Observed,5.0
9.0,1.0,1,1,61.97685,1,Observed,9.0
3.0,1.0,1,1,53.815125,1,Observed,3.0
-9.0,0.0,-1,1,59.863514,1,Observed,9.0
5.0,1.0,1,1,55.152164,1,Observed,5.0
-5.0,1.0,1,0,45.45887,1,Observed,5.0
3.0,1.0,-1,0,46.12177,1,Observed,3.0
38.0,0.0,1,1,87.8551,1,Observed,38.0
-5.0,-1.0,-1,1,54.69463,1,Observed,5.0
-38.0,1.0,-1,1,86.485985,1,Observed,38.0
-3.0,1.0,-1,1,52.544384,1,Observed,3.0
-1.0,0.0,1,0,50.505535,1,Observed,1.0
3.0,0.0,1,1,53.692795,1,Observed,3.0
5.0,0.0,1,1,57.87508,1,Observed,5.0
-1.0,1.0,1,0,50.404167,1,Observed,1.0
-38.0,0.0,-1,1,87.73683,1,Observed,38.0
9.0,1.0,-1,0,39.832375,1,Observed,9.0
9.0,-1.0,-1,0,37.343483,1,Observed,9.0
1.0,0.0,1,1,51.370167,1,Observed,1.0
38.0,-1.0,1,1,89.334175,1,Observed,38.0
1.0,1.0,1,1,50.986313,1,Observed,1.0
-1.0,-1.0,1,0,50.763947,1,Observed,1.0
3.0,-1.0,-1,0,46.156055,1,Observed,3.0
9.0,0.0,1,1,61.34495,1,Observed,9.0
5.0,-1.0,-1,0,44.010406,1,Observed,5.0
5.0,1.0,1,1,55.866844,1,Observed,5.0
-9.0,0.0,-1,1,59.14062,1,Observed,9.0
38.0,1.0,1,1,87.47881,1,Observed,38.0
-3.0,-1.0,-1,1,52.44453,1,Observed,3.0
-5.0,1.0,1,0,45.281265,1,Observed,5.0
-9.0,1.0,-1,1,59.638374,1,Observed,9.0
-5.0,0.0,-1,1,55.10878,1,Observed,5.0
-9.0,-1.0,1,0,40.283688,1,Observed,9.0
1.0,-1.0,1,1,52.998554,1,Observed,1.0
-38.0,-1.0,-1,1,89.058395,1,Observed,38.0
-3.0,0.0,-1,1,53.637802,1,Observed,3.0
9.0,-1.0,1,1,61.225952,1,Observed,9.0
1.0,1.0,-1,0,49.840244,1,Observed,1.0
3.0,0.0,1,1,53.194588,1,Observed,3.0
-3.0,0.0,-1,1,51.6775,1,Observed,3.0
-1.0,0.0,-1,1,49.79189,1,Observed,1.0
-9.0,1.0,-1,1,60.44142,1,Observed,9.0
38.0,-1.0,1,1,89.04894,1,Observed,38.0
3.0,-1.0,1,1,53.61178,1,Observed,3.0
38.0,0.0,1,1,88.20741,1,Observed,38.0
-1.0,-1.0,-1,1,49.527763,1,Observed,1.0
-38.0,1.0,-1,1,86.46857,1,Observed,38.0
-1.0,1.0,-1,1,49.05957,1,Observed,1.0
9.0,1.0,1,1,60.86052,1,Observed,9.0
-3.0,-1.0,-1,1,51.693874,1,Observed,3.0
3.0,1.0,1,1,53.793545,1,Observed,3.0
5.0,-1.0,1,1,56.78107,1,Observed,5.0
-38.0,-1.0,-1,1,88.39663,1,Observed,38.0
-38.0,0.0,-1,1,87.559875,1,Observed,38.0
1.0,0.0,-1,0,48.64087,1,Observed,1.0
-5.0,-1.0,1,0,44.389843,1,Observed,5.0
-5.0,1.0,-1,1,54.720963,1,Observed,5.0
5.0,1.0,-1,0,44.53646,1,Observed,5.0
-5.0,0.0,1,0,45.655266,1,Observed,5.0
-9.0,-1.0,-1,1,60.63789,1,Observed,9.0
1.0,-1.0,1,1,50.843872,1,Observed,1.0
5.0,0.0,1,1,56.735825,1,Observed,5.0
9.0,0.0,1,1,61.605263,1,Observed,9.0
-3.0,1.0,-1,1,51.69438,1,Observed,3.0
38.0,1.0,1,1,87.73867,1,Observed,38.0
-9.0,0.0,1,0,40.31354,1,Observed,9.0
-38.0,1.0,-1,1,86.58911,1,Observed,38.0
-3.0,-1.0,-1,1,52.41542,1,Observed,3.0
9.0,-1.0,1,1,61.79459,1,Observed,9.0
5.0,0.0,-1,0,42.882168,1,Observed,5.0
-9.0,0.0,-1,1,60.298992,1,Observed,9.0
3.0,-1.0,1,1,54.541756,1,Observed,3.0
1.0,1.0,1,1,52.11541,1,Observed,1.0
5.0,1.0,1,1,56.386448,1,Observed,5.0
38.0,-1.0,1,1,89.28591,1,Observed,38.0
5.0,-1.0,1,1,55.849243,1,Observed,5.0
-38.0,-1.0,-1,1,88.6149,1,Observed,38.0
-1.0,-1.0,-1,1,50.360195,1,Observed,1.0
-1.0,0.0,-1,1,49.896748,1,Observed,1.0
-1.0,1.0,-1,1,50.035645,1,Observed,1.0
1.0,0.0,-1,0,48.68682,1,Observed,1.0
3.0,0.0,1,1,53.848804,1,Observed,3.0
9.0,0.0,1,1,60.789818,1,Observed,9.0
-5.0,0.0,-1,1,55.294617,1,Observed,5.0
-9.0,-1.0,-1,1,58.934963,1,Observed,9.0
9.0,1.0,1,1,60.812145,1,Observed,9.0
1.0,-1.0,1,1,50.54883,1,Observed,1.0
-9.0,1.0,1,0,40.97759,1,Observed,9.0
3.0,1.0,1,1,53.32202,1,Observed,3.0
-5.0,-1.0,-1,1,55.274612,1,Observed,5.0
-38.0,0.0,-1,1,87.72758,1,Observed,38.0
38.0,0.0,1,1,87.70598,1,Observed,38.0
-3.0,1.0,-1,1,51.20451,1,Observed,3.0
-3.0,0.0,-1,1,52.573307,1,Observed,3.0
-5.0,1.0,-1,1,54.64306,1,Observed,5.0
-1.0,-1.0,-1,1,48.84006,1,Observed,1.0
9.0,1.0,-1,0,38.568836,1,Observed,9.0
5.0,1.0,-1,0,44.49842,1,Observed,5.0
-9.0,0.0,-1,1,59.668846,1,Observed,9.0
-3.0,1.0,-1,1,51.717632,1,Observed,3.0
-3.0,0.0,-1,1,52.536022,1,Observed,3.0
-1.0,0.0,1,0,50.79726,1,Observed,1.0
-38.0,0.0,-1,1,88.01903,1,Observed,38.0
38.0,1.0,1,1,86.92024,1,Observed,38.0
1.0,-1.0,-1,0,48.276657,1,Observed,1.0
-3.0,-1.0,1,0,48.717724,1,Observed,3.0
-38.0,-1.0,1,0,11.212488,1,Observed,38.0
3.0,0.0,1,1,54.111595,1,Observed,3.0
5.0,0.0,-1,0,43.206535,1,Observed,5.0
-9.0,-1.0,-1,1,60.382263,1,Observed,9.0
-5.0,1.0,-1,1,53.120102,1,Observed,5.0
38.0,-1.0,1,1,88.97583,1,Observed,38.0
3.0,1.0,-1,0,45.428364,1,Observed,3.0
3.0,-1.0,1,1,55.547314,1,Observed,3.0
9.0,0.0,1,1,60.912037,1,Observed,9.0
1.0,1.0,1,1,50.235073,1,Observed,1.0
38.0,0.0,1,1,88.22854,1,Observed,38.0
-5.0,-1.0,-1,1,55.895466,1,Observed,5.0
-5.0,0.0,-1,1,54.710693,1,Observed,5.0
-38.0,1.0,-1,1,86.17547,1,Observed,38.0
1.0,0.0,1,1,50.992317,1,Observed,1.0
-1.0,1.0,-1,1,48.85955,1,Observed,1.0
-9.0,1.0,-1,1,58.636265,1,Observed,9.0
9.0,-1.0,1,1,61.507027,1,Observed,9.0
38.0,1.0,1,1,53.08675,2,Observed,38.0
5.0,0.0,1,1,46.86051,2,Observed,5.0
-3.0,-1.0,-1,1,49.876423,2,Observed,3.0
-38.0,-1.0,-1,1,57.876007,2,Observed,38.0
-5.0,0.0,1,0,50.17947,2,Observed,5.0
38.0,-1.0,1,1,54.778435,2,Observed,38.0
3.0,0.0,1,1,47.912228,2,Observed,3.0
