stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1,1,99.988594,1,Replayed,38.0
-5.0,1.0,-1,1,77.870766,1,Replayed,5.0
-9.0,0.0,-1,1,88.29768,1,Replayed,9.0
-38.0,0.0,-1,1,99.98558,1,Replayed,38.0
1.0,0.0,1,1,62.95632,1,Replayed,1.0
-1.0,-1.0,1,0,54.93068,1,Replayed,1.0
3.0,0.0,1,1,72.61573,1,Replayed,3.0
5.0,-1.0,1,1,77.78444,1,Replayed,5.0
3.0,-1.0,1,1,71.28419,1,Replayed,3.0
3.0,1.0,1,1,74.091354,1,Replayed,3.0
-1.0,1.0,1,0,57.524986,1,Replayed,1.0
3.0,-1.0,1,1,72.26826,1,Replayed,3.0
-5.0,1.0,-1,1,77.3262,1,Replayed,5.0
-1.0,-1.0,1,0,54.348366,1,Replayed,1.0
-3.0,-1.0,1,0,47.894234,1,Replayed,3.0
9.0,-1.0,1,1,89.16448,1,Replayed,9.0
1.0,-1.0,-1,0,49.288742,1,Replayed,1.0
-3.0,-1.0,-1,1,67.703285,1,Replayed,3.0
38.0,-1.0,1,1,99.984604,1,Replayed,38.0
1.0,-1.0,1,1,62.135487,1,Replayed,1.0
3.0,0.0,-1,0,44.35606,1,Replayed,3.0
9.0,1.0,1,1,91.11954,1,Replayed,9.0
3.0,-1.0,1,1,71.30172,1,Replayed,3.0
-5.0,0.0,-1,1,77.02129,1,Replayed,5.0
3.0,1.0,1,1,73.88956,1,Replayed,3.0
5.0,1.0,1,1,81.404945,1,Replayed,5.0
-5.0,0.0,1,0,42.465973,1,Replayed,5.0
-5.0,-1.0,-1,1,74.743744,1,Replayed,5.0
9.0,0.0,1,1,90.33249,1,Replayed,9.0
-3.0,-1.0,-1,1,67.07847,1,Replayed,3.0
-9.0,-1.0,-1,1,87.212036,1,Replayed,9.0
1.0,-1.0,1,1,62.633278,1,Replayed,1.0
5.0,0.0,1,1,79.7708,1,Replayed,5.0
-1.0,1.0,-1,1,61.446583,1,Replayed,1.0
9.0,0.0,1,1,90.3109,1,Replayed,9.0
5.0,1.0,1,1,81.078835,1,Replayed,5.0
3.0,-1.0,1,1,70.93894,1,Replayed,3.0
-1.0,0.0,-1,1,58.7954,1,Replayed,1.0
3.0,1.0,1,1,73.72002,1,Replayed,3.0
9.0,-1.0,1,1,88.771194,1,Replayed,9.0
-5.0,0.0,-1,1,76.08356,1,Replayed,5.0
-5.0,1.0,-1,1,77.69309,1,Replayed,5.0
-5.0,0.0,-1,1,76.18644,1,Replayed,5.0
-5.0,-1.0,-1,1,75.08645,1,Replayed,5.0
9.0,0.0,1,1,89.8327,1,Replayed,9.0
-9.0,0.0,-1,1,88.69534,1,Replayed,9.0
38.0,0.0,1,1,99.98686,1,Replayed,38.0
-5.0,-1.0,-1,1,74.10446,1,Replayed,5.0
-3.0,1.0,-1,1,68.95227,1,Replayed,3.0
-38.0,1.0,-1,1,99.987495,1,Replayed,38.0
5.0,1.0,1,1,81.25051,1,Replayed,5.0
38.0,0.0,1,1,99.987495,1,Replayed,38.0
-3.0,-1.0,1,0,46.625362,1,Replayed,3.0
9.0,1.0,1,1,91.14386,1,Replayed,9.0
-38.0,0.0,-1,1,99.98467,1,Replayed,38.0
-5.0,1.0,-1,1,78.52486,1,Replayed,5.0
-9.0,1.0,-1,1,89.007164,1,Replayed,9.0
3.0,1.0,1,1,73.289925,1,Replayed,3.0
-38.0,-1.0,-1,1,99.98323,1,Replayed,38.0
1.0,-1.0,-1,0,49.03625,1,Replayed,1.0
38.0,-1.0,1,1,99.985756,1,Replayed,38.0
3.0,1.0,1,1,74.08557,1,Replayed,3.0
5.0,-1.0,1,1,77.83962,1,Replayed,5.0
1.0,1.0,1,1,64.34183,1,Replayed,1.0
9.0,-1.0,1,1,89.23415,1,Replayed,9.0
-1.0,-1.0,1,0,55.59246,1,Replayed,1.0
38.0,-1.0,1,1,99.9848,1,Replayed,38.0
5.0,0.0,1,1,79.39034,1,Replayed,5.0
1.0,0.0,-1,0,51.451786,1,Replayed,1.0
-38.0,1.0,-1,1,99.98718,1,Replayed,38.0
-5.0,-1.0,-1,1,73.8722,1,Replayed,5.0
-1.0,1.0,-1,1,61.046993,1,Replayed,1.0
3.0,-1.0,1,1,71.909164,1,Replayed,3.0
1.0,1.0,-1,0,52.522522,1,Replayed,1.0
-3.0,-1.0,-1,1,66.76967,1,Replayed,3.0
-1.0,1.0,-1,1,59.89895,1,Replayed,1.0
5.0,1.0,1,1,80.68111,1,Replayed,5.0
-38.0,0.0,-1,1,99.98598,1,Replayed,38.0
3.0,0.0,-1,0,43.462666,1,Replayed,3.0
-3.0,-1.0,-1,1,66.117935,1,Replayed,3.0
-38.0,-1.0,-1,1,99.98241,1,Replayed,38.0
