stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1,1,99.29333,1,Replayed,38.0
-5.0,1.0,-1,1,69.76559,1,Replayed,5.0
-9.0,0.0,-1,1,78.26348,1,Replayed,9.0
-38.0,0.0,-1,1,98.99703,1,Replayed,38.0
1.0,0.0,1,1,59.979828,1,Replayed,1.0
-1.0,-1.0,1,0,54.29928,1,Replayed,1.0
3.0,0.0,1,1,67.62032,1,Replayed,3.0
5.0,-1.0,1,1,71.55052,1,Replayed,5.0
3.0,-1.0,1,1,64.94715,1,Replayed,3.0
3.0,1.0,1,1,66.09153,1,Replayed,3.0
-1.0,1.0,1,0,54.604614,1,Replayed,1.0
3.0,-1.0,1,1,63.874805,1,Replayed,3.0
-5.0,1.0,-1,1,71.39044,1,Replayed,5.0
-1.0,-1.0,1,0,54.447834,1,Replayed,1.0
-3.0,-1.0,1,0,49.7837,1,Replayed,3.0
9.0,-1.0,1,1,78.788055,1,Replayed,9.0
1.0,-1.0,-1,0,51.62431,1,Replayed,1.0
-3.0,-1.0,-1,1,63.414455,1,Replayed,3.0
38.0,-1.0,1,1,98.86808,1,Replayed,38.0
1.0,-1.0,1,1,58.35331,1,Replayed,1.0
3.0,0.0,-1,0,46.323475,1,Replayed,3.0
9.0,1.0,1,1,80.91021,1,Replayed,9.0
3.0,-1.0,1,1,64.97966,1,Replayed,3.0
-5.0,0.0,-1,1,69.15628,1,Replayed,5.0
3.0,1.0,1,1,67.7379,1,Replayed,3.0
5.0,1.0,1,1,72.33146,1,Replayed,5.0
-5.0,0.0,1,0,46.25834,1,Replayed,5.0
-5.0,-1.0,-1,1,68.96825,1,Replayed,5.0
9.0,0.0,1,1,80.07541,1,Replayed,9.0
-3.0,-1.0,-1,1,62.365047,1,Replayed,3.0
-9.0,-1.0,-1,1,76.30197,1,Replayed,9.0
1.0,-1.0,1,1,58.94075,1,Replayed,1.0
5.0,0.0,1,1,70.736435,1,Replayed,5.0
-1.0,1.0,-1,1,56.97648,1,Replayed,1.0
9.0,0.0,1,1,79.83858,1,Replayed,9.0
5.0,1.0,1,1,72.02968,1,Replayed,5.0
3.0,-1.0,1,1,64.32164,1,Replayed,3.0
-1.0,0.0,-1,1,57.52064,1,Replayed,1.0
3.0,1.0,1,1,65.938896,1,Replayed,3.0
9.0,-1.0,1,1,78.7218,1,Replayed,9.0
-5.0,0.0,-1,1,69.616875,1,Replayed,5.0
-5.0,1.0,-1,1,69.55662,1,Replayed,5.0
-5.0,0.0,-1,1,69.202126,1,Replayed,5.0
-5.0,-1.0,-1,1,69.12236,1,Replayed,5.0
9.0,0.0,1,1,79.86781,1,Replayed,9.0
-9.0,0.0,-1,1,79.42343,1,Replayed,9.0
38.0,0.0,1,1,99.15608,1,Replayed,38.0
-5.0,-1.0,-1,1,68.47036,1,Replayed,5.0
-3.0,1.0,-1,1,63.758385,1,Replayed,3.0
-38.0,1.0,-1,1,99.14175,1,Replayed,38.0
5.0,1.0,1,1,72.279884,1,Replayed,5.0
38.0,0.0,1,1,99.19126,1,Replayed,38.0
-3.0,-1.0,1,0,50.63056,1,Replayed,3.0
9.0,1.0,1,1,79.57481,1,Replayed,9.0
-38.0,0.0,-1,1,99.02062,1,Replayed,38.0
-5.0,1.0,-1,1,70.522705,1,Replayed,5.0
-9.0,1.0,-1,1,79.08195,1,Replayed,9.0
3.0,1.0,1,1,67.21344,1,Replayed,3.0
-38.0,-1.0,-1,1,98.69898,1,Replayed,38.0
1.0,-1.0,-1,0,50.831066,1,Replayed,1.0
38.0,-1.0,1,1,98.8601,1,Replayed,38.0
3.0,1.0,1,1,66.23193,1,Replayed,3.0
5.0,-1.0,1,1,70.44383,1,Replayed,5.0
1.0,1.0,1,1,61.267155,1,Replayed,1.0
9.0,-1.0,1,1,77.78861,1,Replayed,9.0
-1.0,-1.0,1,0,55.261665,1,Replayed,1.0
38.0,-1.0,1,1,98.84568,1,Replayed,38.0
5.0,0.0,1,1,71.97262,1,Replayed,5.0
1.0,0.0,-1,0,51.474495,1,Replayed,1.0
-38.0,1.0,-1,1,99.20263,1,Replayed,38.0
-5.0,-1.0,-1,1,67.18839,1,Replayed,5.0
-1.0,1.0,-1,1,56.95204,1,Replayed,1.0
3.0,-1.0,1,1,64.70422,1,Replayed,3.0
1.0,1.0,-1,0,52.717148,1,Replayed,1.0
-3.0,-1.0,-1,1,62.238144,1,Replayed,3.0
-1.0,1.0,-1,1,57.37434,1,Replayed,1.0
