stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1,1,99.98999,1,Replayed,38.0
-5.0,1.0,-1,1,74.06859,1,Replayed,5.0
-9.0,0.0,-1,1,89.029,1,Replayed,9.0
-38.0,0.0,-1,1,99.98998,1,Replayed,38.0
1.0,0.0,1,1,59.538387,1,Replayed,1.0
-1.0,-1.0,1,0,47.253605,1,Replayed,1.0
3.0,0.0,1,1,70.55104,1,Replayed,3.0
5.0,-1.0,1,1,80.23155,1,Replayed,5.0
3.0,-1.0,1,1,71.98199,1,Replayed,3.0
3.0,1.0,1,1,70.27816,1,Replayed,3.0
-1.0,1.0,1,0,47.835617,1,Replayed,1.0
3.0,-1.0,1,1,71.30474,1,Replayed,3.0
-5.0,1.0,-1,1,73.56765,1,Replayed,5.0
-1.0,-1.0,1,0,47.823925,1,Replayed,1.0
-3.0,-1.0,1,0,35.34567,1,Replayed,3.0
9.0,-1.0,1,1,92.672935,1,Replayed,9.0
1.0,-1.0,-1,0,40.216583,1,Replayed,1.0
-3.0,-1.0,-1,1,63.250416,1,Replayed,3.0
38.0,-1.0,1,1,99.99,1,Replayed,38.0
1.0,-1.0,1,1,58.64196,1,Replayed,1.0
3.0,0.0,-1,0,29.71051,1,Replayed,3.0
9.0,1.0,1,1,92.613014,1,Replayed,9.0
3.0,-1.0,1,1,70.43329,1,Replayed,3.0
-5.0,0.0,-1,1,74.11134,1,Replayed,5.0
3.0,1.0,1,1,69.232765,1,Replayed,3.0
5.0,1.0,1,1,79.98855,1,Replayed,5.0
-5.0,0.0,1,0,25.899597,1,Replayed,5.0
-5.0,-1.0,-1,1,74.54541,1,Replayed,5.0
9.0,0.0,1,1,92.21634,1,Replayed,9.0
-3.0,-1.0,-1,1,64.249535,1,Replayed,3.0
-9.0,-1.0,-1,1,89.07898,1,Replayed,9.0
1.0,-1.0,1,1,60.071735,1,Replayed,1.0
5.0,0.0,1,1,79.69988,1,Replayed,5.0
-1.0,1.0,-1,1,51.668602,1,Replayed,1.0
9.0,0.0,1,1,92.22011,1,Replayed,9.0
5.0,1.0,1,1,79.49108,1,Replayed,5.0
3.0,-1.0,1,1,69.70581,1,Replayed,3.0
-1.0,0.0,-1,1,52.250843,1,Replayed,1.0
3.0,1.0,1,1,70.74631,1,Replayed,3.0
9.0,-1.0,1,1,92.49745,1,Replayed,9.0
-5.0,0.0,-1,1,73.77345,1,Replayed,5.0
-5.0,1.0,-1,1,74.07187,1,Replayed,5.0
-5.0,0.0,-1,1,73.86891,1,Replayed,5.0
-5.0,-1.0,-1,1,73.84737,1,Replayed,5.0
9.0,0.0,1,1,92.42536,1,Replayed,9.0
-9.0,0.0,-1,1,89.41111,1,Replayed,9.0
38.0,0.0,1,1,99.99,1,Replayed,38.0
-5.0,-1.0,-1,1,73.3141,1,Replayed,5.0
-3.0,1.0,-1,1,64.11524,1,Replayed,3.0
-38.0,1.0,-1,1,99.98999,1,Replayed,38.0
5.0,1.0,1,1,79.678696,1,Replayed,5.0
38.0,0.0,1,1,99.98999,1,Replayed,38.0
-3.0,-1.0,1,0,35.837437,1,Replayed,3.0
9.0,1.0,1,1,92.257484,1,Replayed,9.0
-38.0,0.0,-1,1,99.98999,1,Replayed,38.0
-5.0,1.0,-1,1,73.84637,1,Replayed,5.0
-9.0,1.0,-1,1,89.174805,1,Replayed,9.0
3.0,1.0,1,1,70.909096,1,Replayed,3.0
-38.0,-1.0,-1,1,99.98999,1,Replayed,38.0
1.0,-1.0,-1,0,40.69278,1,Replayed,1.0
38.0,-1.0,1,1,99.99,1,Replayed,38.0
3.0,1.0,1,1,70.38998,1,Replayed,3.0
5.0,-1.0,1,1,79.939476,1,Replayed,5.0
1.0,1.0,1,1,58.844395,1,Replayed,1.0
9.0,-1.0,1,1,92.376366,1,Replayed,9.0
-1.0,-1.0,1,0,47.071484,1,Replayed,1.0
38.0,-1.0,1,1,99.98999,1,Replayed,38.0
5.0,0.0,1,1,79.58912,1,Replayed,5.0
1.0,0.0,-1,0,40.905045,1,Replayed,1.0
-38.0,1.0,-1,1,99.98997,1,Replayed,38.0
-5.0,-1.0,-1,1,73.88075,1,Replayed,5.0
-1.0,1.0,-1,1,52.63564,1,Replayed,1.0
3.0,-1.0,1,1,70.40678,1,Replayed,3.0
1.0,1.0,-1,0,40.483574,1,Replayed,1.0
-3.0,-1.0,-1,1,63.854527,1,Replayed,3.0
-1.0,1.0,-1,1,52.201862,1,Replayed,1.0
5.0,1.0,1,1,79.87067,1,Replayed,5.0
-38.0,0.0,-1,1,99.98999,1,Replayed,38.0
3.0,0.0,-1,0,30.006945,1,Replayed,3.0
-3.0,-1.0,-1,1,63.320755,1,Replayed,3.0
-38.0,-1.0,-1,1,99.98998,1,Replayed,38.0
-38.0,1.0,-1,1,99.98999,1,Replayed,38.0
-1.0,1.0,1,0,47.94745,1,Replayed,1.0
5.0,-1.0,1,1,79.93048,1,Replayed,5.0
-1.0,1.0,1,0,48.215626,1,Replayed,1.0
38.0,1.0,1,1,99.99,1,Replayed,38.0
