stim,incentive,a,correct,conf,participant,choiceType,coh
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
-9.0,-1.0,-1.0,1,78.31112320696721,1,Free,9.0
9.0,0.0,1.0,1,95.49598360655737,1,Free,9.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
5.0,0.0,-1.0,0,92.19181297451193,1,Free,5.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
3.0,0.0,-1.0,0,91.3507730836237,1,Free,3.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
3.0,1.0,-1.0,0,92.51392378559464,1,Free,3.0
9.0,1.0,1.0,1,96.5737897985705,1,Free,9.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-5.0,0.0,1.0,0,89.84973060344828,1,Free,5.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
-1.0,0.0,1.0,0,88.10772125912409,1,Free,1.0
-1.0,-1.0,1.0,0,58.70513703596288,1,Free,1.0
1.0,0.0,-1.0,0,90.54309990875912,1,Free,1.0
3.0,-1.0,-1.0,0,64.30168991416309,1,Free,3.0
-3.0,0.0,-1.0,1,93.724349185573,1,Free,3.0
1.0,1.0,-1.0,0,91.02083150456461,1,Free,1.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
-1.0,1.0,-1.0,1,91.96388514584655,1,Free,1.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
5.0,-1.0,1.0,1,62.31747425093633,1,Free,5.0
9.0,-1.0,1.0,1,67.32128580946036,1,Free,9.0
1.0,-1.0,-1.0,0,64.89190062590711,1,Free,1.0
-1.0,0.0,1.0,0,88.10772125912409,1,Free,1.0
1.0,1.0,-1.0,0,91.02083150456461,1,Free,1.0
3.0,-1.0,1.0,1,60.042561751497004,1,Free,3.0
9.0,-1.0,-1.0,0,60.96776365230461,1,Free,9.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
5.0,-1.0,-1.0,0,62.60334378353004,1,Free,5.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
-1.0,-1.0,-1.0,1,67.63687061822817,1,Free,1.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
9.0,1.0,1.0,1,96.5737897985705,1,Free,9.0
-9.0,-1.0,-1.0,1,78.31112320696721,1,Free,9.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
3.0,0.0,1.0,1,90.91974765258216,1,Free,3.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
1.0,0.0,-1.0,0,90.54309990875912,1,Free,1.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
9.0,0.0,1.0,1,95.49598360655737,1,Free,9.0
-1.0,1.0,-1.0,1,91.96388514584655,1,Free,1.0
1.0,-1.0,1.0,1,59.370704381028936,1,Free,1.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
3.0,1.0,-1.0,0,92.51392378559464,1,Free,3.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
1.0,1.0,1.0,1,90.34229871961806,1,Free,1.0
3.0,0.0,-1.0,0,91.3507730836237,1,Free,3.0
1.0,-1.0,1.0,1,59.370704381028936,1,Free,1.0
-9.0,-1.0,-1.0,1,78.31112320696721,1,Free,9.0
5.0,0.0,-1.0,0,92.19181297451193,1,Free,5.0
-1.0,-1.0,1.0,0,58.70513703596288,1,Free,1.0
-3.0,0.0,1.0,0,90.56244439501779,1,Free,3.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
3.0,1.0,-1.0,0,92.51392378559464,1,Free,3.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
3.0,-1.0,-1.0,0,64.30168991416309,1,Free,3.0
1.0,0.0,-1.0,0,90.54309990875912,1,Free,1.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
5.0,-1.0,-1.0,0,62.60334378353004,1,Free,5.0
9.0,1.0,-1.0,0,95.16633337852494,1,Free,9.0
9.0,-1.0,-1.0,0,60.96776365230461,1,Free,9.0
-1.0,1.0,-1.0,1,91.96388514584655,1,Free,1.0
-1.0,0.0,-1.0,1,91.42668344870988,1,Free,1.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
9.0,0.0,1.0,1,95.49598360655737,1,Free,9.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
-3.0,1.0,1.0,0,90.39433181117958,1,Free,3.0
-1.0,-1.0,-1.0,1,67.63687061822817,1,Free,1.0
9.0,0.0,1.0,1,95.49598360655737,1,Free,9.0
1.0,1.0,-1.0,0,91.02083150456461,1,Free,1.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
5.0,1.0,1.0,1,94.19779531686859,1,Free,5.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
9.0,1.0,1.0,1,96.5737897985705,1,Free,9.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
1.0,0.0,-1.0,0,90.54309990875912,1,Free,1.0
-1.0,1.0,-1.0,1,91.96388514584655,1,Free,1.0
9.0,-1.0,1.0,1,67.32128580946036,1,Free,9.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
3.0,-1.0,-1.0,0,64.30168991416309,1,Free,3.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
3.0,0.0,1.0,1,90.91974765258216,1,Free,3.0
-1.0,0.0,-1.0,1,91.42668344870988,1,Free,1.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
1.0,-1.0,-1.0,0,64.89190062590711,1,Free,1.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
5.0,0.0,1.0,1,92.3823486781076,1,Free,5.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
5.0,-1.0,1.0,1,62.31747425093633,1,Free,5.0
-3.0,0.0,-1.0,1,93.724349185573,1,Free,3.0
3.0,1.0,-1.0,0,92.51392378559464,1,Free,3.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-1.0,1.0,1.0,0,89.72922207446808,1,Free,1.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
9.0,0.0,-1.0,0,94.04720394736842,1,Free,9.0
9.0,1.0,-1.0,0,95.16633337852494,1,Free,9.0
9.0,-1.0,1.0,1,67.32128580946036,1,Free,9.0
3.0,0.0,-1.0,0,91.3507730836237,1,Free,3.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
-3.0,0.0,-1.0,1,93.724349185573,1,Free,3.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
5.0,-1.0,-1.0,0,62.60334378353004,1,Free,5.0
-1.0,-1.0,-1.0,1,67.63687061822817,1,Free,1.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
5.0,0.0,-1.0,0,92.19181297451193,1,Free,5.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
1.0,0.0,-1.0,0,90.54309990875912,1,Free,1.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
1.0,-1.0,-1.0,0,64.89190062590711,1,Free,1.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
1.0,1.0,-1.0,0,91.02083150456461,1,Free,1.0
3.0,1.0,-1.0,0,92.51392378559464,1,Free,3.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
1.0,-1.0,-1.0,0,64.89190062590711,1,Free,1.0
5.0,-1.0,-1.0,0,62.60334378353004,1,Free,5.0
1.0,1.0,1.0,1,90.34229871961806,1,Free,1.0
9.0,0.0,-1.0,0,94.04720394736842,1,Free,9.0
5.0,0.0,1.0,1,92.3823486781076,1,Free,5.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
-3.0,-1.0,-1.0,1,69.86636152891356,1,Free,3.0
1.0,0.0,1.0,1,88.66780753968254,1,Free,1.0
9.0,-1.0,1.0,1,67.32128580946036,1,Free,9.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
-3.0,0.0,-1.0,1,93.724349185573,1,Free,3.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
9.0,1.0,1.0,1,96.5737897985705,1,Free,9.0
3.0,1.0,1.0,1,92.07024464950372,1,Free,3.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
3.0,-1.0,1.0,1,60.042561751497004,1,Free,3.0
-1.0,0.0,-1.0,1,91.42668344870988,1,Free,1.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
-1.0,-1.0,-1.0,1,67.63687061822817,1,Free,1.0
3.0,0.0,-1.0,0,91.3507730836237,1,Free,3.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
3.0,-1.0,-1.0,0,64.30168991416309,1,Free,3.0
-38.0,1.0,-1.0,1,99.989265625,1,Free,38.0
-5.0,0.0,-1.0,1,95.12262466307277,1,Free,5.0
-5.0,-1.0,-1.0,1,72.42565798422198,1,Free,5.0
5.0,-1.0,1.0,1,62.31747425093633,1,Free,5.0
1.0,0.0,1.0,1,88.66780753968254,1,Free,1.0
1.0,-1.0,1.0,1,59.370704381028936,1,Free,1.0
-3.0,-1.0,1.0,0,58.275668674045136,1,Free,3.0
-1.0,0.0,-1.0,1,91.42668344870988,1,Free,1.0
5.0,0.0,1.0,1,92.3823486781076,1,Free,5.0
-38.0,-1.0,-1.0,1,98.6850625,1,Free,38.0
-1.0,-1.0,-1.0,1,67.63687061822817,1,Free,1.0
-9.0,1.0,-1.0,1,98.0121697024115,1,Free,9.0
38.0,0.0,1.0,1,99.9846875,1,Free,38.0
-9.0,-1.0,-1.0,1,78.31112320696721,1,Free,9.0
-9.0,0.0,-1.0,1,97.54303291837782,1,Free,9.0
9.0,1.0,1.0,1,96.5737897985705,1,Free,9.0
1.0,1.0,-1.0,0,91.02083150456461,1,Free,1.0
-3.0,0.0,-1.0,1,93.724349185573,1,Free,3.0
38.0,1.0,1.0,1,99.98665625,1,Free,38.0
9.0,0.0,-1.0,0,94.04720394736842,1,Free,9.0
-1.0,1.0,-1.0,1,91.96388514584655,1,Free,1.0
38.0,-1.0,1.0,1,96.5104296875,1,Free,38.0
3.0,1.0,1.0,1,92.07024464950372,1,Free,3.0
-5.0,1.0,-1.0,1,95.96552218176915,1,Free,5.0
-38.0,0.0,-1.0,1,99.988421875,1,Free,38.0
-3.0,1.0,-1.0,1,94.40838068181819,1,Free,3.0
3.0,0.0,1.0,1,90.91974765258216,1,Free,3.0
5.0,1.0,-1.0,0,93.57187162891046,1,Free,5.0
9.0,-1.0,1.0,1,67.32128580946036,1,Free,9.0
