pair,coef,mean,se,t,df,p,test
Replayed - Free,b0,-2.864509254021086,1.8352923336059608,-1.560791815869972,156.29327416461274,0.12059546084630503,welch
Replayed - Free,b_inc,-2.848443349303152,0.6665293299332353,-4.273545396102034,148.44051451483713,3.4237769946079825e-05,welch
Replayed - Free,b_abs,-0.9521563084595226,1.0570963769332729,-0.9007280028920444,177.0375613403192,0.3689566092542858,welch
Forced - Free,b0,-7.86751083222145,1.7356477049044554,-4.532896168957596,134.81024276411446,1.2705616160907237e-05,welch
Forced - Free,b_inc,-2.5875641802727563,0.7187137223219556,-3.6002710118196806,173.41132718156337,0.0004147356338753049,welch
Forced - Free,b_abs,0.391953935841557,1.023555328665638,0.3829338042258344,168.2177080673707,0.7022522951251747,welch
Observed - Free,b0,-10.009588717618495,1.7873190990669443,-5.6003366846154785,146.66446519710243,1.024233409214249e-07,welch
Observed - Free,b_inc,-2.8823766831499897,0.6674481251335761,-4.318502928707966,149.22305343097452,2.8509415277901047e-05,welch
Observed - Free,b_abs,1.7132922600126252,1.0099708244739114,1.6963779730024087,164.5258976976767,0.0917055342036936,welch
Forced - Replayed,b0,-5.003001578200364,1.1990353143232246,-4.172522292243098,182.8023526560737,4.651862856942028e-05,welch
Forced - Replayed,b_inc,0.26087916903039576,0.5296511357714612,0.4925490599588978,181.9203363425696,0.622925174074593,welch
Forced - Replayed,b_abs,1.3441102443010797,0.8570077091896352,1.5683759082774604,192.2641530072896,0.118437751878199,welch
Observed - Replayed,b0,-7.145079463597409,1.272683107196589,-5.614185827716595,193.33058539650767,6.787898889388528e-08,welch
Observed - Replayed,b_inc,-0.033933333846838054,0.4576766442745833,-0.07414259449621322,195.99628606778708,0.9409725378870732,welch
Observed - Replayed,b_abs,2.665448568472148,0.8407364444694644,3.1703735290720556,191.79744133406035,0.001772518886925316,welch
Observed - Forced,b0,-2.142077885397045,1.1242318698074942,-1.9053701846789308,192.55127053142766,0.05822198944494313,welch
Observed - Forced,b_inc,-0.2948125028772338,0.53080691188706,-0.5554044159469446,183.371275426441,0.5792950141123471,welch
Observed - Forced,b_abs,1.3213383241710681,0.7981544523295768,1.655492017008077,195.4391414918892,0.09942955514162494,welch
