pair,coef,mean,se,t,df,p,test
Replayed - Free,b0,-7.541807652946218,1.7017770567361383,-4.4317248390989326,156.5267326458299,1.7498581794720562e-05,welch
Replayed - Free,b_inc,-2.2286020249845437,0.584405344819123,-3.8134525030299127,129.8056617158618,0.0002108948151767122,welch
Replayed - Free,b_abs,-0.06246103601514866,0.6261396278129832,-0.09975576251788469,158.61431851992037,0.9206641993869173,welch
Forced - Free,b0,-8.587170497536732,1.6170662925251753,-5.310339184751167,136.9963393544675,4.308790504927726e-07,welch
Forced - Free,b_inc,-1.954994935300594,0.6409384327138701,-3.0502070643864,164.53179840102112,0.002666191214112953,welch
Forced - Free,b_abs,0.2916821516407214,0.6959474060743427,0.41911522206257523,185.79249599269187,0.6756160797881671,welch
Observed - Free,b0,-9.404346733983303,1.6355538947733053,-5.7499460971824385,141.71017464432094,5.2733712121151673e-08,welch
Observed - Free,b_inc,-2.5215288794549062,0.5887189196256938,-4.283077705500086,132.9117045546813,3.5080450699292174e-05,welch
Observed - Free,b_abs,0.20161766328051708,0.6521696847602619,0.30914908802397323,172.2082188261424,0.757581834832499,welch
Forced - Replayed,b0,-1.0453628445905139,1.1253759727531731,-0.9289009805612685,184.88889642989554,0.35415154176851305,welch
Forced - Replayed,b_inc,0.27360708968395,0.4218617459153824,0.6485705147079879,168.4744668070068,0.5174990627318533,welch
Forced - Replayed,b_abs,0.35414318765587005,0.5554903138234134,0.6375326064973471,178.07010958110502,0.5245968608311912,welch
Observed - Replayed,b0,-1.8625390810370845,1.151783064790051,-1.6170919142456668,190.05840114505034,0.10751696603623721,welch
Observed - Replayed,b_inc,-0.2929268544703625,0.3372761842500988,-0.8685073780754999,195.76991582863343,0.38618008641302265,welch
Observed - Replayed,b_abs,0.26407869929566574,0.4995517935613159,0.5286312704695599,193.07239595536157,0.5976684126954124,welch
Observed - Forced,b0,-0.8171762364465707,1.0224785924041466,-0.7992110959752714,195.56216339851252,0.4251376312985434,welch
Observed - Forced,b_inc,-0.5665339441543125,0.42781735815516037,-1.3242425379777192,173.39590729279007,0.18716539445143654,welch
Observed - Forced,b_abs,-0.09006448836020431,0.5846742280570888,-0.15404217261207934,189.658373530814,0.8777402733367502,welch
