pair,coef,mean,se,t,df,p
Replayed - Free,b0,-8.097166668377596,1.6140789115030068,-5.016586618331834,163.62823272513316,1.358654917967167e-06
Replayed - Free,b_inc,-1.607098741657335,0.5069859836519021,-3.169907637448165,140.96643384075296,0.001870798875372405
Replayed - Free,b_abs,-0.42938766395643924,0.6179945452511499,-0.6948081779296906,159.01142470725844,0.48818952864194576
Forced - Free,b0,-9.140488696641583,1.5242819244035013,-5.996586688002968,142.80349708622398,1.572120173815937e-08
Forced - Free,b_inc,-1.4556177175895049,0.5528298019882191,-2.6330304776523685,171.18465498638176,0.009237177382002663
Forced - Free,b_abs,0.044840772989020006,0.6832387059307096,0.065629731746444,185.12837993038463,0.9477434354902358
Observed - Free,b0,-9.911573881282806,1.5393014183796014,-6.4390078271457485,146.85182497189513,1.6091048845987505e-09
Observed - Free,b_inc,-1.8505362355548927,0.5134873743070923,-3.6038592731749914,146.18195458995274,0.0004291724234611322
Observed - Free,b_abs,-0.25612806145338807,0.6431520392158794,-0.3982387457958701,172.29899705089846,0.6909472374595503
Forced - Replayed,b0,-1.0433220282639866,1.1250766591513035,-0.9273341685454677,184.837963914408,0.3549623569714924
Forced - Replayed,b_inc,0.15148102406783015,0.3919851062760778,0.3864458665456055,176.3657010691315,0.6996323139248477
Forced - Replayed,b_abs,0.47422843694545924,0.5448374793030102,0.8704034780282032,179.33160683323422,0.38524355413021394
Observed - Replayed,b0,-1.8144072129052091,1.1453431627810375,-1.5841603388975578,189.17322498947877,0.1148275231348904
Observed - Replayed,b_inc,-0.24343749389755764,0.3342167218269105,-0.7283821484660272,195.52682093668932,0.46725112758330045
Observed - Replayed,b_abs,0.17325960250305117,0.4936368048666261,0.3509859896890459,193.21747208263355,0.7259812565464592
Observed - Forced,b0,-0.7710851846412226,1.0148869952037913,-0.7597744263994506,195.76737706082767,0.44830339373113165
Observed - Forced,b_inc,-0.3949185179653878,0.40035836383866547,-0.9864125584360969,182.50305689308763,0.32523663817385384
Observed - Forced,b_abs,-0.3009688344424081,0.5732147646743116,-0.5250542257288368,190.3659405678051,0.6001564530186904
