pair,coef,mean,se,t,df,p,test
Replayed - Free,b0,0.28917605683037007,0.04781023849037844,6.048412765992899,190.5558848482325,7.58567530277152e-09,welch
Replayed - Free,b_inc,0.002543108059350163,0.005508911259514332,0.4616353285702345,191.93228362275897,0.6448656299689134,welch
Replayed - Free,b_abs,0.011477663741504251,0.009947984702458312,1.1537677313343606,191.91312504471847,0.2500302379834807,welch
Forced - Free,b0,0.2509711346232111,0.04551475733381499,5.514060698655052,191.9924211262961,1.1214045760183692e-07,welch
Forced - Free,b_inc,0.00130157894619473,0.004778576654915804,0.2723779569081043,176.08317248522488,0.7856505567830745,welch
Forced - Free,b_abs,0.0008617532250912623,0.00847056676434569,0.10173501361426653,164.982501527238,0.9190905481782778,welch
Observed - Free,b0,0.3802385100995913,0.051346882039065046,7.405289182122165,186.75684439400368,4.359229554767486e-12,welch
Observed - Free,b_inc,0.0037732327778352832,0.0052750098408107194,0.7153034575676493,192.78344195018653,0.47528694649920056,welch
Observed - Free,b_abs,-0.008873240858981696,0.009074600771318045,-0.9778106037487859,183.808480125699,0.329453183520288,welch
Forced - Replayed,b0,-0.03820492220715899,0.047899719090783575,-0.7976022183919242,192.32334556675303,0.4260850235188869,welch
Forced - Replayed,b_inc,-0.0012415291131554328,0.004870413613547498,-0.2549124595295166,176.31191866880354,0.799087807805933,welch
Forced - Replayed,b_abs,-0.010615910516412988,0.008406897509346391,-1.2627619766519955,168.95376043039747,0.208414760708576,welch
Observed - Replayed,b0,0.09106245326922124,0.0534723503219521,1.7029820593436158,193.55258395050308,0.09017662963656467,welch
Observed - Replayed,b_inc,0.0012301247184851203,0.005358345149462883,0.2295717584762951,194.1332421267373,0.8186662492797557,welch
Observed - Replayed,b_abs,-0.02035090460048595,0.009015198477139746,-2.257399507297668,187.36823592283102,0.025137062828528168,welch
Observed - Forced,b0,0.12926737547638023,0.05143020979543805,2.5134522295463486,188.21498424422992,0.012794576469693385,welch
Observed - Forced,b_inc,0.002471653831640553,0.004604188780064838,0.5368272131547452,186.53602723189468,0.59202667302809,welch
Observed - Forced,b_abs,-0.009734994084072957,0.007352680140677684,-1.3240061988029985,189.45696897086248,0.18709617530574066,welch
