group,agency,incentive,correct_mean,correct_sem,conf_mean,conf_sem,confSym_mean,confSym_sem,calib_mean,calib_sem,log_rt_mean,log_rt_sem
Forced,0,-1.0,74.01637647706723,0.43911842962542563,64.95378394016502,0.8082573772644281,65.3141074999687,0.7354213634406106,-9.062592536902185,0.9312388118353242,6.572265024908415,0.03223932074506826
Forced,0,0.0,73.86973878032494,0.45145714639192164,66.00687168152504,0.7019007492650767,66.00891249785157,0.7014207515719676,-7.862867098799898,0.7354796702633882,6.5764609440444275,0.03225025053875686
Forced,0,1.0,74.57333502183086,0.46609158597731215,68.07668752924178,0.8125566240279171,68.07668752924178,0.8125566240279171,-6.496647492589069,0.8511497774535316,6.579079746707027,0.03222313114522713
Free,1,-1.0,75.46887717155549,0.9962412397297369,71.29427735076045,1.6007047844353568,72.95413770603176,1.3375866394781522,-4.174599820795049,1.5454279581514732,6.321733716006307,0.03207259605111582
Free,1,0.0,74.58939844564021,1.031576230533071,74.59404217906176,1.4567905589350307,75.14940119449315,1.3533086544936659,0.004643733421550704,1.572114057620935,6.325489809421216,0.03211719905819115
Free,1,1.0,74.7606972263748,1.0290803492780813,78.32717081043839,1.3185759791758556,78.62795317048385,1.2483249897952513,3.56647358406358,1.4365524073926412,6.32594527991253,0.032341602026645495
Observed,0,-1.0,74.2015967547635,0.4750426363906314,64.61307715951257,0.7288042402158044,64.63697199885046,0.7239445902804251,-9.58851959525093,0.7778770589879569,6.689325752469079,0.03968112263917686
Observed,0,0.0,75.19464042927541,0.47958864009293894,65.18969544507848,0.7435037391337641,65.23782731321035,0.733487929210833,-10.004944984196943,0.8502746331157433,6.705728319520806,0.04006229923244772
Observed,0,1.0,74.21511241697299,0.49538114913650944,66.60291286028071,0.8256269893511788,66.60971499219276,0.8242438588918108,-7.612199556692279,0.9523232988039831,6.701083781930973,0.040537550184159124
Replayed,0,-1.0,71.06143272075613,0.9170861580893781,65.91861068678362,0.9167129582080537,66.03468211535505,0.895615393385568,-5.142822033972507,0.871073131210472,6.61984432851883,0.036525429207347825
Replayed,0,0.0,69.9121000467151,0.9775477246282225,67.05223452611556,0.8796626729782695,67.05223452611556,0.8796626729782695,-2.859865520599535,0.9469716678039799,6.614665866251585,0.03541616056496504
Replayed,0,1.0,71.59293542421267,0.9365454099242496,68.49430009649248,0.9473734525853688,68.49430009649248,0.9473734525853688,-3.098635327720181,0.9037862656725947,6.6291421085437525,0.036133834468910546
