group,comparison,t,df,p
Free,1 - 0,3.868079527599173,95.0,0.0002009162269543721
Free,-1 - 0,-3.718719292975856,95.0,0.00033865740335667176
Free,1 - -1,6.63654734419703,95.0,1.970435877849681e-09
Replayed,1 - 0,-0.33753757289724157,97.0,0.736441032706169
Replayed,-1 - 0,-3.190233210113854,97.0,0.0019153455779686234
Replayed,1 - -1,3.1675328606925706,97.0,0.0020559515082794765
Forced,1 - 0,1.854421989253872,97.0,0.06671688925146428
Forced,-1 - 0,-1.7412702000967524,97.0,0.08480669976246807
Forced,1 - -1,3.05461685878458,97.0,0.002909591342778836
Observed,1 - 0,3.592667809938244,99.0,0.0005118418004943807
Observed,-1 - 0,0.678616058821536,99.0,0.4989644455050795
Observed,1 - -1,3.044504657390496,99.0,0.002985827370591248
