group,comparison,t,df,p
Free,1 - 0,5.7391781340291566,95.0,1.1320467903080471e-07
Free,-1 - 0,-3.8912832435514693,95.0,0.00018504882533579138
Free,1 - -1,6.561834959071135,95.0,2.783256827023143e-09
Replayed,1 - 0,3.5077502438189727,97.0,0.0006865728120745844
Replayed,-1 - 0,-2.8705107494483992,97.0,0.0050314143771156145
Replayed,1 - -1,5.5242583444423365,97.0,2.7750016741593014e-07
Forced,1 - 0,3.7448727124019796,97.0,0.0003062273611056325
Forced,-1 - 0,-1.7991207587974685,97.0,0.07510920635178976
Forced,1 - -1,4.4410369548364255,97.0,2.3739853174803125e-05
Observed,1 - 0,2.9475708799194047,99.0,0.003994718792921518
Observed,-1 - 0,-1.3912877316808727,99.0,0.16725686750909585
Observed,1 - -1,4.081929669593975,99.0,9.059540100546859e-05
