group,comparison,t,df,p
Free,1 - 0,5.563381321960087,95.0,2.4330118678833905e-07
Free,-1 - 0,-2.9078519626291994,95.0,0.00453026215420847
Free,1 - -1,6.273311129020513,95.0,1.0429121148586699e-08
Replayed,1 - 0,3.5077502438189727,97.0,0.0006865728120745844
Replayed,-1 - 0,-2.644945992843558,97.0,0.009531351791879129
Replayed,1 - -1,5.365632185511591,97.0,5.489256849556037e-07
Forced,1 - 0,3.7431545878183243,97.0,0.0003080617175628174
Forced,-1 - 0,-1.3158296880576599,97.0,0.1913325885069199
Forced,1 - -1,4.343783180452604,97.0,3.447020519395066e-05
Observed,1 - 0,2.8762427248122178,99.0,0.004928501695377603
Observed,-1 - 0,-1.4736876888184842,99.0,0.14373834258097984
Observed,1 - -1,4.055069757880403,99.0,9.998957209865e-05
