group,comparison,t,df,p
Free,1 - 0,0.24795957147845757,95.0,0.8047008601521913
Free,-1 - 0,1.4361423616928535,95.0,0.15424667204622766
Free,1 - -1,-1.227786664788321,95.0,0.22256054409911855
Replayed,1 - 0,2.5161551420436754,97.0,0.013505686157065983
Replayed,-1 - 0,1.7200059153690963,97.0,0.08862037378489201
Replayed,1 - -1,0.8307708670373674,97.0,0.40814329966394136
Forced,1 - 0,1.0447253383581714,97.0,0.2987464955076988
Forced,-1 - 0,0.22951124730468805,97.0,0.8189548383129576
Forced,1 - -1,0.919805222973895,97.0,0.35995632850576886
Observed,1 - 0,-1.3735435223029748,99.0,0.1726859172737306
Observed,-1 - 0,-1.4318119263306777,99.0,0.15534727351239916
Observed,1 - -1,0.01989433452756116,99.0,0.9841677056009636
