group,comparison,t,df,p
Free,1 - 0,0.05131843155916724,95.0,0.9591795318434196
Free,-1 - 0,-0.5273737198357338,95.0,0.5991635712302815
Free,1 - -1,0.5486526871249302,95.0,0.5845309598639437
Replayed,1 - 0,1.816238287888392,97.0,0.07242265086373949
Replayed,-1 - 0,0.6393946047449898,97.0,0.5240734124247834
Replayed,1 - -1,1.1763832096700566,97.0,0.2423207003635354
Forced,1 - 0,0.5122225172141939,97.0,0.6096596107950625
Forced,-1 - 0,-0.7245909289282046,97.0,0.47044721920047466
Forced,1 - -1,1.1969431004864928,97.0,0.234245871614672
Observed,1 - 0,-0.7143937775021285,99.0,0.4766648061819983
Observed,-1 - 0,-2.353295623558304,99.0,0.020584575413664295
Observed,1 - -1,1.624635877502134,99.0,0.10741981974856793
