choiceType,coef,mean,se,t,df,p
Free,b0,0.004643733421550926,1.5721140576209354,0.0029538145779182475,95.0,0.9976493942525073
Free,b_inc,3.8705367024293156,0.5832154133298991,6.636547344197031,95.0,1.970435877849681e-09
Free,b_abs,-0.3087068517872859,0.845770668489635,-0.36500065950332633,95.0,0.7159222369256378
Observed,b0,-10.004944984196944,0.8502746331157434,-11.766721709119862,99.0,1.6208333784947788e-20
Observed,b_inc,0.9881600192793257,0.32457168915165857,3.044504657390499,99.0,0.0029858273705912247
Observed,b_abs,1.4045854082253393,0.5520081907101637,2.544501027092237,99.0,0.012488613030392922
Forced,b0,-7.862867098799899,0.7354796702633885,-10.690801413972553,97.0,4.352083043053133e-18
Forced,b_inc,1.2829725221565595,0.4200109478434058,3.054616858784583,97.0,0.0029095913427788123
Forced,b_abs,0.0832470840542711,0.5764871960090858,0.14440404683846447,97.0,0.8854810252159124
Replayed,b0,-2.859865520599535,0.9469716678039802,-3.0200117045017203,97.0,0.003230782955267999
Replayed,b_inc,1.0220933531261638,0.32267805831150437,3.1675328606925715,97.0,0.002055951508279472
Replayed,b_abs,-1.2608631602468086,0.634133051061091,-1.9883258854541865,97.0,0.04959370745575088
