choiceType,coef,mean,se,t,df,p
Free,b0,74.59404217906179,1.456790558935031,16.882345940682757,95.0,2.3677400523074057e-30
Free,b_inc,3.516446729838965,0.5358938089379721,6.5618349590711205,95.0,2.7832568270233148e-09
Free,b_abs,0.21668190153764447,0.532833997032731,0.40665930241747333,95.0,0.6851729380902577
Observed,b0,65.18969544507848,0.7435037391337642,20.4298844048526,99.0,2.755366252538306e-37
Observed,b_inc,0.9949178503840586,0.2437371368240719,4.081929669593948,99.0,9.059540100547754e-05
Observed,b_abs,0.41829956481816155,0.37604950382419466,1.112352391279099,99.0,0.26868049485483314
Forced,b0,66.00687168152506,0.7019007492650768,22.805035752255577,97.0,9.35357506212208e-41
Forced,b_inc,1.561451794538371,0.3515962173739422,4.441036954836405,97.0,2.3739853174804908e-05
Forced,b_abs,0.5083640531783659,0.44769490015827706,1.1355145055229352,97.0,0.2589577343227589
Replayed,b0,67.05223452611557,0.8796626729782697,19.38497000035468,97.0,3.9243392630226006e-35
Replayed,b_inc,1.287844704854421,0.23312535811256194,5.524258344442306,97.0,2.775001674159673e-07
Replayed,b_abs,0.1542208655224958,0.3288445911428446,0.4689779600343338,97.0,0.6401377384373156
