choiceType,coef,mean,se,t,df,p
Free,b0,75.14940119449317,1.3533086544936663,18.583640258993757,95.0,2.1128492174927585e-33
Free,b_inc,2.8369077322260416,0.4522185611203681,6.273311129020498,95.0,1.0429121148587396e-08
Free,b_abs,0.6416442437646493,0.5253020599563589,1.2214767324878868,95.0,0.2249281214261578
Observed,b0,65.23782731321036,0.7334879292108331,20.774475906651784,99.0,7.173153824311736e-38
Observed,b_inc,0.986371496671149,0.24324402675300347,4.055069757880374,99.0,9.998957209866061e-05
Observed,b_abs,0.3855161823112613,0.3710825937081258,1.0388958923104008,99.0,0.301383856717079
Forced,b0,66.00891249785158,0.7014207515719678,22.823551287830732,97.0,8.751959618934833e-41
Forced,b_inc,1.3812900146365368,0.31799239447596445,4.343783180452582,97.0,3.44702051939535e-05
Forced,b_abs,0.6864850167536694,0.43689000341902595,1.5712994378020917,97.0,0.11936946701166777
Replayed,b0,67.05223452611557,0.8796626729782697,19.38497000035468,97.0,3.92433926302259e-35
Replayed,b_inc,1.2298089905687066,0.22920113568154632,5.365632185511559,97.0,5.489256849556788e-07
Replayed,b_abs,0.2122565798082101,0.3255380219970956,0.6520177843007962,97.0,0.5159317346055529
