choiceType,coef,mean,se,t,df,p
Free,b0,74.58939844564023,1.0315762305330711,23.836724536521707,95.0,7.225158899294263e-42
Free,b_inc,-0.3540899725903501,0.28839698519725376,-1.2277866647883457,95.0,0.2225605440991093
Free,b_abs,0.5253887533249304,0.5856305936042423,0.8971333790665621,95.0,0.37191565288350237
Observed,b0,75.19464042927542,0.47958864009293906,52.53385573184756,99.0,4.1051116561009786e-74
Observed,b_inc,0.0067578311047334335,0.3396862104323415,0.019894334527540244,99.0,0.9841677056009802
Observed,b_abs,-0.9862858434071792,0.615961101554773,-1.6012144937686066,99.0,0.1125157034218818
Forced,b0,73.86973878032494,0.45145714639192164,52.87265684261203,97.0,2.519013886261536e-73
Forced,b_inc,0.2784792723818126,0.30275895964304955,0.9198052229738716,97.0,0.35995632850578096
Forced,b_abs,0.4251169691240926,0.5824311522087682,0.7299008088971732,97.0,0.4672098653186672
Replayed,b0,69.9121000467151,0.9775477246282227,20.36944033017722,97.0,8.211165698880394e-37
Replayed,b_inc,0.2657513517282577,0.31988525629933007,0.8307708670373448,97.0,0.4081432996639539
Replayed,b_abs,1.4150840257693036,0.5865596815150832,2.412514992701412,97.0,0.017722427149332913
