participant,choiceType,b0,b_inc
Exp1b_1,Free,64.4354376484074,-0.8761156145091178
Exp1b_10,Free,75.09259259259258,-9.259259259259274
Exp1b_100,Free,93.7633396107972,-5.430006277463894
Exp1b_101,Free,85.24989449568936,3.1711581358895504
Exp1b_102,Free,78.2183452286545,-8.987575997885285
Exp1b_103,Free,73.17460317460315,-1.7460317460317434
Exp1b_104,Free,68.96551724137929,8.620689655172418
Exp1b_105,Free,85.0732463376831,-1.174941252937364
Exp1b_106,Free,74.2972110962765,-4.654353953419374
Exp1b_107,Free,66.10649061133498,8.659864528851926
Exp1b_108,Free,65.72698901286819,6.446924030610063
Exp1b_109,Free,80.56956115779641,9.430438842203547
Exp1b_11,Free,80.44242550821495,2.5932887774993243
Exp1b_110,Free,81.98367859384807,-3.1701192718141926
Exp1b_111,Free,80.57111733582319,2.622159975101164
Exp1b_112,Free,86.56975559630425,-7.2904763170250035
Exp1b_113,Free,90.92484297162659,-5.739657786441414
Exp1b_114,Free,71.63588599281518,6.330215702100052
Exp1b_115,Free,91.68145035792092,-0.8481170245876215
Exp1b_116,Free,72.42841581076873,-1.5950824774354035
Exp1b_117,Free,86.8634990130317,0.5238883743556637
Exp1b_118,Free,83.16198026342951,3.162806061356797
Exp1b_119,Free,80.87618362699267,-3.206280714371337
Exp1b_12,Free,81.26876876876874,-0.187687687687692
Exp1b_120,Free,89.25177473860876,-5.193803724116039
Exp1b_121,Free,72.73576097105507,12.138188608776838
Exp1b_122,Free,69.43432928727044,-5.267662620603787
Exp1b_123,Free,74.32306255835665,-3.7348272642390263
Exp1b_124,Free,89.63977014824471,1.0381959534501906
Exp1b_125,Free,79.19179683885565,9.883833413245183
Exp1b_126,Free,54.24836601307188,-4.668534080298783
Exp1b_127,Free,95.18518518518516,-1.851851851851854
Exp1b_128,Free,56.80049797696854,-1.3383131030189794
Exp1b_129,Free,86.49425287356318,-2.873563218390789
Exp1b_13,Free,85.45978472751926,-3.7206542927366693
Exp1b_130,Free,82.6291656431671,-8.900352083845084
Exp1b_131,Free,87.33521657250468,1.6478342749529082
Exp1b_132,Free,53.30967058970047,-4.794819104551969
Exp1b_133,Free,82.77777777777776,-2.7777777777777786
Exp1b_134,Free,69.4677871148459,2.8011204481792795
Exp1b_135,Free,66.1702458761282,2.1630874572051084
Exp1b_136,Free,91.92546583850928,-6.211180124223608
Exp1b_137,Free,84.1269841269841,-0.9337068160597592
Exp1b_138,Free,63.43779677113008,-1.044634377967706
Exp1b_139,Free,62.40740740740738,0.9259259259259254
Exp1b_14,Free,79.20957144258114,-10.277532607629702
Exp1b_140,Free,92.12962962962959,-4.629629629629621
Exp1b_141,Free,81.52210036556993,8.308408109006324
