agency,participant,incentive,correct,conf,confSym,calib,log_rt,group
0,Exp2_1,-1.0,67.53246753246754,62.18181818181818,62.18181818181818,-5.3506493506493555,6.342484115971368,Observed
0,Exp2_1,0.0,70.12987012987013,65.72727272727273,65.72727272727273,-4.402597402597394,6.3115261584371645,Observed
0,Exp2_1,1.0,71.05263157894737,65.59210526315789,65.59210526315789,-5.46052631578948,6.384900260056438,Observed
0,Exp2_10,-1.0,77.92207792207793,53.72727272727273,53.72727272727273,-24.194805194805205,6.377129354192604,Observed
0,Exp2_10,0.0,70.66666666666667,56.17333333333333,56.17333333333333,-14.49333333333334,6.341438436793206,Observed
0,Exp2_10,1.0,78.2051282051282,53.743589743589745,53.743589743589745,-24.46153846153846,6.342224126942623,Observed
1,Exp2_100,-1.0,67.5,63.225,63.225,-4.274999999999999,6.407314494310432,Free
1,Exp2_100,0.0,67.5,64.6625,64.6625,-2.8375000000000057,6.478756370421675,Free
1,Exp2_100,1.0,63.74999999999999,65.75,65.75,2.000000000000007,6.455104549960605,Free
1,Exp2_101,-1.0,67.10526315789474,87.48684210526316,87.48684210526316,20.381578947368425,5.749545664390702,Free
1,Exp2_101,0.0,61.33333333333333,83.88,83.88,22.546666666666667,5.818675678341867,Free
1,Exp2_101,1.0,59.42028985507246,85.81159420289855,85.81159420289855,26.391304347826086,5.74377435951177,Free
1,Exp2_102,-1.0,70.83333333333334,70.5,70.5,-0.3333333333333428,7.774900582166292,Free
1,Exp2_102,0.0,76.0,70.85333333333334,70.85333333333334,-5.146666666666661,7.734578777953576,Free
1,Exp2_102,1.0,78.66666666666666,72.93333333333334,72.93333333333334,-5.73333333333332,7.763883348782617,Free
1,Exp2_103,-1.0,75.0,67.92105263157895,67.92105263157895,-7.078947368421055,6.604892790990114,Free
1,Exp2_103,0.0,79.22077922077922,70.50649350649351,70.50649350649351,-8.714285714285708,6.4351026275195995,Free
1,Exp2_103,1.0,76.25,72.3625,72.3625,-3.887500000000003,6.427514713048292,Free
1,Exp2_104,-1.0,83.75,81.65,81.65,-2.0999999999999943,6.275222698770412,Free
1,Exp2_104,0.0,85.0,74.375,74.375,-10.625,6.344206702191431,Free
1,Exp2_104,1.0,82.5,83.375,83.375,0.875,6.3076932386410345,Free
1,Exp2_105,-1.0,86.07594936708861,69.9113924050633,69.9113924050633,-16.164556962025316,6.388291117036754,Free
1,Exp2_105,0.0,87.5,78.9625,78.9625,-8.537499999999994,6.368946699532641,Free
1,Exp2_105,1.0,81.25,81.5,81.5,0.25,6.293829938433224,Free
1,Exp2_106,-1.0,81.25,77.425,77.425,-3.825000000000003,6.153464706076152,Free
1,Exp2_106,0.0,76.31578947368422,72.30263157894737,72.30263157894737,-4.01315789473685,6.28380696166352,Free
1,Exp2_106,1.0,83.75,78.6125,78.6125,-5.137500000000003,6.277299640220663,Free
1,Exp2_107,-1.0,92.5,96.35,96.35,3.8499999999999943,5.951305535624053,Free
1,Exp2_107,0.0,88.46153846153845,95.28205128205128,95.28205128205128,6.820512820512832,6.092598333659119,Free
1,Exp2_107,1.0,84.61538461538461,93.88461538461539,93.88461538461539,9.269230769230774,5.955994722677726,Free
1,Exp2_108,-1.0,83.54430379746836,79.51898734177215,79.51898734177215,-4.025316455696213,6.166038190754301,Free
1,Exp2_108,0.0,82.05128205128204,80.85897435897436,80.85897435897436,-1.1923076923076792,6.169847279226171,Free
1,Exp2_108,1.0,83.33333333333334,80.88461538461539,80.88461538461539,-2.448717948717956,6.198408593019298,Free
1,Exp2_109,-1.0,84.61538461538461,98.57692307692308,98.57692307692308,13.961538461538467,6.020260235491962,Free
1,Exp2_109,0.0,86.25,98.9375,98.9375,12.6875,6.0585078151343,Free
1,Exp2_109,1.0,80.76923076923077,98.87179487179488,98.87179487179488,18.102564102564102,5.996202530149165,Free
