agency,participant,incentive,correct,conf,confSym,calib,log_rt,group
1,Sims Act_1,-1.0,77.02702702702703,62.0945945945946,62.0945945945946,-14.932432432432435,,Free
0,Sims Act_1,-1.0,62.5,49.125,50.875,-13.375,,Non-Free
1,Sims Act_1,0.0,72.97297297297297,95.95945945945945,95.95945945945945,22.986486486486484,,Free
0,Sims Act_1,0.0,77.5,91.4,91.4,13.900000000000006,,Non-Free
1,Sims Act_1,1.0,72.36842105263158,96.76315789473684,96.76315789473684,24.39473684210526,,Free
0,Sims Act_1,1.0,81.25,93.25,93.25,12.0,,Non-Free
1,Sims Act_10,-1.0,76.25,92.9125,92.9125,16.662499999999994,,Free
0,Sims Act_10,-1.0,77.5,83.1625,83.1625,5.662499999999994,,Non-Free
1,Sims Act_10,0.0,77.5,92.925,92.925,15.424999999999997,,Free
0,Sims Act_10,0.0,77.5,81.3875,81.3875,3.887500000000003,,Non-Free
1,Sims Act_10,1.0,77.21518987341773,92.74683544303798,92.74683544303798,15.531645569620252,,Free
0,Sims Act_10,1.0,81.25,82.25,82.25,1.0,,Non-Free
1,Sims Act_100,-1.0,78.75,81.875,81.875,3.125,,Free
0,Sims Act_100,-1.0,78.75,67.8375,67.8375,-10.912499999999994,,Non-Free
1,Sims Act_100,0.0,83.54430379746836,82.43037974683544,82.43037974683544,-1.1139240506329173,,Free
0,Sims Act_100,0.0,81.25,69.625,69.625,-11.625,,Non-Free
1,Sims Act_100,1.0,85.0,83.3875,83.3875,-1.6124999999999972,,Free
0,Sims Act_100,1.0,72.5,68.275,68.275,-4.224999999999994,,Non-Free
1,Sims Act_101,-1.0,60.273972602739725,76.06849315068493,76.06849315068493,15.794520547945204,,Free
0,Sims Act_101,-1.0,75.0,59.1125,59.1125,-15.887500000000003,,Non-Free
1,Sims Act_101,0.0,54.929577464788736,78.45070422535211,78.45070422535211,23.521126760563376,,Free
0,Sims Act_101,0.0,71.25,62.5,62.5,-8.75,,Non-Free
1,Sims Act_101,1.0,56.75675675675676,79.82432432432432,79.82432432432432,23.067567567567565,,Free
0,Sims Act_101,1.0,77.5,65.4125,65.4125,-12.087500000000006,,Non-Free
1,Sims Act_102,-1.0,76.0,82.25333333333333,82.25333333333333,6.25333333333333,,Free
0,Sims Act_102,-1.0,76.25,72.9125,72.9125,-3.3375000000000057,,Non-Free
1,Sims Act_102,0.0,65.27777777777779,86.06944444444444,86.06944444444444,20.791666666666657,,Free
0,Sims Act_102,0.0,82.5,76.9,76.9,-5.599999999999994,,Non-Free
1,Sims Act_102,1.0,73.61111111111111,89.19444444444444,89.19444444444444,15.583333333333329,,Free
0,Sims Act_102,1.0,73.75,80.4125,80.4125,6.662499999999994,,Non-Free
1,Sims Act_103,-1.0,82.66666666666667,76.84,76.84,-5.826666666666668,,Free
0,Sims Act_103,-1.0,72.5,61.625,61.625,-10.875,,Non-Free
1,Sims Act_103,0.0,60.526315789473685,75.14473684210526,75.14473684210526,14.618421052631575,,Free
0,Sims Act_103,0.0,70.0,60.2875,60.2875,-9.712499999999999,,Non-Free
1,Sims Act_103,1.0,80.55555555555556,76.18055555555556,76.18055555555556,-4.375,,Free
0,Sims Act_103,1.0,68.75,60.4,60.4,-8.350000000000001,,Non-Free
1,Sims Act_104,-1.0,88.46153846153845,76.57692307692308,76.57692307692308,-11.884615384615373,,Free
0,Sims Act_104,-1.0,75.0,62.5,62.5,-12.5,,Non-Free
1,Sims Act_104,0.0,77.77777777777779,77.79166666666667,77.79166666666667,0.013888888888885731,,Free
0,Sims Act_104,0.0,80.0,67.2375,67.2375,-12.762500000000003,,Non-Free
1,Sims Act_104,1.0,82.66666666666667,82.29333333333334,82.29333333333334,-0.37333333333333485,,Free
0,Sims Act_104,1.0,76.25,66.6375,66.6375,-9.612499999999997,,Non-Free
1,Sims Act_105,-1.0,80.0,78.4375,78.4375,-1.5625,,Free
0,Sims Act_105,-1.0,77.5,62.8625,62.8625,-14.637500000000003,,Non-Free
1,Sims Act_105,0.0,79.48717948717949,80.44871794871794,80.44871794871794,0.9615384615384528,,Free
0,Sims Act_105,0.0,77.5,65.25,65.25,-12.25,,Non-Free
1,Sims Act_105,1.0,79.22077922077922,82.27272727272727,82.27272727272727,3.0519480519480453,,Free
0,Sims Act_105,1.0,80.0,69.925,69.925,-10.075000000000003,,Non-Free
1,Sims Act_106,-1.0,75.64102564102564,78.21794871794872,78.21794871794872,2.57692307692308,,Free
0,Sims Act_106,-1.0,76.25,66.0125,66.0125,-10.237499999999997,,Non-Free
1,Sims Act_106,0.0,77.92207792207793,79.74025974025975,79.74025974025975,1.818181818181813,,Free
0,Sims Act_106,0.0,77.5,65.4,65.4,-12.099999999999994,,Non-Free
1,Sims Act_106,1.0,69.23076923076923,79.82051282051282,79.82051282051282,10.589743589743591,,Free
0,Sims Act_106,1.0,72.5,65.0125,65.0125,-7.487499999999997,,Non-Free
1,Sims Act_107,-1.0,58.108108108108105,60.067567567567565,60.067567567567565,1.9594594594594597,,Free
