participant,choiceType,b0,b_inc,b_abs
Sims Act_1,Free,77.50000000000001,-2.500000000000007,-3.7500000000000133
Sims Act_1,Non-Free,80.00000000000001,-3.750000000000007,-1.2500000000000058
Sims Act_10,Free,75.00000000000001,-7.105427357601002e-15,7.499999999999995
Sims Act_10,Non-Free,73.75000000000001,3.749999999999993,4.999999999999988
Sims Act_100,Free,77.50000000000001,-0.6250000000000071,0.6249999999999873
Sims Act_100,Non-Free,78.75000000000001,5.624999999999993,-4.375000000000012
Sims Act_101,Free,72.50000000000001,-7.105427357601002e-15,-3.7500000000000138
Sims Act_101,Non-Free,75.00000000000001,3.749999999999993,3.749999999999988
Sims Act_102,Free,71.25000000000001,2.4999999999999964,-5.000000000000013
Sims Act_102,Non-Free,75.00000000000001,-7.105427357601002e-15,-5.000000000000013
Sims Act_103,Free,75.00000000000001,-0.6250000000000071,-3.1250000000000133
Sims Act_103,Non-Free,73.75000000000001,2.499999999999993,-5.000000000000013
Sims Act_104,Free,83.75000000000001,4.999999999999993,-1.2500000000000115
Sims Act_104,Non-Free,80.00000000000001,-1.875000000000007,-0.6250000000000056
Sims Act_105,Free,78.75000000000001,-7.105427357601002e-15,1.2499999999999876
Sims Act_105,Non-Free,73.75000000000001,1.874999999999993,0.6249999999999871
Sims Act_106,Free,72.50000000000001,-7.105427357601002e-15,4.999999999999988
Sims Act_106,Non-Free,67.50000000000001,-1.250000000000007,3.749999999999994
Sims Act_107,Free,56.250000000000014,1.875,3.124999999999996
Sims Act_107,Non-Free,70.00000000000001,-3.125000000000007,8.124999999999998
Sims Act_108,Free,83.75000000000001,-3.125000000000007,0.6249999999999948
Sims Act_108,Non-Free,67.50000000000001,1.249999999999993,6.249999999999994
Sims Act_109,Free,73.75000000000001,1.874999999999993,5.624999999999988
Sims Act_109,Non-Free,72.50000000000001,-1.875000000000007,3.1249999999999867
Sims Act_11,Free,76.25000000000001,4.999999999999993,2.499999999999988
Sims Act_11,Non-Free,72.50000000000001,-6.875000000000007,3.124999999999997
Sims Act_110,Free,67.50000000000001,-3.125000000000007,-1.8750000000000073
Sims Act_110,Non-Free,71.25000000000001,-1.875000000000007,3.124999999999994
Sims Act_111,Free,77.50000000000001,-5.000000000000007,-2.5000000000000133
