agency,participant,incentive,correct,conf,confSym,calib,log_rt,group
1,Sims Con_1,-1,81.25,47.68821305805468,52.31178694194532,-33.56178694194532,,Free
0,Sims Con_1,-1,81.25,48.38615322855969,51.61384677144031,-32.86384677144031,,Non-Free
1,Sims Con_1,0,68.75,47.45773371940975,52.54226628059025,-21.292266280590248,,Free
0,Sims Con_1,0,71.25,48.13992598264505,51.86007401735495,-23.110074017354947,,Non-Free
1,Sims Con_1,1,71.25,46.98695663028333,53.01304336971667,-24.26304336971667,,Free
0,Sims Con_1,1,67.5,48.151863607229515,51.848136392770485,-19.348136392770485,,Non-Free
1,Sims Con_10,-1,71.25,76.82331965123271,76.82331965123271,5.573319651232708,,Free
0,Sims Con_10,-1,81.25,67.53380901413007,67.53380901413007,-13.716190985869929,,Non-Free
1,Sims Con_10,0,77.5,82.35189058649205,82.35189058649205,4.851890586492047,,Free
0,Sims Con_10,0,83.75,68.80757558807257,68.80757558807257,-14.942424411927433,,Non-Free
1,Sims Con_10,1,73.75,89.12368740024354,89.12368740024354,15.37368740024354,,Free
0,Sims Con_10,1,78.75,69.25206264858605,69.25206264858605,-9.497937351413952,,Non-Free
1,Sims Con_100,-1,85.0,80.7727066505726,80.7727066505726,-4.2272933494273985,,Free
0,Sims Con_100,-1,75.0,59.26540189046735,59.26540189046735,-15.734598109532648,,Non-Free
1,Sims Con_100,0,77.5,82.36739763745638,82.36739763745638,4.867397637456378,,Free
0,Sims Con_100,0,71.25,67.19163044644303,67.19163044644303,-4.058369553556972,,Non-Free
1,Sims Con_100,1,77.5,86.05307453377114,86.05307453377114,8.553074533771138,,Free
0,Sims Con_100,1,73.75,71.09683129047377,71.09683129047377,-2.653168709526227,,Non-Free
1,Sims Con_101,-1,62.5,77.51698465055341,77.51698465055341,15.016984650553411,,Free
0,Sims Con_101,-1,81.25,54.93200218990965,54.93200218990965,-26.317997810090347,,Non-Free
1,Sims Con_101,0,70.0,79.17125781578486,79.17125781578486,9.171257815784855,,Free
0,Sims Con_101,0,80.0,64.145549181718,64.145549181718,-15.854450818282004,,Non-Free
1,Sims Con_101,1,70.0,82.93414818734404,82.93414818734404,12.934148187344036,,Free
0,Sims Con_101,1,72.5,60.63197075278612,60.63197075278612,-11.868029247213883,,Non-Free
1,Sims Con_102,-1,73.75,78.4726319439164,78.4726319439164,4.722631943916397,,Free
0,Sims Con_102,-1,71.25,64.04843364965558,64.04843364965558,-7.201566350344422,,Non-Free
1,Sims Con_102,0,67.5,78.71599852774892,78.71599852774892,11.215998527748923,,Free
0,Sims Con_102,0,81.25,67.1045618936169,67.1045618936169,-14.145438106383097,,Non-Free
1,Sims Con_102,1,75.0,82.02197267235162,82.02197267235162,7.021972672351623,,Free
0,Sims Con_102,1,80.0,71.1995528116695,71.1995528116695,-8.800447188330494,,Non-Free
