participant,choiceType,b0,b_inc,b_abs
Sims Con_1,Free,22.864864864864884,19.630156472261746,-18.126600284495034
Sims Con_1,Non-Free,-0.4000000000000004,10.437500000000002,-11.6625
Sims Con_10,Free,15.362499999999999,-0.534018987341776,0.7284810126582268
Sims Con_10,Non-Free,-6.575000000000004,4.4312499999999995,3.0937500000000084
Sims Con_100,Free,-0.8987341772151903,-2.399999999999999,1.6237341772151914
Sims Con_100,Non-Free,-10.412499999999998,-2.649999999999998,3.4999999999999956
Sims Con_101,Free,23.676056338028168,3.732691595705292,-4.381720906706428
Sims Con_101,Non-Free,-1.2125000000000006,-4.56875,-20.25625
Sims Con_102,Free,20.81944444444445,4.652777777777778,-9.833333333333341
Sims Con_102,Non-Free,-7.375000000000003,-0.7437500000000052,3.468750000000002
Sims Con_103,Free,14.723684210526322,0.8147222222222301,-19.802295321637438
Sims Con_103,Non-Free,-9.924999999999999,1.0874999999999995,1.8874999999999977
Sims Con_104,Free,0.24999999999998873,5.6912820512820455,-6.327948717948703
Sims Con_104,Non-Free,-9.474999999999996,1.8812499999999952,0.5687499999999953
Sims Con_105,Free,1.205128205128205,2.3596590909090907,-0.3829691142191086
Sims Con_105,Non-Free,-9.525000000000007,5.15,2.2500000000000084
Sims Con_106,Free,1.7922077922077757,4.0064102564102555,4.816766566766582
Sims Con_106,Non-Free,-7.762500000000005,0.03750000000000231,0.37500000000000805
Sims Con_107,Free,1.1038961038961113,4.705192034139401,5.5067013356487005
Sims Con_107,Non-Free,-20.700000000000006,3.806250000000002,-4.4937499999999995
Sims Con_108,Free,-22.532467532467546,1.2164912280701792,-4.157707906128953
Sims Con_108,Non-Free,-15.075000000000003,-1.2749999999999968,-9.487499999999999
Sims Con_109,Free,-19.933333333333334,-0.3374844333748417,3.77766708177667
Sims Con_109,Non-Free,-21.437500000000004,0.7812500000000018,-1.7312500000000017
Sims Con_11,Free,21.10256410256411,-0.613924050632912,-4.691171697500817
Sims Con_11,Non-Free,1.8624999999999958,-1.049999999999998,4.9000000000000075
Sims Con_110,Free,-10.323943661971827,7.052727272727273,4.150004268032431
Sims Con_110,Non-Free,-19.387500000000006,-1.4187499999999975,-1.006249999999995
Sims Con_111,Free,-5.866666666666661,3.941558441558443,0.8341991341991254
Sims Con_111,Non-Free,-7.412499999999994,2.7249999999999996,-2.4500000000000064
Sims Con_112,Free,-26.4625,-0.28661844484629384,-6.681261301989151
