agency,participant,incentive,correct,conf,confSym,calib,log_rt,group
1,Sims Int_1,-1.0,77.02702702702703,62.054054054054056,62.054054054054056,-14.972972972972975,,Free
0,Sims Int_1,-1.0,72.5,58.2375,58.2375,-14.262500000000003,,Non-Free
1,Sims Int_1,0.0,72.97297297297297,95.91891891891892,95.91891891891892,22.94594594594595,,Free
0,Sims Int_1,0.0,71.25,68.4375,68.4375,-2.8125,,Non-Free
1,Sims Int_1,1.0,72.36842105263158,96.72368421052632,96.72368421052632,24.35526315789474,,Free
0,Sims Int_1,1.0,78.75,69.675,69.675,-9.075000000000003,,Non-Free
1,Sims Int_10,-1.0,76.25,92.8125,92.8125,16.5625,,Free
0,Sims Int_10,-1.0,78.75,68.0125,68.0125,-10.737499999999997,,Non-Free
1,Sims Int_10,0.0,77.5,92.9625,92.9625,15.462500000000006,,Free
0,Sims Int_10,0.0,75.0,68.5625,68.5625,-6.4375,,Non-Free
1,Sims Int_10,1.0,77.21518987341773,92.75949367088607,92.75949367088607,15.544303797468345,,Free
0,Sims Int_10,1.0,75.0,67.5375,67.5375,-7.462500000000006,,Non-Free
1,Sims Int_100,-1.0,78.75,81.8,81.8,3.049999999999997,,Free
0,Sims Int_100,-1.0,78.75,69.925,69.925,-8.825000000000003,,Non-Free
1,Sims Int_100,0.0,83.54430379746836,82.48101265822785,82.48101265822785,-1.063291139240505,,Free
0,Sims Int_100,0.0,71.25,64.8625,64.8625,-6.387500000000003,,Non-Free
1,Sims Int_100,1.0,85.0,83.2875,83.2875,-1.7125000000000057,,Free
0,Sims Int_100,1.0,65.0,64.025,64.025,-0.9749999999999943,,Non-Free
1,Sims Int_101,-1.0,60.273972602739725,75.83561643835617,75.83561643835617,15.561643835616444,,Free
0,Sims Int_101,-1.0,72.5,59.2375,59.2375,-13.262500000000003,,Non-Free
1,Sims Int_101,0.0,54.929577464788736,78.3943661971831,78.3943661971831,23.464788732394368,,Free
0,Sims Int_101,0.0,75.0,58.425,58.425,-16.575000000000003,,Non-Free
1,Sims Int_101,1.0,56.75675675675676,79.82432432432432,79.82432432432432,23.067567567567565,,Free
0,Sims Int_101,1.0,73.75,58.25,58.25,-15.5,,Non-Free
1,Sims Int_102,-1.0,76.0,82.29333333333334,82.29333333333334,6.2933333333333366,,Free
0,Sims Int_102,-1.0,80.0,66.4375,66.4375,-13.5625,,Non-Free
1,Sims Int_102,0.0,65.27777777777779,86.15277777777777,86.15277777777777,20.874999999999986,,Free
0,Sims Int_102,0.0,77.5,64.1125,64.1125,-13.387500000000003,,Non-Free
1,Sims Int_102,1.0,73.61111111111111,89.43055555555556,89.43055555555556,15.819444444444443,,Free
0,Sims Int_102,1.0,77.5,68.5,68.5,-9.0,,Non-Free
1,Sims Int_103,-1.0,82.66666666666667,76.82666666666667,76.82666666666667,-5.840000000000003,,Free
0,Sims Int_103,-1.0,75.0,64.525,64.525,-10.474999999999994,,Non-Free
1,Sims Int_103,0.0,60.526315789473685,75.11842105263158,75.11842105263158,14.59210526315789,,Free
0,Sims Int_103,0.0,68.75,61.9375,61.9375,-6.8125,,Non-Free
1,Sims Int_103,1.0,80.55555555555556,76.51388888888889,76.51388888888889,-4.041666666666671,,Free
0,Sims Int_103,1.0,75.0,63.0125,63.0125,-11.987499999999997,,Non-Free
1,Sims Int_104,-1.0,88.46153846153845,76.78205128205128,76.78205128205128,-11.679487179487168,,Free
0,Sims Int_104,-1.0,77.5,68.3375,68.3375,-9.162499999999994,,Non-Free
1,Sims Int_104,0.0,77.77777777777779,77.86111111111111,77.86111111111111,0.0833333333333286,,Free
0,Sims Int_104,0.0,75.0,66.1625,66.1625,-8.837500000000006,,Non-Free
1,Sims Int_104,1.0,82.66666666666667,82.34666666666666,82.34666666666666,-0.3200000000000074,,Free
0,Sims Int_104,1.0,77.5,71.1875,71.1875,-6.3125,,Non-Free
1,Sims Int_105,-1.0,80.0,78.4875,78.4875,-1.5125000000000028,,Free
0,Sims Int_105,-1.0,75.0,65.7875,65.7875,-9.212500000000006,,Non-Free
1,Sims Int_105,0.0,79.48717948717949,80.47435897435898,80.47435897435898,0.987179487179489,,Free
0,Sims Int_105,0.0,73.75,65.975,65.975,-7.775000000000006,,Non-Free
1,Sims Int_105,1.0,79.22077922077922,82.35064935064935,82.35064935064935,3.1298701298701275,,Free
0,Sims Int_105,1.0,80.0,67.5375,67.5375,-12.462500000000006,,Non-Free
1,Sims Int_106,-1.0,75.64102564102564,78.12820512820512,78.12820512820512,2.487179487179489,,Free
0,Sims Int_106,-1.0,76.25,65.925,65.925,-10.325000000000003,,Non-Free
1,Sims Int_106,0.0,77.92207792207793,79.8961038961039,79.8961038961039,1.9740259740259631,,Free
0,Sims Int_106,0.0,78.75,67.2,67.2,-11.549999999999997,,Non-Free
1,Sims Int_106,1.0,69.23076923076923,79.64102564102564,79.64102564102564,10.410256410256409,,Free
0,Sims Int_106,1.0,72.5,65.1125,65.1125,-7.387500000000003,,Non-Free
1,Sims Int_107,-1.0,58.108108108108105,60.229729729729726,60.229729729729726,2.121621621621621,,Free
0,Sims Int_107,-1.0,77.5,53.025,53.025,-24.475,,Non-Free
1,Sims Int_107,0.0,63.63636363636363,64.93506493506493,64.93506493506493,1.298701298701296,,Free
0,Sims Int_107,0.0,76.25,54.15,54.15,-22.1,,Non-Free
1,Sims Int_107,1.0,57.89473684210527,69.13157894736842,69.13157894736842,11.236842105263158,,Free
0,Sims Int_107,1.0,71.25,54.5375,54.5375,-16.7125,,Non-Free
1,Sims Int_108,-1.0,85.33333333333334,57.333333333333336,57.333333333333336,-28.000000000000007,,Free
0,Sims Int_108,-1.0,73.75,55.75,55.75,-18.0,,Non-Free
1,Sims Int_108,0.0,77.92207792207793,55.44155844155844,55.44155844155844,-22.48051948051949,,Free
0,Sims Int_108,0.0,68.75,55.1375,55.1375,-13.612499999999997,,Non-Free
1,Sims Int_108,1.0,80.26315789473685,54.68421052631579,54.68421052631579,-25.578947368421062,,Free
0,Sims Int_108,1.0,76.25,54.4875,54.4875,-21.762500000000003,,Non-Free
1,Sims Int_109,-1.0,71.42857142857143,55.74025974025974,55.74025974025974,-15.688311688311693,,Free
0,Sims Int_109,-1.0,73.75,55.775,55.775,-17.975,,Non-Free
1,Sims Int_109,0.0,76.0,56.08,56.08,-19.92,,Free
0,Sims Int_109,0.0,78.75,56.4,56.4,-22.35,,Non-Free
1,Sims Int_109,1.0,73.97260273972603,57.19178082191781,57.19178082191781,-16.78082191780822,,Free
0,Sims Int_109,1.0,81.25,57.05,57.05,-24.200000000000003,,Non-Free
1,Sims Int_11,-1.0,82.27848101265823,99.37974683544304,99.37974683544304,17.10126582278481,,Free
0,Sims Int_11,-1.0,72.5,68.9875,68.9875,-3.512500000000003,,Non-Free
1,Sims Int_11,0.0,78.2051282051282,99.3076923076923,99.3076923076923,21.102564102564102,,Free
0,Sims Int_11,0.0,72.5,68.3625,68.3625,-4.137500000000003,,Non-Free
1,Sims Int_11,1.0,83.54430379746836,99.34177215189874,99.34177215189874,15.797468354430379,,Free
0,Sims Int_11,1.0,67.5,67.925,67.925,0.42499999999999716,,Non-Free
1,Sims Int_110,-1.0,72.0,59.12,59.12,-12.880000000000003,,Free
0,Sims Int_110,-1.0,71.25,55.7375,55.7375,-15.512500000000003,,Non-Free
1,Sims Int_110,0.0,70.4225352112676,60.0,60.0,-10.4225352112676,,Free
0,Sims Int_110,0.0,67.5,55.2875,55.2875,-12.212499999999999,,Non-Free
1,Sims Int_110,1.0,60.60606060606061,61.621212121212125,61.621212121212125,1.0151515151515156,,Free
0,Sims Int_110,1.0,68.75,57.6,57.6,-11.149999999999999,,Non-Free
1,Sims Int_111,-1.0,87.01298701298701,78.01298701298701,78.01298701298701,-9.0,,Free
0,Sims Int_111,-1.0,77.5,67.6375,67.6375,-9.862499999999997,,Non-Free
1,Sims Int_111,0.0,84.0,78.09333333333333,78.09333333333333,-5.906666666666666,,Free
0,Sims Int_111,0.0,73.75,66.0625,66.0625,-7.6875,,Non-Free
1,Sims Int_111,1.0,81.81818181818183,80.71428571428571,80.71428571428571,-1.103896103896119,,Free
0,Sims Int_111,1.0,77.5,66.675,66.675,-10.825000000000003,,Non-Free
1,Sims Int_112,-1.0,83.11688311688312,50.22077922077922,50.22077922077922,-32.896103896103895,,Free
0,Sims Int_112,-1.0,77.5,52.075,52.075,-25.424999999999997,,Non-Free
